id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91859472,Flutter / Dart Developer,PT John Galt Properties,,"Ready To Build Something Real?

John Galt Services seeks a full-time Flutter / Dart Developer to serve a US customer building an intelligent financial advisory platform that helps consumers understand and improve their credit using agentic AI workflows, real-time streaming, and a polished mobile experience.

This is a production SaaS product with real users and real money flowing through it. The mobile app is the primary interface for consumers: financial analysis dashboards, conversational AI interactions, real-time notifications, and data visualization. It's built in Flutter/Dart, backed by a serious NestJS API.

You won't be building throwaway prototypes or pixel-pushing someone else's Figma. You'll be shipping features that real users rely on to manage their financial lives. The codebase is modern, the architecture is serious, and the problems are interesting.

You must be fluent in English. You will join our customer's development team as a remote member with real responsibilities — not busywork.

IMPORTANT!

Your application is our first test of your attention to detail and ability to follow instructions. 👀

👉 Read this ENTIRE job listing!

👉 Follow the application instructions EXACTLY!

👉 If you do not meet the minimum qualifications for the job, DO NOT APPLY!

If you fail to follow the instructions below, we will reject your application without reading it!

Minimum Job Qualifications

FLUENT SPOKEN & WRITTEN ENGLISH! You will communicate daily with a US-based team. Your English must be clear and confident — spoken and written. If you aren't sure, keep practicing and apply next time.

SOLID FLUTTER & DART SKILLS! You must have built and shipped at least one production Flutter app. You understand state management, widget lifecycle, platform channels, and how to write clean, maintainable Dart. If your apps are held together with setState spaghetti and you've never thought about architecture, keep learning and come back.

EXPERIENCE WITH REAL-TIME & API INTEGRATION! The app communicates with a NestJS back end via REST and real-time streaming (WebSockets / SSE). You should be comfortable consuming APIs, handling authentication flows (JWT), managing local state and caching, and building responsive UIs that reflect live data.

WILLINGNESS TO LEARN AND TAKE OWNERSHIP! This app integrates financial data feeds, conversational AI, and data visualizations. You won't be expected to know all of these on day one, but you'll be expected to dig in and figure things out. If you need someone looking over your shoulder at every step, this role will be frustrating for both of us.

A DISCIPLINED ENGINEERING APPROACH! You write tests. You read the requirements before you code. You don't push to main and pray. We don't expect perfection. We DO expect professionalism.

You MUST have at least a Bachelor degree.

You MUST be willing to work late night hours.

You MUST either live on Bali or be willing to relocate to Bali.

You MUST have the right to work legally in Indonesia. JGS does NOT sponsor work visas!

ATTENTION TO DETAIL! The moment we see your application, we'll know.

If you do not meet ALL of these requirements, DO NOT APPLY for this job!

Nice To Have

iOS & Android platform-specific experience

Firebase / push notifications

CI/CD for mobile (Fastlane, Codemagic, GitHub Actions)

Responsive design & accessibility

Figma-to-Flutter workflows

Git & GitHub

REST API design & consumption

State management frameworks (Riverpod, Bloc, Provider)

Working Arrangements

You are supporting our customer remotely, but this is NOT a remote job! We will provide working space and equipment near Canggu, Bali. All work is performed on-site.

Salary & Benefits

New associates start at a probationary pay scale of IDR 8 jt / month gross (i.e. before taxes & benefits). Your probationary period is three months.

If we retain you past three months, your pay will increase to IDR 12 jt / month gross.

We pay performance bonuses based on your ability to contribute. The less hand-holding you need and the less rework your code requires, the more valuable you are to the team. After your probationary period, we will pay up to a 50% bonus for any month in which you meet or exceed our expectations. This would bring your pay as high as IDR 18 jt / month gross.

We also reserve a large pool of funds for staff perks, events & annual bonuses. If we are happy with your work, you will be VERY happy with your choice!

Also, our office is just minutes from the beach, right outside Canggu, Bali. If you know, you know!

Who Is John Galt?

Good question! Might help to show up at your interview with an answer.

HOW TO APPLY 👈

Make sure your JobStreet profile includes a valid email & WhatsApp phone number.

Include this EXACT cover letter:

It must be written in fluent English, BY YOU, not by an AI assistant. We can tell! 👀

The very top line of the cover letter should contain ONLY a link to your GitHub profile. Nothing else.

Below this, describe your experience as a Flutter / Dart developer. There will be thousands of applicants for this job. Explain why we should pick YOU.",https://id.jobstreet.com/id/job/91859472,Rp 12.000.000 – Rp 18.000.000 per month,Backend Developer,indonesia,"['r', 'rust', 'android', 'flutter', 'ios', 'git']",6,2026-05-02T08:49:53.865833
91859310,Senior Back-End TypeScript Developer,PT John Galt Properties,,"Ready To Build Something Real?

John Galt Services seeks a full-time Senior Back-End TypeScript Developer to serve a US customer building an intelligent financial advisory platform that helps consumers understand and improve their credit using agentic AI workflows, retrieval-augmented generation (RAG), and real-time streaming.

This is a production SaaS product with real users and real money flowing through it: financial analysis, personalized recommendations, dispute generation, debt payoff planning. The back end is a NestJS API with over 100 domain modules, multi-tenant PostgreSQL with row-level security, background job processing, AI-powered features, and integrations with QuickBooks, Google Calendar, and e-signature providers.

You won't be maintaining a legacy codebase nobody cares about. You'll be shipping features that real users rely on. The codebase is modern, the architecture is serious, and the problems are interesting.

You must be fluent in English. You will join our customer's development team as a remote member with real responsibilities — not busywork.

IMPORTANT!

Your application is our first test of your attention to detail and ability to follow instructions. 👀

👉 Read this ENTIRE job listing!

👉 Follow the application instructions EXACTLY!

👉 If you do not meet the minimum qualifications for the job, DO NOT APPLY!

If you fail to follow the instructions below, we will reject your application without reading it!

Minimum Job Qualifications

FLUENT SPOKEN & WRITTEN ENGLISH! You will communicate daily with a US-based team. Your English must be clear and confident — spoken and written. If you aren't sure, keep practicing and apply next time.

SENIOR-LEVEL TYPESCRIPT SKILLS! This is a senior role. You must understand and value type safety, know your way around generics, utility types, and advanced patterns. If your instinct is to slap any on everything and ""fix it later,"" this isn't the right fit.

EXPERIENCE WITH NestJS OR SIMILAR FRAMEWORKS! The back end is a NestJS API backed by PostgreSQL (TypeORM), with background job processing (BullMQ), JWT authentication, and Docker-based deployment. You should have built and shipped production APIs with a modern Node.js framework. If the words ""dependency injection"" make you nervous, this role requires more experience than you currently have.

EXPERIENCE WITH AI/LLM INTEGRATION IS A PLUS! The platform includes a RAG pipeline built on LangChain, LangGraph-based agentic workflows, and vector search. You don't need to be an ML engineer, but familiarity with integrating LLM APIs and building AI-augmented features will set you apart.

WILLINGNESS TO LEARN AND TAKE OWNERSHIP! This codebase integrates with QuickBooks, SignNow, Google APIs, and includes AI pipelines you'll need to understand deeply. You won't be expected to know all of these on day one, but you'll be expected to dig in and figure things out. If you need someone looking over your shoulder at every step, this role will be frustrating for both of us.

A DISCIPLINED ENGINEERING APPROACH! You write tests. You read the requirements before you code. You don't push to main and pray. We don't expect perfection. We DO expect professionalism.

You MUST have at least a Bachelor degree.

You MUST be willing to work late night hours.

You MUST either live on Bali or be willing to relocate to Bali.

You MUST have the right to work legally in Indonesia. JGS does NOT sponsor work visas!

ATTENTION TO DETAIL! The moment we see your application, we'll know.

If you do not meet ALL of these requirements, DO NOT APPLY for this job!

Nice To Have

Docker & Docker Compose

PostgreSQL / TypeORM

BullMQ or similar job queues

REST API design & Swagger/OpenAPI

AWS (ECR, deployment pipelines)

OpenTelemetry / observability

Git & GitHub Actions

LangChain / LangGraph / vector databases

Working Arrangements

You are supporting our customer remotely, but this is NOT a remote job! We will provide working space and equipment near Canggu, Bali. All work is performed on-site.

Salary & Benefits

New associates start at a probationary pay scale of IDR 16 jt / month gross (i.e. before taxes & benefits). Your probationary period is three months.

If we retain you past three months, your pay will increase to IDR 24 jt / month gross.

We pay performance bonuses based on your ability to contribute. The less hand-holding you need and the less rework your code requires, the more valuable you are to the team. After your probationary period, we will pay up to a 50% bonus for any month in which you meet or exceed our expectations. This would bring your pay as high as IDR 36 jt / month gross.

We also reserve a large pool of funds for staff perks, events & annual bonuses. If we are happy with your work, you will be VERY happy with your choice!

Also, our office is just minutes from the beach, right outside Canggu, Bali. If you know, you know!

Who Is John Galt?

Good question! Might help to show up at your interview with an answer.

HOW TO APPLY 👈

Make sure your JobStreet profile includes a valid email & WhatsApp phone number.

Include this EXACT cover letter:

It must be written in fluent English, BY YOU, not by an AI assistant. We can tell! 👀

The very top line of the cover letter should contain ONLY a link to your GitHub profile. Nothing else.

Below this, describe your experience as a senior back-end developer. There will be thousands of applicants for this job. Explain why we should pick YOU.",https://id.jobstreet.com/id/job/91859310,Rp 24.000.000 – Rp 36.000.000 per month,Backend Developer,indonesia,"['r', 'rust', 'docker', 'aws', 'sql', 'typescript', 'postgresql', 'git']",8,2026-05-02T08:49:58.064835
91858612,Backend Developer Golang,PT. Entrepreneur Trust Digital,,"Company Description
We are PT Entrust Digital, IT Outsourcing Company, we are currently looking for Golang Developer that can work onsite for our client in Jakarta

Role Description
This is a contract role for a Backend Developer (Golang) located in the Jakarta Metropolitan Area. The Backend Developer will be responsible for developing, testing, and maintaining backend systems and applications using Golang.

Qualifications

Proficiency in Back-End Web Development and Programming

Strong knowledge of Software Development principles and methodologies

Experience in Object-Oriented Programming (OOP)

2 Years working experience with Golang

Experience with Redis, Goroutine, Docker

Experience with Message Broker such as Kafka or RabbitMQ

Ability to work collaboratively in an on-site team environment

Bachelor's degree in Computer Science, Engineering, or a related field

Experience with cloud services and database management is advantageous




Working Onsite, 1 Year Contract (Extendable)",https://id.jobstreet.com/id/job/91858612,Rp 9.000.000 – Rp 11.000.000 per month,Backend Developer,indonesia,"['r', 'rust', 'docker', 'golang', 'redis', 'kafka', 'git']",7,2026-05-02T08:50:02.274843
91847636,Web Designer,Nov Inc.,,"What You Will Do

Design, develop, and maintain mobile applications (Android - Kotlin / Flutter) OR web applications (ASP.NET MVC).
Develop and integrate backend APIs using C# and modern architecture.
Work as a fullstack developer handling both frontend (mobile/web) and backend development.
Write clean, efficient, and maintainable code following best practices.
Perform testing, debugging, and performance optimization.
Support system implementation, deployment, upgrades, and enhancements.
Participate in UAT, documentation, user training, and post-implementation support.
Ensure application performance, quality, security, and reliability.
Troubleshoot and resolve application, database, and system issues.
Continuously learn and apply new technologies and improvements.

Technical Skills & Experience

Experience in ASP.NET MVC / .NET (C#) and/or mobile development (Kotlin / Flutter).
Proficiency in HTML5, CSS3, and/or mobile UI/UX principles.
Experience in API development and integration (RESTful services).
Strong knowledge of database design and SQL (Microsoft SQL Server).
Familiarity with Git or other version control systems.
Understanding of application architecture patterns (MVC, MVVM, Clean Architecture).
Experience in debugging, performance tuning, and optimization.
Understanding of deployment processes and application lifecycle (web or mobile).

Qualifications & Requirements

Minimum Diploma or Degree in Computer Science, Information Technology, Electronics/Computer Engineering, or related field.
Minimum 1 year experience in either .NET (web) OR mobile development (Android / Flutter).
Strong analytical and problem-solving skills.
Ability to work effectively with cross-functional teams and stakeholders.
Good communication and interpersonal skills.
Self-motivated, positive attitude, and a strong team player.",https://id.jobstreet.com/id/job/91847636,,Backend Developer,indonesia,"['r', 'android', 'flutter', 'c#', 'sql', 'kotlin', 'git']",7,2026-05-02T08:50:06.483440
91845532,Web Designer,National Oilwell Varco,,"What You Will Do

Design, develop, and maintain mobile applications (Android - Kotlin / Flutter) OR web applications (ASP.NET MVC).
Develop and integrate backend APIs using C# and modern architecture.
Work as a fullstack developer handling both frontend (mobile/web) and backend development.
Write clean, efficient, and maintainable code following best practices.
Perform testing, debugging, and performance optimization.
Support system implementation, deployment, upgrades, and enhancements.
Participate in UAT, documentation, user training, and post-implementation support.
Ensure application performance, quality, security, and reliability.
Troubleshoot and resolve application, database, and system issues.
Continuously learn and apply new technologies and improvements.

Technical Skills & Experience

Experience in ASP.NET MVC / .NET (C#) and/or mobile development (Kotlin / Flutter).
Proficiency in HTML5, CSS3, and/or mobile UI/UX principles.
Experience in API development and integration (RESTful services).
Strong knowledge of database design and SQL (Microsoft SQL Server).
Familiarity with Git or other version control systems.
Understanding of application architecture patterns (MVC, MVVM, Clean Architecture).
Experience in debugging, performance tuning, and optimization.
Understanding of deployment processes and application lifecycle (web or mobile).

Qualifications & Requirements

Minimum Diploma or Degree in Computer Science, Information Technology, Electronics/Computer Engineering, or related field.
Minimum 1 year experience in either .NET (web) OR mobile development (Android / Flutter).
Strong analytical and problem-solving skills.
Ability to work effectively with cross-functional teams and stakeholders.
Good communication and interpersonal skills.
Self-motivated, positive attitude, and a strong team player.",https://id.jobstreet.com/id/job/91845532,,Backend Developer,indonesia,"['r', 'android', 'flutter', 'c#', 'sql', 'kotlin', 'git']",7,2026-05-02T08:50:10.687688
91844115,Middle IOT Engineer,PT Fan Integrasi Teknologi,,"Education min. D3/S1 Electrical Engineering, Informatics Engineering, Computer Engineering, or a related field.

Minimum of 3 years of experience in IoT system development.

Master microcontroller and Arduino.

Proficient in C/C++, Python, and Node.js programming.

Able to integrate data processing devices.

Experienced in troubleshooting IoT systems.

Understand IoT communication protocols (MQTT, HTTP, etc).",https://id.jobstreet.com/id/job/91844115,,Backend Developer,indonesia,"['r', 'python', 'c++']",3,2026-05-02T08:50:14.909129
91844086,.Net Developer,PT Kode Evolusi Bangsa,,"JOB DESCRIPTIONS :

Develop, maintain, and enhance applications using .NET (version 5 and above) and C#

Design, build, and integrate APIs (Application Programming Interfaces)

Prepare technical documentation and create system/application diagrams

Perform System Integration Testing (SIT) and User Acceptance Testing (UAT)

Support security processes, including penetration testing

Manage and optimize databases using Microsoft SQL Server

Write and optimize SQL queries (DML, DDL, and complex queries)

Collaborate with the team using version control systems (Git)

Troubleshoot, debug, and resolve application issues

Contribute to system performance improvement and scalability

JOB REQUIREMENTS :

Willing to be placed at Yogyakarta.

Bachelor’s degree in Information Technology or a related field from a reputable university

Minimum 3 years of experience in software development using .NET (version 5 and above), C#, and MS SQL

Proven experience in API development and technical documentation

Strong understanding of RDBMS and SQL programming (queries, DML, DDL)

Proficient in JavaScript (experience with jQuery; familiarity with Telerik Kendo UI is a plus)

Familiar with version control systems (Git)

Strong problem-solving and debugging skills

Experience with Keycloak, Redis, or Elasticsearch is a plus

Experience with Kubernetes is preferred

Good communication, interpersonal, and presentation skills",https://id.jobstreet.com/id/job/91844086,Rp 4.000.000 – Rp 5.500.000 per month,Backend Developer,indonesia,"['r', 'redis', 'java', 'c#', 'sql', 'scala', 'git', 'javascript', 'kubernetes', 'elasticsearch']",10,2026-05-02T08:50:19.109461
91843258,Associate Software Engineer (Fresh Grad Encourage To Apply),B2BE GSS Sdn Bhd,,"RESPONSIBILITIES:




- Participate in software development activities including requirement analysis, design, and testing.

- Develop a strong understanding of allocated tasks to contribute effectively to project timelines.

- Apply foundational knowledge in coding (especially in C++ and Python) to support software development.

- Adhere to defined coding standards and contribute ideas for improvement where appropriate.

- Assist in the testing and validation of developed solutions to reduce errors and enhance quality.

- Continuously improve understanding of programming concepts and best practices.




REQUIREMENTS:




- Fresh graduates are encouraged to apply.

- Solid understanding of algorithms, data structures, and basic database concepts.

- Familiarity with C++ and Python (hands-on experience not required but foundational knowledge is essential).

- Strong analytical and problem-solving skills.

- Good communication skills in English (written and spoken).

- Positive attitude, willingness to learn, and ability to work in a collaborative environment.",https://id.jobstreet.com/id/job/91843258,"Rp 6,000,000 – Rp 6,600,000 per month",Backend Developer,indonesia,"['r', 'python', 'c++']",3,2026-05-02T08:50:23.276649
91842732,Full Stack Developer (Python),Engine Room Global Pte Ltd.,,"We are looking for a Full Stack Developer with strong Python expertise and a strong interest in AI to build digital products, automation tools, and intelligent systems for marketing and business use cases.

You will work across backend systems, APIs, databases, and front-end interfaces, collaborating with strategy, creative, and data teams to turn business needs into practical technology solutions.

Key Responsibilities

 Develop and maintain full stack applications, including backend systems, APIs, databases, and front-end interfaces

 Build scalable backend services using Python frameworks such as FastAPI, Flask, or Django

 Develop user-friendly front-end interfaces using React, Next.js, or similar frameworks

 Integrate AI tools and APIs into products, workflows, and automation systems

 Build internal tools for reporting, campaign management, content workflows, and operational efficiency

 Work with data from APIs, databases, and marketing platforms

 Collaborate with cross-functional teams to translate requirements into functional products

 Deploy, monitor, and maintain applications in cloud environments

 Ensure performance, scalability, security, and reliability across the stack

Requirements

 3–6+ years of experience as a full stack or backend developer

 Strong proficiency in Python and backend frameworks such as FastAPI, Flask, or Django

 Experience with front-end development such as React, Next.js, or similar frameworks

 Solid understanding of APIs, databases, and system architecture

 Experience working with data, including SQL, APIs, or ETL processes

 Familiarity with cloud platforms such as AWS, GCP, or Azure

 Good understanding of version control, such as Git

 Strong interest in AI and exposure to AI tools or APIs such as OpenAI or Hugging Face

 Strong problem-solving skills and ability to work across the full development lifecycle

Ability to work in a fast-paced, cross-functional environment",https://id.jobstreet.com/id/job/91842732,,Backend Developer,indonesia,"['r', 'python', 'react', 'aws', 'flask', 'fastapi', 'sql', 'django', 'azure', 'scala', 'git', 'gcp']",12,2026-05-02T08:50:27.530394
91842535,Full Stack Developer (Team Lead),PT Oyika Energi Indonesia,,"We are seeking an experienced Full-Stack Developer (Team Lead) to lead, build and support scalable, production-ready systems for Oyika’s e-mobility platform. You will work across front-end and back-end while guiding the team in building reliable, real-time, and data-driven applications.

This role is hands-on and leadership-oriented, ideal for someone who enjoys building systems, mentoring engineers, and making technical decisions in a fast-moving startup environment.

Responsibilities

· Own the stability and reliability across frontend, backend, databases, APIs, and integrations, acting as the technical escalation point and leading incident management including root cause analysis and long-term prevention

· Define and enforce observability and deployment standards, working closely with DevOps to ensure production readiness, monitoring, and environment stability.

· Maintain and improve existing services, APIs, and codebases with minimal operational risk.

· Review and approve code fixes from team members before production deployment.

· Guide and mentor developers on production support practices and debugging techniques.

· Maintain technical documentation, support runbooks, and incident records.

· Work closely with product and business stakeholders to translate requirements into technical solutions.

·         Design and evolve system architecture supporting IoT devices, real-time operations, and high-availability services.

·         Define and enforce automated testing standards (unit, integration, and basic E2E) across backend and frontend systems.

Requirements

·         A Bachelor's degree in Computer Science, Information Technology, or a related field is required.

·         5+ years of professional software engineering experience with strong exposure to application development.

·         3+ years in a senior or lead role supporting live applications.

·         Strong hands-on experience with Node.js and NestJS in production environments.

·         Working knowledge of React and Next.js for investigating and fixing frontend issues.

·         Solid experience working with MongoDB, MySQL, and PostgreSQL.

·         Experience supporting real-time or event-driven systems (WebSocket and/or message queues).

·         Strong experience debugging distributed systems using logs, metrics, and traces, with hands-on experience in observability platforms such as Datadog, Grafana, or ELK stack.

·         Familiarity with CI/CD pipelines, cloud platforms such as AWS, and Docker-based deployments.

·         Demonstrated ownership mindset with structured and accountable incident handling

·         Proven experience productively using AI-assisted development tools (e.g. Copilot, Claude, Cursor) while critically evaluating generated code

·         Experience implementing automated testing strategies (unit, integration, basic E2E) across backend and frontend systems, and ensuring code correctness, security, and performance.

·         Clear communication skills for technical and non-technical stakeholders.",https://id.jobstreet.com/id/job/91842535,,Backend Developer,indonesia,"['r', 'mysql', 'docker', 'react', 'mongodb', 'aws', 'sql', 'postgresql', 'scala']",9,2026-05-02T08:50:31.691228
