id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91863545,Commercial Superintendent,PT Masmindo Dwi Area,,"Key Responsibilities

Support the implementation of commercial strategies across coal, mining, and EPC projects.

Assist in contract administration, including preparation, review, and monitoring of commercial agreements.

Support pricing analysis and cost calculations to ensure competitiveness and margin optimization.

Maintain and manage relationships with customers, vendors, and partners on operational matters.

Conduct basic market research and analysis to identify trends and support commercial decision-making.

Coordinate with project, finance, and operations teams to ensure alignment of commercial activities with project execution.

Monitor commercial performance data and prepare regular reports for management review.

Ensure compliance with internal commercial policies, procedures, and regulatory requirements.

Qualifications

Bachelor’s degree in Business, Economics, Engineering, or a related field.

Minimum 5 - 7 years of experience in commercial, sales, or business support roles within mining, gold, or EPC industries.

Basic understanding of contract management and pricing structures.

Familiarity with EPC processes, procurement, and project coordination is an advantage.

Strong analytical skills with attention to detail in handling data and reports.

Good communication and interpersonal skills to coordinate with cross-functional teams.

Ability to manage multiple tasks and prioritize effectively in a fast-paced environment.

Proactive, reliable, and able to work both independently and as part of a team.",https://id.jobstreet.com/id/job/91863545,,Business Analyst,indonesia,['r'],1,2026-05-01T18:14:39.105998
91863232,Finance Analyst Application Manager (pharmaceutical industry),PT Trust Recruit Indonesia,,"Responsibilities:

Team Leadership: Manage and mentor a team of financial analysts.

Financial Planning and Analysis: Oversee and lead budgeting, forecasting, and long-term financial planning for the organization.

Reporting and Modelling: Develop and maintain financial models, analyse financial statements, and prepare detailed financial reports and presentations.

Strategic Support: Provide data-driven insights and recommendations to senior management to support strategic decision-making.

Collaboration: Work with various departments to understand performance, analyse financial data, and align financial strategy with business goals.

Data Management: Ensure the accuracy of financial data within various systems and dashboards. 




Requirements:

Education: A bachelor's degree in finance, accounting, economics, or a related field

GPA Minimum 3.00.

More than 5 years working experience in related fields and at least 3 years as manager.

Have worked on ERP Application projects and understand the costs used by IT teams to develop Finance Tech.

Analytical Skills: Exceptional analytical and problem-solving abilities, with a keen eye for detail and the capacity to interpret complex data.",https://id.jobstreet.com/id/job/91863232,Rp 20.000.000 – Rp 23.000.000 per month,Business Analyst,indonesia,['r'],1,2026-05-01T18:14:43.449030
91860739,Product Owner (Associate - Senior/Lead Level Available),PT Dwi Cermat Indonesia,,"Job Description


Research, analyze, define product features and you create metrics to measure the impact of your product to the company
Be the primary driver of your product's planning and execution
Write the specs of new features and enhancements
Come up with product road map and rally other people to join your cause to realize your product vision. You are expected to be able to prototype your vision to convince others if necessary.
Work with engineers, designers, ops, sales, legal and even external partners to make things happen

Qualifications


Basic Qualifications:

Minimum Bachelor’s Degree (S1)
Passionate in data-driven product development and has excellent analytical skills to process the data
Detail oriented
Strong planner and very organized
A strong drive to make things happen
Solid oral and written communications skills

Preferred Qualifications (Not required but nice to have):

3+ years of experience for senior level (with IT/Computer Science related degree) in product management in strong tech company with demonstrable success in launching new products, improving products or features that brings impactful business value
Has prior experience as a product manager / software developer / UX designer / project manager
Proficiency in, at least, one programming language such as Java, PHP, Javascript, Python, Ruby, Rust, Go, Haskell
Has prior experience in agile product development
Has advanced degrees i.e. Masters, Phd, MBA, etc",https://id.jobstreet.com/id/job/91860739,,Business Analyst,indonesia,"['rust', 'agile', 'r', 'javascript', 'python', 'php', 'java']",7,2026-05-01T18:14:47.959235
91860735,Product Owner (Associate - Senior/Lead Levels),PT Dwi Cermat Indonesia,,"Company Description


Cermati is a financial technology (fintech) startup based in Indonesia. Cermati simplifies the process of finding and applying for financial product by bringing everything online so people can shop around for financial products online and can apply online without having to physically visit a bank.

Our team hailed from Silicon Valley Tech companies such as Google, Microsoft, LinkedIn and Sofi as well as Indonesian startups such as Doku, Touchten. We have graduates from well known universities such as Universitas Indonesia, ITB, Stanford, University of Washington, Cornell and many others. We are building a company with the same culture of openness, transparency, drive and meritocracy as Silicon Valley companies. Join us in our cause to build a world class fintech company in Indonesia.

Job Description


Research, analyze, define product features and you create metrics to measure the impact of your product to the company
Be the primary driver of your product's planning and execution
Write the specs of new features and enhancements
Come up with product road map and rally other people to join your cause to realize your product vision. You are expected to be able to prototype your vision to convince others if necessary.
Work with engineers, designers, ops, sales, legal and even external partners to make things happen

Qualifications


Basic Qualifications:

Minimum Bachelor’s Degree (S1)
Passionate in data-driven product development and has excellent analytical skills to process the data
Detail oriented
Strong planner and very organized
A strong drive to make things happen
Solid oral and written communications skills

Preferred Qualifications (Not required but nice to have):

3+ years of experience for senior level (with IT/Computer Science related degree) in product management in strong tech company with demonstrable success in launching new products, improving products or features that brings impactful business value
Has prior experience as a product manager / software developer / UX designer / project manager
Proficiency in, at least, one programming language such as Java, PHP, Javascript, Python, Ruby, Rust, Go, Haskell
Has prior experience in agile product development
Has advanced degrees i.e. Masters, Phd, MBA, etc",https://id.jobstreet.com/id/job/91860735,,Business Analyst,indonesia,"['rust', 'agile', 'r', 'javascript', 'python', 'php', 'java']",7,2026-05-01T18:14:52.265828
91858667,IT Business Analyst,PT. Entrepreneur Trust Digital,,"Requirement:

Berpengalaman dalam handle produk digital/finansial/perbankan.

Berpengalaman dalam membuat proses bisnis mapping dan requirement gathering.

Paham terkait strategi Go-to-Market (GTM)

Pernah handle produk acquiring

Berpengalaman dalam identifikasi resiko bisnis dan membuat mitigasinya

Pengalaman as Business Analyst 2 thn",https://id.jobstreet.com/id/job/91858667,Rp 8.000.000 – Rp 10.500.000 per month,Business Analyst,indonesia,"['r', 'git']",2,2026-05-01T18:14:56.767193
91858647,Technical Writer,PT. Entrepreneur Trust Digital,,"Requirement:

Experience using Jira and Confluence

Experience with diagram flows and documentation writing

Working experience as Technical Writer 2 years

Can work at a banking company

Can join ASAP/2 week notice period

Experienced on making documents such as (ERD, FSD, BRD, TSD, TOR, PRD, SRS, SIT/UAT)",https://id.jobstreet.com/id/job/91858647,Rp 5.500.000 – Rp 7.500.000 per month,Business Analyst,indonesia,['r'],1,2026-05-01T18:15:01.395264
91858445,Associate Product Manager,Halodoc,,"Job Description

Responsibilities:

1. Assist in defining product requirements and user stories for minor features or product enhancements.

2. Monitor product metrics and user behaviour to provide insights for decision-making.

3. Conduct competitive analysis and stay updated on industry trends.

4. Work closely with engineering and design teams to ensure timely delivery of small-scale projects.

5. Assist in User Acceptance Testing (UAT) and bug triaging.

Qualifications:

1. Bachelor’s degree in Computer Science, Business, Engineering, or a related field.

2. Experience: 0–2 years of experience (internships or junior roles in tech/startup environments are a plus).

3. Basic understanding of Agile methodologies, strong analytical mindset, and excellent communication skills.",https://id.jobstreet.com/id/job/91858445,,Business Analyst,indonesia,"['agile', 'r']",2,2026-05-01T18:15:05.992589
91862216,Product Manager,PT Ingram Micro Indonesia,,"It's fun to work in a company where people truly BELIEVE in what they're doing!

Job Description: 

Position Summary:
Work as liaison between vendors and organization; provides specialized consultative service and implementing, driving and maintaining vendor programs, marketing, and training; review and negotiate terms of vendor contracts and communicate with vendors regarding day-to-day matters; build and maintain positive relationships with vendors and monitor vendor performance; research invoice and contractual issues and resolve discrepancies. Position may or may not be on sales commission plans.

What you bring to the role:
Established and productive professional individual contributor. Works independently with general supervision. Problems faced are difficult and may be complex. May influence others within the job area through explanation of facts, policies and practices.
Works on moderate to complex projects. Uses company standard policies and procedures to resolve a variety of issues.
Exercises judgment within defined procedures and practices to determine appropriate action. Receives moderate level of guidance. Work is reviewed for soundness of judgment and overall accuracy.
General proficiency with various tools, systems, and procedures required to accomplish the job. May need to consult with Senior/Specialist staff members on some technical issues. A four year college degree (or additional experience in a related field) and 3 years functional experience including a minimum 1 year position specific experience.",https://id.jobstreet.com/id/job/91862216,,Business Analyst,indonesia,['r'],1,2026-05-01T18:15:10.502428
91856545,ERP Developer (Odoo),AGRO BOGA UTAMA GROUP,,"Qualifications:

Bachelor’s Degree in Information Technology (Information Systems, Computer Science, or related field)

Minimum 2–4 years experience in software development, with hands-on experience in Odoo development

Proven experience in developing and customizing Odoo modules (CRM, inheritance, views, workflows)

Proficient in Python, PostgreSQL, JavaScript, and API integration (REST/XML-RPC)

Experience working with Odoo modules such as Sales, Inventory, Accounting, HR, or Manufacturing

Able to demonstrate at least 2–3 Odoo custom modules or projects (portfolio required)

Strong understanding of business processes (ERP systems)

Experience with Microsoft Dynamics AX 2012 is a plus

Good analytical thinking, problem-solving skills, and communication skills

Able to work independently and collaboratively in a team

Willing to work on-site (WFO) Monday–Saturday in Pondok Pinang, South Jakarta

Job Description:

Develop, customize, and maintain ERP systems using Odoo framework

Design and implement custom Odoo modules based on business requirements

Perform development using Python, PostgreSQL, and XML (QWeb)

Integrate Odoo with third-party systems via API (REST/JSON/XML-RPC)

Conduct testing, debugging, and troubleshooting of applications

Analyze existing ERP systems and propose improvements for performance and efficiency

Prepare technical documentation and support functional documentation

Collaborate with internal teams (Finance, Operations, HR, etc.) to optimize ERP usage

Support system deployment, configuration, and upgrades",https://id.jobstreet.com/id/job/91856545,,Business Analyst,indonesia,"['sql', 'r', 'javascript', 'python', 'java', 'postgresql']",6,2026-05-01T18:15:15.120476
91853860,"Senior Associate, Product",PT Sea Group,,"As part of the IT System & Automation team, you will play a key role in modernising IT service delivery through AI-driven products and automation solutions. This includes leveraging Generative AI (GenAI), automation platforms, and data insights to enhance IT Service Management (ITSM), monitoring, incident management, and operational efficiency.

You will support the lifecycle of AI-enabled IT products, from identifying use cases and defining requirements to testing, implementation support, prompt optimisation, and continuous performance improvement. This role combines product ownership, IT operations understanding, and hands-on involvement to deliver scalable, user-centric, and efficient solutions across teams.

Own and manage the lifecycle and roadmap of AI-driven IT products, including chatbots, AI agents, automation workflows, and IT operational tools.
Identify opportunities to improve IT service operations, efficiency, automation, and decision-making through AI, LLM, and automation integration.
Deeply understand IT operation flows, service management processes, and risk considerations to identify gaps and improvement opportunities.
Gather and translate business and IT requirements into scalable AI solutions, workflows, and product features.
Design, test, and refine prompts to improve response accuracy, consistency, relevance, and user experience.
Support configuration of AI-enabled workflows using low-code platforms and collaborate with developers on system integrations, including ITSM tools, APIs, monitoring platforms, and knowledge bases.
Conduct structured testing, including scenario-based testing, edge cases, and user acceptance testing, to validate product quality and reliability.
Define and track product and operational KPIs, such as adoption rate, task completion rate, fallback rate, automation success rate, and user satisfaction.
Leverage data insights, experimentation, and feedback loops to improve system performance and business outcomes.
Work closely with IT operations teams, developers, and business stakeholders to deliver, scale, and continuously enhance AI and automation solutions.
Support rollout, user adoption, documentation, and continuous improvement of AI solutions across regional teams.
Bachelor’s degree in computer science, information technology, or a related discipline.
Min 3 years of experience in technical product, IT product delivery, platform operations, automation, or AI-enabled solution roles.
Hands-on experience in IT operations, IT service management or related IT consulting environments
Hands-on understanding of GenAI, LLMs, and AI agents, including prompt engineering, output evaluation, and concepts such as RAG, embeddings, and context management
Ability to evaluate AI responses for accuracy, relevance, consistency, hallucination risk, and usability in IT service management or operational workflows.
Exposure to low-code automation platforms (e.g, n8n), APIs, workflow automation, system integrations, or AI orchestration tools.
Experience leveraging data and observability platforms (e.g., Elastic, Splunk, Grafana) to analyse logs, user interactions, and system performance, supporting optimisation
Strong analytical mindset with the ability to use data, usage patterns, testing results, and feedback loops to improve product performance and user outcomes.
Proactive, curious, hands-on, and willing to learn in a fast-evolving AI and automation landscape",https://id.jobstreet.com/id/job/91853860,,Business Analyst,indonesia,"['r', 'scala']",2,2026-05-01T18:15:19.616746
