id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91879800,Project Sales,PT. Gree Electric Appliances Indonesia,,"Placement Options:

Yogyakarta

Benefit:

Unlimited sales commission

Basic Salary, incentive, BPJS

Training & Personal Development

Career Path

Requirements

Have a good product knowledge in the commercial air conditioner product is a plus. 

Have a wide networking in HVAC, Commercial AC partners, MEP, contractor, sub contractor, dealer, project owner or other related parties is a plus. 

Good Communication skill, negotiation skill.

Competent in presentations and demonstrations to B2B project related parties.

Job Description

Looking for Project Commercial HVAC.

Engage good relationship with consultants, contractors, sub contractors, project owner and others related parties.

Do sales and achieve monthly sales target.

Develop the commercial Air conditioner market and network.

Monitoring project progress ,product delivery and payment.

Regularly attend industry events, network and build industry relationships.",https://id.jobstreet.com/id/job/91879800,,Business Development,indonesia,['r'],1,2026-05-04T09:37:50.607046
91879285,Trade Marketing Manager,PT. KOSMETIKA CANTIK INDONESIA,,"Job Description :

Membuat dan mengembangkan strategi marketing yang selaras dengan target campaign brand maupun kebutuhan kanal (channel).

Implementasi peran Trade Marketing dalam pelaksanaan program yang berjalan dengan tim sales, distributor, maupun toko serta melakukan control terhadap POSM dan memastikan program merchandhising berjalan sesuai ketentuan.

Melakukan evaluasi dan report secara berkala terhadap segala aktivitas marketing seperti: dashboard performance, program trade marketing, dan post campaign agar dapat berjalan sesuai dengan standar.


Kualifikasi :

Pendidikan minimal D4/S1 jurusan Marketing / Manajemen Bisnis / Komunikasi

Minimal 3-5 tahun pengalaman di bidang trade marketing / sales & distribution

Diutamakan berpengalaman di industry kecantikan

Memahami budgeting, alokasi investasi promosi, perhitungan ROI, dan cost-benefit analysis

Memahami siklus penjualan, strategi distribusi, dan pengelolaan hubungan dengan mitra bisnis 

Memahami strategi pemasaran, perilaku konsumen, branding, dan promosi

Diutamakan berdomisili di Jakarta Selatan

Siap ditempatkan di Jakarta Selatan

Dapat bergabung secepatnya",https://id.jobstreet.com/id/job/91879285,,Business Development,indonesia,['r'],1,2026-05-04T09:37:54.958085
91878255,Sales Representative,Staffinc,,"- Melakukan penjualan produk secara langsung (kanvas) ke outlet/outlet pelanggan sesuai dengan rute dan target yang telah ditentukan.
- Melakukan kunjungan rutin (visit) dan penagihan (billing) ke outlet pelanggan.
- Menyalurkan dan mendistribusikan produk ke outlet sesuai dengan permintaan dan kebutuhan pelanggan.
- Menjalin dan menjaga hubungan baik dengan pelanggan untuk meningkatkan loyalitas dan volume penjualan.
- Melakukan koordinasi dengan tim pengiriman/logistik untuk memastikan kelancaran distribusi barang ke pelanggan.
- Melaporkan hasil kunjungan harian, aktivitas penjualan, dan tagihan kepada atasan secara rutin.
- Menyampaikan informasi produk, promosi, dan kebijakan perusahaan kepada pelanggan.
- Menangani keluhan pelanggan secara profesional dan menyampaikannya kepada pihak terkait bila diperlukan.",https://id.jobstreet.com/id/job/91878255,Rp 3.000.000 – Rp 3.500.000 per month,Business Development,indonesia,['r'],1,2026-05-04T09:37:59.310247
91878070,Strategic Sales Partner,PT NUSANTARA SUKSES TEKNOLOGI,,"Propertek, one of PT Nusantara Sukses Teknologi brand is a growing technology company focused on delivering a SaaS-based Property Management System that helps property businesses streamline operations, improve efficiency, and scale effectively. As part of our expansion, we are looking for a capable and driven Strategic Sales Partner to strengthen our commercial team.

Role Overview

The Strategic Sales Partner will be responsible for managing the full sales cycle, from lead generation through to deal closing. This role requires a high level of ownership, strong commercial acumen, and the ability to work independently with minimal supervision.

Key Responsibilities

• Manage end-to-end sales activities: prospecting, qualification, presentation, negotiation, and closing

• Identify and develop new business opportunities within property, real estate, and related sectors

• Build and maintain a strong and sustainable sales pipeline

• Conduct product demonstrations and present solutions tailored to client needs

• Collaborate with internal teams (Product, Implementation, Customer Success) to ensure seamless client onboarding

• Maintain accurate and up-to-date sales records in CRM systems

• Provide market feedback and insights to support product and commercial strategy

Qualifications

• Proven experience in B2B sales, preferably in SaaS or technology-based products

• Demonstrated ability to manage the full sales cycle independently

• Strong communication, presentation, and negotiation skills

• Results-oriented with a strong drive to achieve and exceed targets

• Proficient in using CRM tools and sales tracking systems

• Experience in property management or real estate industry is an advantage


Employment Arrangement

This role is offered under a Professional Partnership Agreement, intended for highly accountable individuals who are comfortable working independently, target-oriented, and collaboratively with the management team.

Compensation & Partnership Benefit

• Competitive monthly professional benefit

• Performance incentive / commission

• Flexible and dynamic working environment

• Direct exposure to strategic business projects

• Opportunity for long-term collaboration & role expansion",https://id.jobstreet.com/id/job/91878070,Rp 8.000.000 – Rp 10.000.000 per month,Business Development,indonesia,['r'],1,2026-05-04T09:38:03.651815
91878019,ODP Sales Representative,Bayibunda.id,,"Officer Development Program (ODP) Sales Online. ODP adalah program magang PT. Bayi Bunda Hebat yang bertujuan untuk mempersiapkan talenta muda menjadi karyawan.

Kualifikasi:

Usia Maksimal 25 tahun

Pendidikan Min Diploma Jurusan Ilmu komunikasi, pemasaran atau yang relevan

Freshgraduate atau Mahasiswa Tingkat Akhir Dipersilahkan

Komunikatif

Menyukai dunia ibu dan bayi

Target oriented

Job Description:

Menjaga hubungan yang baik dengan customer melalui komunikasi online

Membantu dalam memecahkan masalah yang dihadapi customer dengan layanan Bayibunda.id

Memastikan proses transaksi berjalan lancar

Membantu proses reservasi customer

Benefit:

Uang Saku dan Bonus KPI

Makan Siang

Berkesempatan menjadi karyawan

Sertifikat ODP",https://id.jobstreet.com/id/job/91878019,Rp 1.200.000 – Rp 1.500.000 per month,Business Development,indonesia,['r'],1,2026-05-04T09:38:07.970194
91877994,SALES REPRESENTATIVE,PT Catur Putraharmonis,,"Melakukan proses penjualan / taking order secara langsung kepada customer

Melakukan kunjungan ke customer untuk Analisa kondisi lapangan

Melaporkan hasil kunjungan kepada Supervisor Sales

Mencari dan melakukan proses pengajuan Pelanggan Baru (New Customer)

Melakukan follow up untuk AR yang akan dan sudah jatuh tempo

Bersedia ditugaskan di dalam dan luar kota",https://id.jobstreet.com/id/job/91877994,Rp 3.900.000 – Rp 4.100.000 per month,Business Development,indonesia,['r'],1,2026-05-04T09:38:12.189654
91877963,Unit Manager - Wilayah Jakarta Banten,PT SINAR SOSRO GUNUNG SLAMAT,,"Kualifikasi :

Pendidikan minimal S1 dari semua jurusan 

Berpengalaman sebagai Sales di bidang Costumer Goods, dengan pengalaman memimpin tim

Memiliki SIM A (mampu mengendarai mobil)

Required skills : Distribution Management, Leadership & Relationship Management

Penempatan : Wilayah Jakarta Banten",https://id.jobstreet.com/id/job/91877963,,Business Development,indonesia,['r'],1,2026-05-04T09:38:16.465253
91877968,Brand / Account Lead - Digital Agency,PT Trust Recruit Indonesia,,"Client Details: Chinese Digital Agency

Main Responsibilities:

Lead and manage the brand servicing team to deliver integrated marketing, digital, and advertising solutions for clients

Act as the main point of contact for clients, building strong relationships and understanding their business objectives

Oversee end-to-end project execution, ensuring timelines, budgets, and quality standards are met

Coordinate cross-functional teams including creative, media, and strategy to ensure cohesive campaign delivery

Provide strategic input and recommendations to enhance campaign effectiveness and client satisfaction

Monitor project performance and proactively address challenges to ensure successful outcomes

Requirements

Minimum 3 years of experience in account management, client servicing, or project management within a 4A advertising agency or established digital marketing agency

Proven experience managing integrated marketing or digital campaigns

Strong client management, communication, and stakeholder management skills

Demonstrated leadership experience with the ability to manage and guide a team

Highly organized with strong execution and problem-solving capabilities in a fast-paced environment

Fluent in English, both written and spoken


We regret only shortlisted candidates will be notified.

Important Note: PT Trust Recruit Indonesia is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA). 
Please read our privacy statement on our corporate website www.trustrecruit.co.id

PT Trust Recruit Indonesia",https://id.jobstreet.com/id/job/91877968,,Business Development,indonesia,"['git', 'r', 'rust']",3,2026-05-04T09:38:20.714273
91877889,Head of Product Development,,,"Are you ready to make waves in the Swimwear industry? 

Join our team and be part of a global, fast-paced B2B company dedicated to empowering entrepreneurs worldwide.

We are looking for Head of Product Development for a key business division within a fast-growing apparel company.

The selected candidate will oversee the end-to-end development process, guide technical teams, and ensure that all products meet high standards of quality, fit, and market readiness.

Core Responsibilities :

Lead and manage the full product development lifecycle, from concept evaluation and sample creation to final approval and production handover.

Oversee technical development activities, including pattern accuracy, fit improvements, construction methods, and material suitability.

Collaborate with internal teams such as design, merchandising, materials, and production to ensure smooth workflow and timely deliverables.

Provide direction and guidance to development and technical teams, ensuring consistent quality and efficient execution.

Review prototypes and samples, identify improvement areas, and resolve technical challenges to enhance product readiness.

Maintain strict confidentiality regarding all development processes and organizational changes.

Qualification :

Minimum 3 years of experience in apparel product development, with strong technical and managerial exposure.

Demonstrated ability to lead cross-functional teams and manage multiple development cycles simultaneously.

Strong understanding of product construction, pattern development, fit correction, and sample evaluation.

Experience working with international teams or clients, with excellent communication and organizational skills.

Familiarity with digital development tools (2D/3D pattern software).

Able to work under pressure, prioritize effectively, and make sound technical decisions.",https://id.jobstreet.com/id/job/91877889,,Business Development,indonesia,"['git', 'r']",2,2026-05-04T09:38:25.021411
91877836,Sales Executive Aesthetic Consumable Samarinda,PT Sometech Indonesia,,"KUALIFIKASI :

Rajin dalam bekerja

Memiliki pengalaman minimal 3 tahun di bidang Sales Marketing

Dapat bekerja secara individu maupun tim

Dapat bekerja untuk mencapai target dan dibawah tekanan

Memiliki keinginan untuk belajar dan berpikir kreatif

Memiliki kendaraan pribadi dan SIM

Area Penempatan : Samarinda

DESKRIPSI PEKERJAAN:

Menjual produk aesthetic consumable (Thread, Filler, Botox, Cosmetics, Skinbooster, dll)

Membuat strategi dan rencana untuk meningkatkan penjualan

Mengikuti kegiatan sales seperti exhibition dan workshop

Membangun komunikasi dan hubungan baik dengan customer

Mencapai target penjualan

Melakukan visit secara berkala ke customer",https://id.jobstreet.com/id/job/91877836,,Business Development,indonesia,['r'],1,2026-05-04T09:38:29.283732
91877712,Sales Executive Aesthetic Consumable Jakarta,PT Sometech Indonesia,,"KUALIFIKASI :

Rajin dalam bekerja

Memiliki pengalaman minimal 3 tahun di bidang sales

Dapat bekerja secara individu maupun tim

Dapat bekerja untuk mencapai target dan dibawah tekanan

Memiliki keinginan untuk belajar dan berpikir kreatif

Memiliki kendaraan pribadi dan SIM

Area Penempatan : JAKARTA SELATAN

DESKRIPSI PEKERJAAN :

Menjual produk aesthetic consumable (Thread, Filler, Botox, Cosmetics, Skinbooster, dll)

Membuat strategi dan rencana untuk meningkatkan penjualan

Mengikuti kegiatan sales seperti exhibition dan workshop

Membangun komunikasi dan hubungan baik dengan customer

Mencapai target penjualan

Melakukan visit secara berkala ke customer",https://id.jobstreet.com/id/job/91877712,,Business Development,indonesia,['r'],1,2026-05-04T09:38:33.587261
91877523,Business Development,PT Agung Automall,,"Deskripsi Pekerjaan:

Tersedianya perencanaan proyek (project plan) yang mencakup ruang lingkup, jadwal, sumber daya, dan indikator keberhasilan.

Terlaksananya pengawasan terhadap kualitas, biaya, dan waktu proyek sesuai dengan standar perusahaan dan target manajemen.

Tersedianya laporan perkembangan proyek (progress report) secara berkala kepada stakeholder dan manajemen.




Kualifikasi:

S1 Manajemen Proyek, Teknik Industri, Manajemen Bisnis, Sistem Informasi, Teknik Informatika, atau Bidang terkait.

Minimal 3-5 tahun berpengalaman sebagai Project Manager atau Project Coordinator.

Berpengalaman menyusun laporan manajemen proyek dan post-implementation review.

Berpengalaman dalam mengelola proyek dengan vendor eksternal.",https://id.jobstreet.com/id/job/91877523,,Business Development,indonesia,['r'],1,2026-05-04T09:38:37.833230
91877471,Sales Product (Pemasar),PT Mahameru Mitra Makmur,,"Mencari dan menjalin kerja sama dengan outlet baru (B2B) untuk mendistribusikan produk principal.

Memiliki Komunikasi dan Negosiasi yang cukup baik seperti menguasai keunggulan produk dan menyampaikannya secara persuasif kepada pemilik outlet atau purchasing.

Melakukan kunjungan rutin (canvas/visit) ke outlet untuk mengambil pesanan dan memastikan ketersediaan produk di rak display.

Bertanggung jawab atas pemenuhan target penjualan yang telah ditetapkan oleh perusahaan.",https://id.jobstreet.com/id/job/91877471,,Business Development,indonesia,['r'],1,2026-05-04T09:38:42.089588
91877428,Revenue/Commercial Director,,,"Key Responsibilities

Oversee the overall revenue management strategy across commercial, marketing, and service functions to ensure alignment with business objectives.

Develop and implement effective and cost-efficient pricing and promotional strategies across key revenue streams.

Provide strategic direction and recommendations to strengthen market position and drive sustainable growth.

Analyze monthly business performance, delivering insights and actionable recommendations to support long-term strategic improvements.

Ensure adoption of best practices, including competitor analysis, market trend monitoring, demand forecasting, revenue optimization strategies, channel performance management, and development of innovative pricing approaches.

Requirements

Bachelor’s degree in Business Administration, Marketing, or a related field.

7–10 years of experience in Revenue Management, Commercial Strategy, or Business Analytics.

Strong analytical and financial acumen, with experience in pricing, promotions, and performance optimization.

Solid understanding of market dynamics, demand forecasting, and competitor analysis.

Proven ability to lead cross-functional collaboration and influence business decisions.

Strong communication skills with a results-driven and strategic mindset.",https://id.jobstreet.com/id/job/91877428,,Business Development,indonesia,['r'],1,2026-05-04T09:38:46.261143
