id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91716517,Engineering Planner,PT. Agrinesia Raya,,"Deskripsi Pekerjaan :

Mengumpulkan semua master data (Functional location, bill of material, tasklist preventive & predictive maintenance dll)

Mengimplementasikan CMMS secara sistem maupun teknis di plant untuk semua modul pekerjaan engineering

Bertanggung jawab atas semua proses administratif terkait maintenance & project engineering dengan komunikasi ke departemen lain


Kualifikasi :

Memahami tentang flow proses system maintenance

Kemampuan pengolahan data dasar menggunakan excel/google spreadsheet.

Kemampuan berkomunikasi yang baik dengan semua pihak terkait

Familiar dengan konsep maintenance menggunakan CMMS (SAP, Oracle, dll) poin plus

Familiar dengan gambar teknik (sketchup, autodesk inventor,dll) poin plus",https://id.jobstreet.com/id/job/91716517,,Data Engineer,indonesia,['r'],1,2026-04-24T10:32:02.258969
91716229,Port Engineer Tug & Barge,PT Kevin Shipping,,"Peluang Menarik di PT Kevin Shipping
Kami mencari Port Engineer Tug & Barge yang berpengalaman untuk bergabung dengan tim kami di Jakarta Utara, Jakarta Raya. Dalam peran ini, Anda akan bertanggung jawab atas pemeliharaan dan pengoperasian armada kapal tunda dan tongkang kami, memastikan performa dan keselamatan operasi yang optimal.

Tanggung Jawab Utama

Melakukan pemeriksaan rutin dan perawatan kapal tunda dan tongkang, memastikan kepatuhan terhadap standar keselamatan dan regulasi

Mengidentifikasi dan menyelesaikan masalah teknis pada kapal dengan cepat dan efisien

Berkoordinasi dengan tim operasi untuk menjadwalkan aktivitas pemeliharaan dan perbaikan

Mengelola dan mengawasi pekerjaan teknisi kapal

Memantau dan menganalisis data performa kapal untuk meningkatkan efisiensi operasi

Memberikan laporan berkala terkait kondisi armada dan rekomendasi perbaikan

Kualifikasi yang Dibutuhkan

Gelar Sarjana dalam bidang Teknik Perkapalan atau Teknik Mesin

Memiliki sertifikasi sebagai Port Engineer dengan pengalaman minimal 5 tahun di industri transportasi maritim atau pelabuhan

Kemampuan analitis yang kuat dan keterampilan pemecahan masalah yang baik

Kemampuan bekerja dalam tim dan berkolaborasi dengan berbagai pemangku kepentingan

Mengapa Bergabung dengan PT Kevin Shipping?

gaji yang kompetitif dan tunjangan lainnya

Lingkungan kerja yang dinamis dan mendukung, dengan fokus pada kesejahteraan karyawan

Tentang PT Kevin Shipping
PT Kevin Shipping adalah pemimpin di industri transportasi maritim Indonesia, dengan armada kapal tunda dan tongkang terlengkap di negara ini. Kami berkomitmen untuk menyediakan solusi logistik terpercaya dan efisien bagi pelanggan kami di seluruh Nusantara. Melalui inovasi berkelanjutan dan sumber daya manusia yang berdedikasi, kami berupaya menjadi mitra logistik pilihan di Indonesia.


Tertarik untuk bergabung dengan tim kami? Lamar sekarang dan jadilah bagian dari perjalanan PT Kevin Shipping menuju keunggulan di industri pelayaran Indonesia.",https://id.jobstreet.com/id/job/91716229,,Data Engineer,indonesia,['r'],1,2026-04-24T10:32:06.428715
91716079,Software Engineer,Fznajm,,"Kesempatan
Pancaran Logistic sedang mencari talenta terbaik untuk bergabung sebagai HR Generalist di Jakarta. Kami memiliki 2 posisi permanen yang siap diisi oleh individu yang berdedikasi dan memiliki semangat tinggi. Ini adalah kesempatan emas untuk berkontribusi dalam tim HR kami yang inovatif.

Tanggung Jawab
- Mengelola seluruh siklus rekrutmen mulai dari pencarian hingga penawaran
- Mengembangkan dan mengimplementasikan kebijakan dan prosedur HR
- Mengelola data karyawan dan sistem informasi HR
- Memberikan dukungan HR kepada karyawan dan manajemen
- Menangani administrasi penggajian dan tunjangan

Persyaratan
- Pendidikan minimal S1 di bidang terkait
- Pengalaman minimal 2 tahun di bidang HR
- Mampu mengoperasikan Python, Java, dan SQL
- Keterampilan komunikasi dan interpersonal yang kuat
- Berorientasi pada detail dan mampu bekerja di bawah tekanan

Manfaat
- Gaji dan tunjangan yang kompetitif
- Lingkungan kerja yang kolaboratif dan suportif
- Kesempatan untuk pengembangan karir dan pelatihan
- Akses ke teknologi dan sistem HR modern
- Keseimbangan kehidupan kerja yang sehat

Tentang Kami
Pancaran Logistic adalah penyedia layanan logistik terdepan yang berkomitmen pada inovasi dan efisiensi. Kami bangga dengan budaya perusahaan yang progresif dan tim yang berdedikasi untuk memberikan hasil terbaik.",https://id.jobstreet.com/id/job/91716079,$100.000 – $150.000 per year (USD),Data Engineer,indonesia,"['python', 'r', 'sql', 'java']",4,2026-04-24T10:32:10.642626
91715039,Finance Officer (Lippo Plaza Palangkaraya),PT Lippo Malls Indonesia,,"Requirement:

Minimum bachelor’s degree in Finance, Accounting, and business

Ability to work with large databases including understanding the data, understanding how the data works, a thrill for establishing coherent, quality table content to address business problems and needs

Solid knowledge of fundamental accounting principles

Strong software application skills including spreadsheets, databases, word processing and presentation software

Having work experience at least 3 years in the same or relevant field

Job Description:

Check and sign vouchers and receipts

Check the cash expenditure recap

Verify utility bills

Make a monthly report on the realisation of cash flow

Making the Inter Office (IOM) a warning for tenants to shut down tenant facilities and make work orders to bring the utility back to engineering

Make / revise reports on receipts of budget & monthly receivables

Checking the tenant's obligations related to returning the deposit and making a deposit bill

Billing the tenants

Responsible for the implementation of the company's financial activities including cash inflows and outflows, internal financial controls, controlling the company's cash flow",https://id.jobstreet.com/id/job/91715039,,Data Engineer,indonesia,['r'],1,2026-04-24T10:32:14.850726
91714826,Data Engineer,PT Anggana Catur Prima,,"Kualifikasi :

Pendidikan minimal S1 dari jurusan Ilmu Komputer.

Pengalaman kerja minimal 1-2 tahun di bidang yang sama. Lulusan baru dipersilakan melamar.

Menguasai Bahasa pemograman Python & SQL

Memiliki pemahaman yang baik tentang Struktur Data dan konsep Data (seperti Data Lake, Data Warehouse, Data Mart).

Berpengalaman menggunakan Workflow/Orchestration tools (pengalaman dengan Airflow menjadi nilai tambah).

Memahami pengoperasian dasar sistem operasi Linux.

Memiliki pengalaman menggunakan Tools berikut menjadi nilai plus (Docker/Power BI)

Memiliki kemampuan memecahkan masalah yang baik, berorientasi pada detail, teliti, dan mampu berkomunikasi dengan pihak non-teknis.

Memiliki kemampuan interpersonal yang baik.

Memiliki keingintahuan yang tinggi, suka belajar hal baru, serta memiliki fleksibilitas dan kemampuan beradaptasi.

Memiliki kemampuan microsoft excel advance

Memiliki kemampuan validasi data, memberikan data yg akurat




Tanggung jawab :

Merancang, membangun, dan memelihara data pipeline yang skalabel

Mengembangkan dan mengoptimalkan data warehouse dan sistem database

Memastikan kualitas, konsistensi, dan validasi data dari berbagai sumber

Kolaborasi dengan data analysts dan cross-functional teams untuk memahami kebutuhan data.

Memberikan bantuan untuk permintaan ad-hoc SQL queries atau ekspor data

Memelihara dan mengembangkan server yang digunakan oleh tim data.

Project Automasi",https://id.jobstreet.com/id/job/91714826,,Data Engineer,indonesia,"['python', 'docker', 'power bi', 'linux', 'r', 'sql', 'airflow']",7,2026-04-24T10:32:19.058974
91714406,AI Engineer,,,"Key Responsibilities:

Prepare, clean, and structure datasets for model development

Develop and train computer vision models

Perform model evaluation and optimization

Support model deployment and testing workflows

Integrate model to device (mobile etc)

Requirements:

Hands-on experience using Google Colab for model development

Proficiency in Python for data processing and machine learning tasks

Experience of computer vision atleast 1 year

Ability to work independently and meet project timelines",https://id.jobstreet.com/id/job/91714406,,Data Engineer,indonesia,"['python', 'r']",2,2026-04-24T10:32:23.267082
91713277,Production Engineering (Experience),PT Indonesia Stanley Electric,,"PT. Indonesia Stanley Electric perusahaan manufaktur PMA Jepang yang memproduksi lampu kendaraan roda 2 dan roda 4 seperti Honda, Yamaha, Suzuki, Kawasaki, Mitsubishi dll.

Saat ini sedang membuka lowongan kerja untuk posisi Production Engineering dengan kualifikasi sebagai berikut :




Pendidikan Min. D3 atau S1 Teknik Mekatronika / Teknik Mesin / Teknik Elektro.

Memiliki pengalaman dan kemampuan yang tinggi di bidang Production Engineering (pembuatan dan perbaikan jig serta peralatan produksi, dll).

Memiliki pengetahuan mendalam tentang Poka-yoke (pencegahan kesalahan) dan analisis 3M (Muda / pemborosan, Mura / ketidakseimbangan, Muri / kelebihan beban).

Memiliki sikap yang baik, memiliki rasa tanggung jawab untuk melaksanakan dan menyelesaikan pekerjaannya secara mandiri.

Kemampuan analisis data dan pemecahan masalah.

Memiliki kemampuan bahasa Jepang akan menjadi nilai tambah.

Memiliki Semangat dan Dedikasi yang Tinggi.

Bersedia Mengikuti Seleksi dan Penempatan di Kabupaten Tangerang, Banten (Proses Seleksi Hanya dilaksanakan Secara Offline).",https://id.jobstreet.com/id/job/91713277,Rp 7.000.000 – Rp 8.000.000 per month,Data Engineer,indonesia,['r'],1,2026-04-24T10:32:27.422823
91713266,Database Engineer,"PT Jababeka, Tbk",,"Requirements:

Memiliki kemampuan yang baik menggunakan database SQL Server

Memiliki kemampuan yang baik pada arsitektur database, table, view, stored procedure, function

Berpengalaman melakukan database maintenance : sinkronisasi database, ETL

Berpengalaman menangani database Finance Accounting

Good analytical thinking

Pengalaman minimal 2 tahun

Kontrak Outsourcing",https://id.jobstreet.com/id/job/91713266,,Data Engineer,indonesia,"['r', 'sql']",2,2026-04-24T10:32:31.604666
91712767,Operation Process Excellence Engineer,PT Cita Mineral Investindo Tbk,,"Pendidikan min. S1 Teknik Pertambangan / Teknik Sipil / Teknik Industri / Statistika

Pengalaman min. 2 - 4 tahun di bidang monitoring & control data operasional tambang

Memiliki pengalaman dalam monitoring idle time, PA unit rental, dan Fleet Management System

Memiliki pengalaman dalam memimpin tim

Menguasai Microsoft Office dan Spreadsheet

Memiliki pengalaman dalam Mine Control Room (MCR) / Dispatch (menjadi nilai tambah)

Bersedia dinas ke site / luar kota

Penempatan HO - Jakarta",https://id.jobstreet.com/id/job/91712767,,Data Engineer,indonesia,['r'],1,2026-04-24T10:32:35.755007
91707454,R&D Engineer (Graduate Master Degree in 2026),PT. KINGFA SCI & TECH INDONESIA,,"I. JOB OBJECTIVES

The Modified Plastics Product Development Engineer is responsible for driving innovation in polymer materials through new product R&D, process optimization, and performance enhancement. The role transforms laboratory formulations into scalable industrial processes, ensuring stability and cost efficiency, while addressing client demands across automotive, electronics, and home appliance sectors. In addition, the position provides technical support, monitors industry trends, and collaborates with sales and partners to deliver tailored solutions and promote continuous product iteration.

II. FUNCTIONS AND TASKS

1. Lead R&D of modified plastic products, including formulation, testing, and process optimization.

2. Design and scale production processes, resolve technical challenges, and ensure cost-effective manufacturing.

3. Enhance product performance through material and process improvements; establish technical standards.

4. Provide technical support, monitor industry trends, and collaborate with clients and sales teams.

5. Manage R&D projects, documentation, and IP filings; apply experimental design and data analysis to drive innovation.

III. CAPACITY REQUIREMENTS

1. Hold a master's degree or higher in polymer science and engineering, polymer chemistry and physics, polymerization and polymer engineering, chemical engineering and technology, or related fields;

2. Possess strong English and communication skills; Chinese is an advantage

3. Demonstrate initiative and excellent interpersonal communication abilities;

4. Exhibit outstanding professional data analysis capabilities.

5. Can relocate in Vietnam & China for training in 2 year after that will return to Indonesia.",https://id.jobstreet.com/id/job/91707454,Rp 13.000.000 – Rp 14.000.000 per month,Data Engineer,indonesia,"['r', 'scala']",2,2026-04-24T10:32:39.940781
91706623,IT PROGRAMER STAFF,PT Agres Info Teknologi,,"Software Engineer (Python & Golang)

Kualifikasi Utama

Memiliki high logical thinking dan problem solving yang sangat kuat

Mampu melakukan analisis cepat dan tepat terhadap permasalahan teknis maupun bisnis

Terbiasa bekerja dengan deadline dan sistem yang kompleks

Memiliki mindset engineer, bukan sekadar coder

Technical Requirements

Wajib:

Sangat familiar dengan Python & Golang

Pengalaman membangun API, service, atau backend system berskala besar

Memahami konsep:

Clean Code

Data Structure & Algorithm

Concurrency / asynchronous processing

Performance & optimization

Nilai Tambah (Plus):

Pengalaman menggunakan React.js atau React Native

Pengalaman fullstack atau mobile development

Familiar dengan REST / JSON API, caching, dan database

Soft Skills

Cepat belajar, adaptif, dan inisiatif tinggi

Mampu mengeksplor solusi secara mandiri

Komunikasi teknis yang jelas

Bertanggung jawab terhadap solusi yang dibuat

Salary & Benefits

Bonus berdasarkan performa

Kesempatan menangani real production system

Fast career & skill growth

Lingkungan kerja fokus pada engineering & logic

Fleksibel dan terbuka terhadap ide & improvement

Target Kandidat

Backend Engineer / Software Engineer

Fullstack Engineer

Problem Solver dengan logical thinking kuat",https://id.jobstreet.com/id/job/91706623,,Data Engineer,indonesia,"['python', 'golang', 'react', 'r']",4,2026-04-24T10:32:44.173991
91707828,Admin Support - Staff,MitraComm,,"A. Qualification:

1. Education and Experience
a. Bachelor’s degree in Business Administration, Management, Information Systems, Industrial Engineering, Statistics, or related fields.
b. Minimum 2–3 years of experience in Operations Support, Retail Operations, Business Operations, Data Reporting, or Administrative Support roles in telecommunications, retail, or FMCG industries.
c. Experience in managing operational databases, consolidating performance reports, or supporting retail/store operations is an advantage.

2. Technical Skills (Hard Skills)
a. Proficient in Microsoft Excel (Pivot Table, Vlookup/Xlookup, and data consolidation) for operational data processing and reporting.
b. Understanding of operational database management such as asset database, store database, and manpower database.
c. Ability to consolidate operational performance reports including revenue, productivity, service performance, and store performance metrics.
d. Understanding of operational administrative processes such as asset management, vendor BAST documentation, and retail operational data management.
e. Basic knowledge of data reporting tools such as Power BI or similar dashboard tools is an advantage.

3. Non-Technical Skills (Soft Skills)
a. Strong attention to detail with high accuracy in operational data handling.
b. Good coordination and communication skills to work with cross-functional teams such as Circle Retail, Regional teams, Managed Service vendors, and Data Analytics teams.
c. Strong organizational skills to manage weekly and monthly operational reporting cycles.
d. Proactive, responsible, and able to work independently as well as collaboratively in a team environment.

4. Preferred Qualification
Candidates with experience in retail operational data management, store database administration, or dashboard-based reporting systems will be prioritized.


B. Job Responsibility

1. Operations Support
a. Provide supporting tools for Gerai IM3 and 3Store (e.g., EDC, laptops, tablets, e-card readers, and operational mobile phones) as requested
b. Perform distribution of uniforms and merchandise from Headquarter to the Circle.
c. Update the Gerai IM3 and 3Store asset database based on regional updates.
d. Provide monthly BAST for Labor Supply of Gerai IM3 and 3Store.

2. KPI Performance & Reporting Support
a. Provide supporting data on KPI performance for Store Units, Frontliners, and Retail Operations (e.g., CSAT scores, monthly quiz results) on a monthly basis
b. Collaborate closely with the BAI Team to provide retail data for Power BI dashboards and reports.
c. Consolidate monthly performance report covering Revenue, GA, Productivity, and service performance.
d. Provide weekly shift data for Gerai IM3 and 3Store frontliners to support Power BI scoring for attendance and tardiness tracking.

3. Retail Footprint & Resource Management Support
a. Create store codes for Gerai IM3 and 3Store based on new store requests.
b. Update the database of Gerai IM3, 3Store, ISP live services on a monthly basis, reflecting store openings and closures based on regional updates.
c. Provide monthly manpower database of Gerai IM3 and 3Store frontliners.",https://id.jobstreet.com/id/job/91707828,,Data Engineer,indonesia,"['power bi', 'r']",2,2026-04-24T10:32:48.412506
91705572,Technical Store - Karawang - WFO,PT. PERSOLKELLY Recruitment Indonesia,,"Requirement :

Bachelor's degree in Mechanical Engineering/Electrical Engineering.

Fresh graduates are welcome 1

Strong working proficiency in Microsoft Excel to support data analysis, tracking, and reporting.

Quick learner with the ability to understand, adapt to, and effectively operate SAP systems to support operational efficiency.

Job Description :

Drive end-to-end material organization and optimization, ensuring high accuracy, traceability, and efficiency within the storage system.

Proactively manage material planning, including order and reorder strategies, to prevent stockouts and minimize excess inventory.

Ensure timely and accurate fulfillment of technician requests, enabling smooth and uninterrupted maintenance operations.

Own inventory integrity in the technical warehouse, including continuous monitoring, discrepancy resolution, and process improvement.

Deliver insightful daily and monthly reporting to the Catalogue Sparepart Engineer and Material Storeroom Leader, highlighting trends, risks, and optimization opportunities.",https://id.jobstreet.com/id/job/91705572,,Data Engineer,indonesia,['r'],1,2026-04-24T10:32:52.596895
