id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91678012,Data Analyst for Admin Staff,PT Victoria Care Indonesia TBK,,"Work Description

Olah Data dan Materi Rakor bulanan

Rekap performance SI/SO toko ber SPG/MD/BA dan rekap sewa/promo

Monitoring program sewa/program banded

Olah data Team promo distributor/Cabang

Requirement

Minimal lulusan S1 jurusan Matematika, Statistika, Sains Data, atau Sistem Informasi dll

Menguasai Microsoft Excel level Intermediate/Menengah

Siap bekerja sesuai deadline, dan fleksible

Menguasai tata kelola data dan memiliki logika bekerja

Mampu berkoordinasi dengan baik dengan atasan dan rekan kerja antar divisi",https://id.jobstreet.com/id/job/91678012,,Data Scientist,indonesia,['r'],1,2026-04-22T16:25:57.063889
91677954,Machine Learning Engineer (Python & SQL),PT Nityo Infotech,,"Job Summary

We are seeking a talented and motivated Python, SQL, and AI/ML Developer to join our dynamic team. The

ideal candidate will have expertise in Python programming, SQL database management, and experience in

developing Artificial Intelligence (AI) and Machine Learning (ML) solutions. This role involves working on data - intensive applications, building predictive models, and optimizing database performance to support AI/MLdriven insights.




Key Responsibilities

Python and SQL Development:

Write efficient, reusable, and scalable Python code for backend systems, APIs, and automation tasks.

Design and maintain complex SQL queries, stored procedures, and scripts for data processing and reporting

Develop and optimize database structures and schemas to ensure optimal performance and data integrity.




AI/ML Development:

Build and train machine learning models for predictive analytics, classification, regression, and clustering tasks.

Implement AI/ML algorithms using Python libraries such as TensorFlow, PyTorch, Scikit-learn, or Keras.

Work on data pre-processing, feature engineering, and model evaluation to improve performance and accuracy

Deploy machine learning models into production environments, ensuring scalability and reliability.




Data Integration and Processing:

Design and develop ETL pipelines to ingest and process data from multiple s ources for AI/ML workflows.

Collaborate with data engineers to integrate AI/ML models into existing systems and applications.

Perform exploratory data analysis (EDA) to uncover insights and guide decision-making.




Optimization and Debugging:

Optimize Python code and SQL queries to improve system efficiency and database performance.

Debug and resolve issues in AI/ML models, backend systems, and databases.




Collaboration and Documentation:

Work closely with stakeholders to gather requirements and translate them into technical solutions.

Document code, processes, and AI/ML workflows for future reference and team collaboration.







Required Skills and Qualifications

Programming and Development:

Strong proficiency in Python and experience with frameworks like Django, Flask, or FastAPI.

Expertise in SQL and relational databases such as MySQL, PostgreSQL, or Microsoft SQL Server.




AI/ML Skills:

Hands-on experience with AI/ML frameworks and libraries such as TensorFlow, PyTorch, Scikit-learn, or Keras

Strong understanding of supervised and unsupervised learning techniques, including regression, classification, clustering, and natural language processing (NLP).

Familiarity with MLOps tools and practices for deploying and monitoring machine learning models in production.




Data Science and Analytics:

Experience with data preprocessing, feature engineering, and exploratory data analysis (EDA).

Knowledge of statistical methods and techniques used in data analysis and machine learning.




Database and Optimization:

Proficiency in writing complex SQL queries, optimizing database performance, and ensuring data integrity.

Familiarity with NoSQL databases like MongoDB or Cassandra is a plus.




Tools and Technologies:

Experience with cloud platforms (e.g., AWS, Azure, or GCP) and their AI/ML services.

Familiarity with version control systems (e.g., Git) and containerization tools like Docker.

Knowledge of big data tools such as Apache Spark, Hadoop, or Kafka is a plus.




Soft Skills:

Strong analytical and problem-solving skills with a focus on delivering high-quality results.

Excellent communication and collaboration skills to work in a cross-functional team.

Ability to manage time effectively and handle multiple tasks in a fast-paced environment.




Preferred Qualifications

Bachelor’s or Master’s degree in Computer Science, Data Science, AI/ML, or related field.

5+ years of hands-on experience in Python, SQL, and AI/ML development.

Certification in AI/ML or cloud platforms (e.g., AWS Certified Machine Learning, Google Professional ML Engineer) is a plus.

Experience with NLP, computer vision, or time-series analysis is highly desirable.",https://id.jobstreet.com/id/job/91677954,Rp 15.000.000 – Rp 17.000.000 per month,Data Scientist,indonesia,"['postgresql', 'aws', 'gcp', 'django', 'sql', 'spark', 'kafka', 'tensorflow', 'flask', 'azure', 'git', 'r', 'mysql', 'pytorch', 'python', 'fastapi', 'scala', 'scikit-learn', 'docker', 'keras', 'mongodb', 'hadoop']",22,2026-04-22T16:26:01.148031
91674094,Data Enginner,PT Sanpota Batara Indonesia,,"Kami mencari Data Engineer yang bertanggung jawab untuk membangun, mengelola, dan mengoptimalkan sistem pengolahan data guna mendukung kebutuhan analisis bisnis.

Tanggung Jawab:

Mengembangkan dan memelihara data pipeline (ETL/ELT)

Mengelola database dan data warehouse

Berkolaborasi dengan tim Data Analyst & Data Scientist

Memastikan kualitas dan integritas data

Mengoptimasi performa query dan sistem data

Monitoring dan troubleshooting sistem data

Kualifikasi (Requirements)

Minimal S1 di bidang IT, Computer Science, Data Analyst atau sejenisnya yang relevant

Pengalaman sebagai Data Engineer/ Fresh Graduate are welcome to apply

Menguasai SQL

Familiar dengan Python / Scala

Pengalaman dengan ETL tools (Airflow, Talend, dbt, dll)

Mengerti konsep Data Warehouse & Data Lake",https://id.jobstreet.com/id/job/91674094,Rp 3.500.000 – Rp 5.000.000 per month,Data Scientist,indonesia,"['sql', 'airflow', 'r', 'python', 'scala']",5,2026-04-22T16:26:05.346858
91673562,Machine Learning Engineering Section Head,OLX Indonesia,,"Leading and directing a team of machine learning engineers in the development and implementation of Data Science (DS) and Machine Learning (ML) models.

Developing strategies and roadmaps for machine learning initiatives within the company.

Collaborating with data science, product, and engineering teams to identify opportunities for ML application.

Monitoring and evaluating team performance while providing necessary feedback and guidance.

Ensuring the quality and accuracy of DS and ML models developed by the team.

Managing ML projects from concept to implementation, ensuring they are completed on time and within budget.

Providing input regarding cost efficiency in the maintenance of data infrastructure.




Requirements:

Bachelor's degree in Computer Science, Informatics Engineering, or related

A master's degree is preferred

Minimal 5 years in applied ML/DS with at least 2 years experience in leadership role.

Proven experience in leading machine learning project and managing a team of data machine learning engineer.

Handson experience building, validating, and deploying ML models (supervised, unsupervised, deep learning).

Strong MLOps skills: CI/CD, model versioning, monitoring, A/B testing.

Proven track record managing ML projects endtoend on time and on budget.

Excellent crossfunctional communication and stakeholder management.

Focus on model quality, governance, scalability, and costefficient infrastructure decisions.",https://id.jobstreet.com/id/job/91673562,,Data Scientist,indonesia,"['r', 'scala']",2,2026-04-22T16:26:09.622520
91671820,Admin Operasional & Sistem,PT. Sinergi Innovate Pratama,,"Deskripsi Pekerjaan: Bertanggung jawab atas pengelolaan data skala besar, administrasi aset perusahaan, serta optimalisasi alur kerja operasional.




Requirements umum :

Pendidikan: Minimal D3/S1 (Semua Jurusan).

Data Management : Ahli dalam mengoperasikan MS Excel dan Google Spreadsheet tingkat lanjut (VLOOKUP, Pivot Table)

Sistematis & Teliti : Memiliki ketelitian yang sangat tinggi dalam menangani dokumentasi (softcopy/hardcopy) dan manajemen inventaris.

Manajemen Waktu : Mampu menetapkan skala prioritas dan tetap produktif di bawah tekanan target pengerjaan.

Komunikasi : Komunikatif dan mampu bekerja sama dalam tim.




Persyaratan Teknis & Kreatif (Problem Solver):

AI Literacy: Terbiasa menggunakan AI Prompting (ChatGPT, Gemini, dsb) untuk melahirkan solusi kerja yang lebih cepat dan efisien.

Visual Editing: Memiliki kemampuan dasar/menengah dalam menggunakan Adobe Photoshop atau aplikasi editing lainnya untuk kebutuhan dokumentasi dan laporan operasional.

Collaboration Tools: Mahir menggunakan ekosistem Google Workspace (Drive, Forms, Sheets) secara kolaboratif.




Nilai Plus (Preferred):

Memahami atau terbiasa menggunakan Google Apps Script untuk otomatisasi tugas rutin di Spreadsheet.

Memiliki pengalaman dalam mengelola dokumen kontrak atau berita acara hasil kerja.",https://id.jobstreet.com/id/job/91671820,Rp 5.500.000 – Rp 6.500.000 per month,Data Scientist,indonesia,['r'],1,2026-04-22T16:26:13.883337
91670484,Data Engineer,PT. LOTTE INNOVATE INDONESIA,,"What you'll be doing

Design, develop, and maintain scalable data pipelines and data processing workflows

Collaborate with cross-functional teams to understand business requirements and translate them into effective data solutions

Optimise data warehouse and database performance to ensure efficient data storage and retrieval

Implement data security and governance practices to ensure data integrity and compliance

Automate data extraction, transformation, and loading processes to improve efficiency

Provide technical guidance and mentorship to junior data engineers

Stay up-to-date with the latest data engineering technologies and best practices

What we're looking for

3+ years of experience as a data engineer or in a similar role

Proficient in programming languages such as Python, SQL, and Scala

Hands-on experience with data processing and integration tools (e.g., Apache Spark, Apache Kafka, Apache Airflow)

Expertise in designing and optimising data warehouses and data lakes

Strong understanding of data architecture, data modelling, and data quality principles

Experience with cloud-based data platforms (e.g., AWS, Google Cloud, Microsoft Azure)

Ability to work collaboratively in a team and effectively communicate technical concepts to non-technical stakeholders",https://id.jobstreet.com/id/job/91670484,,Data Scientist,indonesia,"['aws', 'sql', 'spark', 'kafka', 'azure', 'airflow', 'r', 'python', 'scala']",9,2026-04-22T16:26:18.092914
91669386,Data Engineer,PT. Berca Hardayaperkasa,,"Requirements

Minimal 2 tahun pengalaman sebagai Data Engineer atau posisi terkait.

Memiliki pengalaman hands-on dalam implementasi Data Warehouse atau Data Lakehouse.

Mahir menggunakan Python untuk data processing dan automation.

Kuat dalam SQL, khususnya dengan PostgreSQL.

Memahami konsep ETL/ELT, data modeling (star schema, snowflake), dan data pipeline.

Terbiasa bekerja dengan volume data besar dan optimasi query.

Memahami konsep distributed system dan data architecture menjadi nilai tambah.

Pengalaman dengan Greenplum menjadi nilai plus.

Memiliki kemampuan problem-solving yang baik dan mampu bekerja secara mandiri maupun dalam tim.",https://id.jobstreet.com/id/job/91669386,,Data Scientist,indonesia,"['postgresql', 'sql', 'r', 'python']",4,2026-04-22T16:26:22.284407
91666318,Applied AI,COMBIPHAR Group,,"Responsibilities :

Bertanggungjawab dalam mengembangkan dan mengimplementasikan solusi berbasis Artificial Intelligence (AI) untuk mendukung transformasi digital perusahaan, khususnya dalam automation, data analytics, dan peningkatan efisiensi operasional

Melakukan identifikasi kebutuhan bisnis, merancang solusi AI yang tepat guna, serta mengintegrasikan dengan sistem existing untuk menghasilkan insight dan proses kerja yang lebih optimal

Melakukan monitoring dan continuous improvement terhadap solusi AI agar memberikan nilai tambah yang berkelanjutan bagi perusahaan

Berperan aktif dalam mengeksplorasi peluang pemanfaatan AI di berbagai fungsi bisnis guna meningkatkan produktivitas dan daya saing perusahaan




Requirements :

Min. pendidikan S1 Teknik Informatika/Sistem Informasi

Menguasai konsep Artificial Intelligence & Machine Learning

Pengalaman dalam automation (RPA/workflow automation/Agentic AI)

Memiliki kemampuan problem solving dan analytical thinking yang baik

Mampu berkomunikasi dengan user (non-technical) secara efektif

Memiliki keinginan belajar tinggi terhadap perkembangan teknologi khususnya AI

Antusias dalam mengeksplorasi tool/platform AI terbaru

Kreatif dan inovatif dalam mencari solusi berbasis teknologi

Mengetahui berbagai platform AI beserta peruntukannya, baik yang free maupun berbayar




Proses rekrutmen tidak dipungut biaya/gratis. Berhati-hatilah terhadap segala jenis penipuan yang mengatasnamakan Combiphar Group.",https://id.jobstreet.com/id/job/91666318,,Data Scientist,indonesia,"['git', 'r']",2,2026-04-22T16:26:26.468815
91662786,AI ENGINEER,CV DT,,"Gambaran Umum Pekerjaan
Kami dari CV Dua Tangan mencari AI Engineer yang kreatif dan inovatif untuk bergabung dengan tim kami di Kabupaten Probolinggo, Jawa Timur. Sebagai AI Engineer, Anda akan memainkan peran kunci dalam pengembangan solusi berbasis kecerdasan buatan yang dapat membantu perusahaan mencapai tujuan bisnisnya. Anda akan bekerja di lingkungan yang dinamis dan terus berubah, dengan peluang untuk menerapkan keterampilan Anda dalam proyek-proyek menantang.

Tanggung Jawab Utama

Merancang dan mengembangkan sistem kecerdasan buatan yang dapat mengatasi masalah bisnis secara efektif.

Melakukan analisis data dan pemodelan untuk menghasilkan wawasan berharga yang menginformasikan pengembangan solusi AI.

Memastikan integrasi lancar antara komponen AI dengan sistem dan infrastruktur yang ada.

Berkontribusi pada pengujian, pemeliharaan, dan pengembangan lebih lanjut dari solusi AI yang dibangun.

Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan

Gelar sarjana atau setara di Ilmu Komputer, Teknik Komputer, atau bidang terkait.

Minimal 3 tahun pengalaman dalam pengembangan aplikasi berbasis kecerdasan buatan.

Mahir dalam bahasa pemrograman seperti Python, TensorFlow, PyTorch, atau bahasa serupa.

Berpengalaman dalam merancang, mengimplementasi, dan mengevaluasi model AI yang efektif.

Kemampuan analitis yang kuat dan kemampuan pemecahan masalah yang baik.

Siap bekerja di bawah Tekanan

Mampu bekerja secara Tim

Mampu mengoperasikan Excel

Fasilitas

Tempat tinggal (wajib mess)

Makan

Gaji

Jika Anda tertarik untuk menjadi bagian dari perjalanan kami, lamar posisi ini sekarang dan bergabunglah dengan kami untuk membangun masa depan yang lebih pintar dan lebih terintegrasi.",https://id.jobstreet.com/id/job/91662786,Rp 3.500.000 – Rp 5.000.000 per month,Data Scientist,indonesia,"['tensorflow', 'r', 'pytorch', 'python']",4,2026-04-22T16:26:30.603644
91665094,Weather Analytics and Forecasting,PT Pasifik Satelit Nusantara,,"Job Description :

Collect weather data from various available sources.

Process and analyze weather data in the following formats: H5, NetCDF Classic, NetCDF4, XLSX, GeoTIFF, GRIB.

Analyze data with detailed, easy-to-understand analysis, including clear references, to support decision making.

Process GIS data and satellite imagery data.

Proven ability to manage and maintain project deliverables, consistently meeting or exceeding established Service Level Agreements (SLAs).




Job Specification

Proficiency in one or more programming languages such as Python, R, C/C++, Fortran, or Shell scripting

Understands the basic concepts of mapping in GIS Software

Understands or has studied weather modeling using WRF/MPAS-A

Familiarity with linux/unix environment

Able to adapt in a fast changing and challenging environment

Able to work in a team or across teams

Comfortable working with minimal supervision, proactively identifying problems, proposing solutions, and driving projects to completion.

Majoring : Meteorology or a related field",https://id.jobstreet.com/id/job/91665094,,Data Scientist,indonesia,"['c++', 'linux', 'r', 'python']",4,2026-04-22T16:26:34.848488
