id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91778257,Software Engineer Intern,PT Adira Dinamika Multi Finance Tbk,,"Kualifikasi :

Program Studi: Teknik Informatika/Sistem Informasi/Teknik Komputer/Rekayasa Perangkat Lunak

Minimal semester 5 di Universitas/Perguruan Tinggi atau mengikuti ketentuan program magan dari masing-masing Universitas/Perguruan Tinggi (S1/D4/D3).

Pernah terlibat dalam membangun system atau aplikasi (backend API/ web front end /mobile) dengan bahasa pemrogaman diutamakan : Java/ PHP/ JS/Python

Pernah terlibat dalam pembuatan dokumentasi terkait system atau aplikasi

Bersedia Full WFO from Sudirman, Jakarta Selatan



Tugas:

Membantu dalam pengembangan aplikasi dalam tim IT Dev SSD (core and satelite)

Membantu proses mulai dari unit testing dan functionality testing dalam Pengembangan Aplikasi

Melengkapi Dokumentasi Teknis sesuai kebutuhan Project",https://id.jobstreet.com/id/job/91778257,,IT Support,indonesia,"['python', 'php', 'r', 'java']",4,2026-04-28T10:44:00.124598
91530036,Presales IT Security,Cyber Sinergi Indonesia,,"Bachelor's degree in Information Technology (S1)

Understanding of Security fundamentals, security protocols and analytical skills

Minimum of 3 years experience in related position

Experience with Solution Design & Technical Proposal

Lead, demonstrate, and conduct PoCs to prove solution effectiveness to prospective clients

Familiar cybersecurity tools such as PAM, IAM, EDR, SIEM, Firewall

Good communications skill in English",https://id.jobstreet.com/id/job/91530036,,IT Support,indonesia,['r'],1,2026-04-28T10:44:04.423514
91777382,IT System Analyst / Solution Architect,PT ELISTEC INFORMATIKA UTAMA,,"Jobdesk

Melakukan analisis proses bisnis asuransi retail untuk diterjemahkan ke dalam kebutuhan teknis sistem.

Merancang arsitektur integrasi antara MyTugu, TICS, dan aplikasi lain yang saling berkaitan agar pengakuan produksi dapat berjalan secara otomatis dan optimal.

Menyusun dokumen desain sistem (Technical System Design) dan pemetaan data (Data Mapping) dari MyTugu ke database TICS.

Memberikan rekomendasi solusi teknis terkait efisiensi infrastruktur




Kompetensi utama

Pengalaman minimal 5–8 tahun sebagai IT System Analyst / Solution Architect

Mampu merancang dan menganalisis arsitektur sistem terintegrasi

Pengalaman merancang dan mengelola integrasi sistem berbasis RESTful API (JSON)

Memahami pengembangan aplikasi berbasis: PHP Laravel, Vue.js/React, dan Database PostgreSQL.

Memahami konsep Transaction processing, Data consistency, dan Error handling & retry mechanism.

Mampu membuat dan menjelaskan System flow diagram, Data flow, dan integration flow

Familiar dengan microservices atau modular architecture

Terbiasa bekerja secara kolaboratif menggunakan code repository (GitHub / Bitbucket)

Memiliki pemahaman dan pengalaman mengembangkan integrasi dengan core system

Memiliki pemahaman dan pengalaman implementasi API security (JWT, API key, OAuth)

Pengalaman bekerja di lingkungan cloud (GCP / AWS)




Kompetensi tambahan

Pengalaman di industri asuransi

Memiliki sertifikasi profesional terkait arsitektur sistem atau manajemen proyek IT",https://id.jobstreet.com/id/job/91777382,,IT Support,indonesia,"['vue', 'gcp', 'php', 'r', 'react', 'git', 'sql', 'aws', 'postgresql']",9,2026-04-28T10:44:08.786540
91777245,Part-time Programming Teacher Pangkal Pinang,Timedoor Academy,,"Timedoor Academy sedang mencari Part-Time Programming Teacher untuk mengajar anak-anak hingga remaja usia 5-18 tahun di Pangkal Pinang

Alamat:
Jl. Kampung Melayu, Kec. Gerunggang, Kel. Bukit Merapin

Timedoor Academy menyediakan kursus anak-anak dari berbagai usia, serta orang dewasa, dapat belajar programming dan design dengan cara yang menyenangkan.

Tanggung Jawab:

Mengajar programming kepada siswa SD, SMP, hingga SMA

Membuat laporan hasil pengajaran

Bekerja sama dalam tim untuk meningkatkan kualitas pengajaran

Kompetensi:

Kemampuan dasar komputer

Untuk teacher teens : pengalaman coding, terutama JavaScript, lebih diutamakan

Fasih berbahasa Inggris lebih diutamakan

Kemampuan komunikasi yang baik untuk bekerja dalam tim

Disiplin, bertanggung jawab, dan memiliki pola pikir untuk membangun masa depan siswa melalui pendidikan IT

Mahasiswa dipersilakan untuk melamar posisi ini.",https://id.jobstreet.com/id/job/91777245,Rp 40.000 – Rp 53.000 per hour,IT Support,indonesia,"['r', 'java', 'javascript']",3,2026-04-28T10:44:13.153551
91777132,IT Support,PT. MITRA PELITA TERANGI BANGSA,,"PT Mitra Pelita Terangi Bangsa adalah perusahaan terkemuka di bidang Call Center & Layanan Konsumen yang berkomitmen menghadirkan layanan berkualitas tinggi dan berorientasi pada kepuasan pelanggan. Kami percaya bahwa sumber daya manusia adalah aset utama perusahaan, sehingga kami terus membangun lingkungan kerja yang profesional, suportif, dan penuh peluang pengembangan karier.

Tanggung Jawab Utama :

Memastikan seluruh infrastruktur jaringan (LAN, WAN, internet) berjalan dengan optimal tanpa gangguan.

Melakukan monitoring secara berkala terhadap performa jaringan dan segera menangani apabila terjadi kendala (troubleshooting).

Menyusun laporan terkait kondisi dan performa jaringan secara rutin.

Mengelola seluruh aset IT perusahaan, termasuk perangkat keras (laptop, PC, headset, router, dll) dan melakukan pencatatan keluar-masuk aset secara akurat dan terupdate.

Menangani proses instalasi, konfigurasi, distribusi perangkat kepada karyawan dan melakukan maintenance dan pergantian perangkat apabila diperlukan.

Melakukan pengelolaan akun softphone untuk kebutuhan operasional call center / desk collection, termasuk pembuatan, perubahan, penonaktifan akun karyawan dan memastikan seluruh akun aktif dan dapat digunakan dengan baik tanpa kendala.

Menangani permintaan user (ticketing) dan memberikan edukasi dasar kepada user terkait penggunaan perangkat dan sistem.


Kualifikasi :

Minimal pendidikan D3/S1 di bidang IT atau sejenisnya

Memiliki pengalaman sebagai IT Support (diutamakan di industri fintech atau call center)

Memahami dasar jaringan, troubleshooting hardware/software

Familiar dengan sistem softphone dan manajemen user account

Memiliki kemampuan komunikasi yang baik dan responsif

Bersedia bekerja 6 hari kerja (Senin – Sabtu) sesuai jam operasional perusahaan.",https://id.jobstreet.com/id/job/91777132,Rp 5.300.000 – Rp 5.500.000 per month,IT Support,indonesia,"['keras', 'r']",2,2026-04-28T10:44:17.430124
91777018,Modern Workplace Engineer Staff,PT Intikom Berlian Mustika,,"What You Will Do

Implement projects based on schedules defined by the Team Leader or Project Manager.

Execute Modern Workspace infrastructure solutions, including: Installation, configuration, and testing of Microsoft 365, Microsoft Teams, SharePoint, and related technologies based on customer requirements.

Optimization and troubleshooting of Modern Workplace environments.

Provide high-quality service and technical support to customers:

Resolve technical issues related to Modern Workplace solutions.

Provide technical guidance and support to end users.

Collaborate with team members to support successful solution implementation.

Create and maintain technical documentation related to implementation, configuration, and troubleshooting.

Explore and continuously learn both new and existing technologies to improve solution quality and effectiveness.

What We're Looking For

Bachelor’s Degree (S1) in a relevant field.

Minimum 2 years of experience in IT infrastructure or Modern Workplace-related roles.

Strong knowledge of Microsoft 365, Active Directory, and Exchange Server.

Good communication skills and ability to interact with customers and internal teams.

Fast learner with a positive attitude and strong willingness to grow.

Able to work independently and collaboratively in a team environment.",https://id.jobstreet.com/id/job/91777018,monthly salary,IT Support,indonesia,['r'],1,2026-04-28T10:44:21.668960
91776982,IT Director,ESQ Group,,"Kualifikasi

Pendidikan minimal S1 di bidang Teknologi Informasi, Sistem Informasi, Teknik Informatika, atau bidang terkait (S2 menjadi nilai tambah)

Memiliki pengalaman minimal 7–10 tahun di bidang IT, dengan pengalaman leadership minimal 3–5 tahun

Memiliki pengalaman dalam mengelola tim IT yang mencakup programmer, database, dan IT support

Memahami arsitektur sistem, pengembangan aplikasi (web/mobile), serta manajemen database

Menguasai konsep IT governance, IT security, dan data protection

Berpengalaman dalam perencanaan dan implementasi transformasi digital

Memiliki kemampuan analisis, problem solving, dan pengambilan keputusan strategis

Mampu menyusun IT roadmap yang selaras dengan visi dan kebutuhan bisnis

Memiliki kemampuan komunikasi, leadership, dan stakeholder management yang kuat

Terbiasa bekerja dengan target, KPI, dan manajemen proyek (Agile/Scrum menjadi nilai tambah)

Memiliki integritas tinggi serta mampu memahami dan mengimplementasikan nilai-nilai ESQ dalam pengelolaan tim

Jobdesk

Menyusun dan mengimplementasikan strategi serta roadmap IT yang selaras dengan visi dan tujuan bisnis ESQ Corps

Memimpin dan mengelola seluruh tim IT (Database, Programmer, dan IT Support) agar berjalan efektif dan produktif

Mengawasi pengembangan, implementasi, dan maintenance sistem/aplikasi internal maupun eksternal

Memastikan keamanan sistem, data, dan infrastruktur IT perusahaan

Mengelola dan mengoptimalkan database perusahaan untuk mendukung kebutuhan operasional dan analisis

Mengarahkan tim programmer dalam pengembangan aplikasi yang scalable, efisien, dan user-friendly

Memastikan layanan IT support berjalan optimal untuk mendukung seluruh unit kerja

Mengelola anggaran IT serta melakukan efisiensi penggunaan teknologi

Berkolaborasi dengan stakeholder lintas divisi untuk memahami kebutuhan dan solusi teknologi

Mengawasi vendor IT dan memastikan kualitas layanan sesuai standar perusahaan

Mengembangkan inovasi digital dan meningkatkan efisiensi proses bisnis melalui teknologi

Menetapkan KPI, melakukan evaluasi kinerja tim, serta pengembangan kompetensi anggota tim IT

Menyusun kebijakan dan SOP terkait penggunaan serta pengelolaan sistem IT",https://id.jobstreet.com/id/job/91776982,,IT Support,indonesia,"['r', 'scala', 'agile', 'git', 'scrum']",5,2026-04-28T10:44:25.969526
91776988,Product & Presales (Cybersecurity),PT Intikom Berlian Mustika,,"Job Description:

Develop solutions and organize, plan, create, and deliver compelling proof-of-concept demonstrations.

Prepare cost estimates and technical proposals that meet client requirements.

Ensure solutions stated in the Statement of Work adhere to best practices and align with client requirements.

Liaise with principals to gain in-depth knowledge that can be communicated to customers, including user behavior and potential client-requested changes.

Respond to requests for information (RFIs) and request for proposals (RFPs) in a detailed and professional manner.

Regularly meet with team members to discuss progress and identify opportunities for business improvement.

Requirements:

Minimum 3 years of working experience as a Presales Consultant or in Product Management within the IT industry.

Strong knowledge of at least one of the following Security Products is a MUST:

Cloud security (Akamai, Cloudflare)

Microsegementation (Akamai, ColorTokens)

SASE (Zscaler, Netskope)

Document Control (IP-Guard)

Microsoft Security (intune)

Device Management

Bachelor's degree in information technology, System Information, Computer Engineering, or Industrial Engineering.

Ideal candidates will possess excellent communication and presentation skills in both Indonesian and English.

Strong interpersonal skills, including the ability to present to audiences ranging from C-Level executives to end-users. Can clearly articulate the value that Profile products bring to an organization and earn trusted advisor respect. Capable of delivering well-executed system presentations and effectively conveying the product's value.

Willingness to learn Profile products and stay updated with the fast-paced changes in the industry",https://id.jobstreet.com/id/job/91776988,-,IT Support,indonesia,"['r', 'rust']",2,2026-04-28T10:44:30.195904
91776764,Technical Writer,PT ELISTEC INFORMATIKA UTAMA,,"Jobdesk

Menyusun dan memperbarui dokumen teknis pengembangan sistem, termasuk dokumentasi API dan kamus data (Data Dictionary).

Membuat panduan penggunaan aplikasi (User Manual) bagi pengguna internal maupun operasional untuk setiap fitur baru yang dirilis.

Mendokumentasikan seluruh alur proses bisnis yang diimplementasikan ke dalam sistem selama jangka waktu kontrak.

Mengelola arsip dokumentasi proyek agar tersusun secara terstruktur untuk kebutuhan audit dan knowledge transfer.

Menyusun dan memperbarui dokumen STK yang berkaitan dengan TCES.




Kompetensi wajib

Pengalaman minimal 1–3 tahun sebagai Technical Writer atau dokumentasi sistem IT

Mampu menyusun dokumentasi teknis yang terstruktur dan mudah dipahami

Memahami konsep API dan Sistem terintegrasi

Mampu bekerja sama dengan developer, system analyst, QA, dan User

Mampu menyusun dokumentasi dalam Bahasa Indonesia dan Inggris




Kompetensi tambahan

Pengalaman menyusun dan mempersiapkan dokumentasi sistem enterprise

Pengalaman menyusun API documentation, Integration guide, dan Technical handover document",https://id.jobstreet.com/id/job/91776764,,IT Support,indonesia,['r'],1,2026-04-28T10:44:34.407444
91776698,DevOps Engineer,PT Asuransi Bina Dana Arta Tbk,,"Key Responsibilities:

Design, deploy, and manage highly available infrastructure on AWS, with a focus on serverless services (Lambda, API Gateway, AWS EventBridge).

Configure and maintain multiple AWS Account, VPCs, firewall, networking components, and IAM security policies to ensure system reliability and security.

Provision, configure, and scale infrastructure using Infrastructure as Code (IaC) tools, primarily Terraform.

Build, maintain, and troubleshoot CI/CD pipelines in Jenkins to support efficient and reliable software delivery.

Set up and manage monitoring, logging, and alerting solutions (CloudWatch, Grafana, Prometheus, OpenSearch) to ensure optimal system health.

Collaborate closely with development teams to ensure seamless application deployment and infrastructure integration.

Participate in incident response, troubleshoot system issues, assist in root cause analysis, and apply reliability improvements.

Provide out-of-hours or weekend support for critical incidents and urgent troubleshooting when required.

Continuously monitor AWS infrastructure, applying a strong cost optimization mindset to improve performance, enhance security, and proactively reduce cloud spend.

Maintain clear documentation for infrastructure, deployment processes, and system configurations.

Qualifications:

Bachelor’s degree in Computer Science, IT, or a related field (or equivalent work experience).

2–4 years of hands-on experience in DevOps, SRE, or Cloud Engineering.

Strong proficiency in both written and spoken English to effectively collaborate with a multinational engineering team.

Solid experience working with AWS services, particularly serverless architecture (Lambda, API Gateway, EventBridge). • Hands-on experience with Terraform for managing and automating infrastructure.

Practical experience in building and maintaining CI/CD pipelines using Jenkins.

Good understanding of networking concepts, VPC design, load balancers (ALB/NLB), firewall, and IAM security principles.

Scripting proficiency (Python, Bash, or similar) for daily automation tasks.

Experience with observability and monitoring tools (CloudWatch, OpenSearch, Grafana, Prometheus).

Familiarity with containerization (ECS, EKS, Docker) is a plus.

A proactive attitude with a strong willingness to learn and adapt to new technologies, tools, and best practices.

Comfortable with a hybrid working style, requiring working from the Jakarta office (WFO) at least 3 days a week.

Strong problem-solving skills and a collaborative, team-oriented mindset.",https://id.jobstreet.com/id/job/91776698,,IT Support,indonesia,"['python', 'r', 'docker', 'bash', 'aws']",5,2026-04-28T10:44:38.629884
