id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91653708,Biomedical Engineer,PT Ellipse Projects Indonesia,,"About the role

As a Biomedical Engineer Lead at PT Ellipse Projects Indonesia, you will be responsible for the equipment specification, procurement, and coordination with project teams and clients to ensure proper integration of medical equipment within the overall facility design, particularly by providing technical review of vendor submissions, multidisciplinary coordination, support to installation, commissioning, and handover activities.

What you'll be doing:

Lead the technical evaluation and selection of medical equipment for procurement, ensuring compliance with project specifications, clinical requirements, and contractual agreements.

Collaborate with project teams, consultants, and clients to review equipment specifications and confirm alignment with contract scope and healthcare facility needs.

Coordinate with procurement and vendor representatives during the tendering and purchasing process, including technical clarification and product comparison.

Provide technical support during equipment planning, layout review, and integration within hospital infrastructure.

Work closely with technical and engineering teams to ensure proper installation of medical equipment in accordance with construction procedures, safety standards, and manufacturer requirements.

Conduct inspection and verification of delivered equipment to ensure compliance with approved specifications and project documentation.

Facilitate communication between stakeholders including contractors, suppliers, clinical users, and project management teams to ensure smooth implementation of medical equipment.

Qualifications:

Min. Bachelor’s degree of Electromedical, Medical Engineering, or related discipline.

5-7 years’ experience in relevant projects related to health technology and equipment (planning, procurement, and installation)

Fluent in English (written and spoken)

Knowledge, experience, and certification required:

Extensive medical equipment knowledge

Understanding of procurement & technical evaluation, hospital project integration, installation, and commissioning

Awareness of ISO 13485 & ISO 9001

Extensive knowledge of Indonesian MoH requirements and healthcare standards

Recognized biomedical engineering certification (advantageous)

Project management training or certification (advantageous)

Proficient in using engineering software, such as Autocad, project tools, and office tools

Professional in behaviour and communication and able to perform as a team leader.

What we offer

At PT Ellipse Projects Indonesia, we are committed to providing our employees with a rewarding and fulfilling work environment. In addition to a competitive salary, we offer a comprehensive benefits package, including health insurance and opportunities for professional development & career growth.",https://id.jobstreet.com/id/job/91653708,,Software Engineer,indonesia,['r'],1,2026-04-21T20:10:20.307226
91653435,Automation PLC,PT. Kumala Kirana Industri,,"Deskripsi Pekerjaan:

Merencanakan, mendesain, dan mengimplementasikan sistem otomatisasi baru yang melibatkan PLC.

Berkoordinasi dengan departemen lain (seperti produksi dan engineering) untuk memastikan kelancaran implementasi sistem kontrol otomatis berbasis PLC.

Memastikan semua sistem PLC dalam kondisi berfungsi dengan baik dan sesuai standar.

Melakukan troubleshooting dan analisis masalah pada perangkat keras dan perangkat lunak PLC.

Menyusun laporan berkala mengenai status dan perbaikan sistem PLC.

Mampu bekerja dalam lingkungan yang dinamis dan dapat mengelola prioritas pekerjaan dengan efektif.




Kriteria:

Pendidikan minimal S-1 Teknik Elektro/ Teknik Industri/ Teknik Mesin/ Bidang yang relevan.

Memiliki pengalaman minimal 2 tahun pada bidang otomasi Industri.

Memahami secara mendalam tentang sistem PLC dan software PLC

Memiliki kemampuan analitis dan troublethooting yang kuat.

Mampu bekerja dalam lingkungan yang dinamis dan dapat mengelola prioritas pekerjaan secara efektif",https://id.jobstreet.com/id/job/91653435,,Software Engineer,indonesia,"['r', 'keras']",2,2026-04-21T20:10:24.491081
91653424,Drafter Baja (STEEL STRUCTURE),PT. Arkana Mandiri Buana,,"Tanggung Jawab Utama:

Membuat & merevisi gambar kerja struktur baja (shop drawing & as-built drawing)

Menyesuaikan gambar berdasarkan arahan Engineer/Project Leader

Membaca & menginterpretasikan gambar desain struktur baja

Menyusun detail gambar fabrikasi (cutting plan, connection, joint, dll)

Memastikan kesesuaian gambar dengan standar proyek & kebutuhan lapangan

Berkoordinasi dengan tim engineering, produksi, dan site

Mengelola serta mengarsipkan dokumen gambar proyek

Mencapai target pekerjaan sesuai timeline (±3 gambar/hari, fleksibel)

Membuat laporan pekerjaan harian & bulanan

Bersedia lembur jika dibutuhkan proyek

Kualifikasi:

S1 Teknik Sipil atau Arsitektur lebih diutamakan

Pengalaman sebagai Drafter Baja / Steel Structure min. 1–2 tahun

Menguasai AutoCAD (WAJIB)

Menguasai Tekla / software steel detailing (nilai tambah besar)

Memahami detail sambungan baja (bolted & welded connection)

Terbiasa membaca gambar struktur & spesifikasi teknis

Teliti, detail, dan mampu bekerja dengan deadline

Mampu bekerja individu maupun tim

⁠Domisili atau bersedia ditempatkan di Cibubur",https://id.jobstreet.com/id/job/91653424,,Software Engineer,indonesia,['r'],1,2026-04-21T20:10:28.642352
91619703,Senior .NET Full Stack Engineer (English Speaker),PT Artha Solutions Indonesia,,"About the role

Join our growing team at PT Artha Solutions Indonesia as a Senior .NET Full Stack Developer. In this key role, you will be responsible for designing, developing and maintaining high-performance web applications using the latest .NET technologies. As a senior member of the development team, you will play a pivotal part in shaping the technical direction of our products and mentoring more junior developers. This is a full-time position based in our modern office in Jakarta.

What you'll be doing

Design and implement scalable, maintainable, and secure cloud solutions using Microsoft Azure.

Oversee the deployment, management, and operation of applications on Azure, ensuring optimal performance.

Collaborate with IT and development teams to plan and execute cloud strategies, providing guidance on Azure best practices.

Develop front-end applications, database development, and middle-tier services.

Implement DevOps practices, including continuous integration and continuous deployment (CI/CD) pipelines.

Ensure cloud solutions integrate seamlessly with existing systems and meet business requirements.

Monitor and optimize cloud solutions for performance efficiency.

Work with architects and other developers on the technical design of cloud and digital platforms, including hands-on full-stack development.

What we're looking for

8+ years of experience in developing enterprise-level web applications using .NET technologies

Proficient in C#, .NET Core, ASP.NET MVC, and modern web frameworks such as Angular or React

Strong understanding of relational databases (SQL Server) and NoSQL databases (MongoDB, Cosmos DB)

Hands-on experience in designing and consuming RESTful APIs

Familiarity with DevOps practices, including CI/CD pipelines and cloud-based hosting platforms

Excellent problem-solving and analytical skills with a sharp attention to detail

Strong communication and collaboration skills to work effectively with cross-functional teams

Ability to mentor and guide more junior developers in the team

Must Have & Desired Skills: 

• In-depth knowledge of cloud computing concepts and Microsoft Azure services.
• Proficiency in scripting and programming languages such as PowerShell, Python, and C#.
• Experience with Azure-specific services like Azure SQL Database, Azure DevOps, and Azure Active Directory, Azure Data Factory, Key Vault, Function Apps, App Services, API Management.
• Strong understanding of DevOps principles and tools.
• Knowledge of security best practices and compliance standards for cloud environments.
• Excellent problem-solving and troubleshooting skills.
• Strong collaboration and communication skills, with the ability to work effectively with cross-functional teams.
• Continuous learning and skill upgradation to keep up with the dynamic nature of cloud technologies.

Desired Skills:
• Experience with front-end technologies and frameworks like Angular.
• Familiarity with agile and DevOps practices.
• Previous experience in a similar role within a fast-paced environment.

Education: Bachelor's degree in technology or equivalent.",https://id.jobstreet.com/id/job/91619703,,Software Engineer,indonesia,"['scala', 'c#', 'sql', 'python', 'git', 'r', 'agile', 'react', 'angular', 'azure', 'mongodb']",11,2026-04-21T20:10:32.842480
91652236,VoIP Network Engineer (NOC),PT Dalnet System,,"Responsibilities include:

Troubleshooting and performing diagnostics issues in the  DALnet voip  network

Liaising with suppliers to resolve issues originating from external vendors

Testing and providing solutions to end users

Working within SLAs and adhere to support processes

Monitor systems proactively to reduce fault occurrences

Maintain problem free VoIP Core network

Upgrade network elements as and when needed

Implement new functionalities in Core or Customer networks to improve performance




Required Skills

Very good understanding of VoIP, TCP/IP, SIP, Softswitch

Some Asterisk IP PBX experience

Experience of various Linux network tools and utilities

Experience of troubleshooting VoIP issues is desired

Good understanding of firewalls, IP Telephony how to configure them for various applications

Network management systems, able to use the data to make informed decisions

Bandwidth Management 

CCNA qualification is desired 

Experience on network troubleshooting tools such as Wireshark

Excellent written and verbal communication skills

Excellent organisational and time management skills

Good self learning skills and able to pick up new concepts quickly

Strong analytical skills with proven problem solving ability

Ability to work independently, and also in a team and communicate effectively

Positive attitude and very punctual

Willingness to be trained and learn new skills as required by the job role 

Experience of using service desk software / CRM systems",https://id.jobstreet.com/id/job/91652236,,Software Engineer,indonesia,"['r', 'linux']",2,2026-04-21T20:10:36.955840
91650178,Senior Backend Engineer,Eiger Ekowisata Nusantara,,"Deskripsi Pekerjaan

𝖴𝗇𝗍𝗎𝗄 𝗆𝖾𝗋𝖺𝗇𝖼𝖺𝗇𝗀, 𝗆𝖾𝗇𝗀𝖾𝗆𝖻𝖺𝗇𝗀𝗄𝖺𝗇, 𝖽𝖺𝗇 𝗆𝖾𝗇𝗀𝖺𝗋𝖺𝗁𝗄𝖺𝗇 𝖾𝗏𝗈𝗅𝗎𝗌𝗂 𝖺𝗋𝗌𝗂𝗍𝖾𝗄𝗍𝗎𝗋 𝖻𝖺𝖼𝗄𝖾𝗇𝖽, 𝖽𝖺𝗍𝖺𝖻𝖺𝗌𝖾, 𝖽𝖺𝗇 𝖠𝖯𝖨 𝗒𝖺𝗇𝗀 𝗆𝖾𝗇𝗀𝗀𝖾𝗋𝖺𝗄𝗄𝖺𝗇 𝗌𝗈𝖿𝗍𝗐𝖺𝗋𝖾 𝗉𝖾𝗋𝗎𝗌𝖺𝗁𝖺𝖺𝗇. 𝖯𝖾𝗋𝖺𝗇 𝗂𝗇𝗂 𝖻𝖾𝗋𝖿𝗈𝗄𝗎𝗌 𝗉𝖺𝖽𝖺 𝗆𝖾𝗆𝖻𝖺𝗇𝗀𝗎𝗇 𝗌𝗂𝗌𝗍𝖾𝗆 𝗒𝖺𝗇𝗀 𝗌𝖺𝗇𝗀𝖺𝗍 𝗌𝖼𝖺𝗅𝖺𝖻𝗅𝖾, 𝗌𝖾𝖼𝗎𝗋𝖾, 𝖽𝖺𝗇 𝗋𝖾𝗌𝗂𝗅𝗂𝖾𝗇𝗍, 𝗌𝖾𝗋𝗍𝖺 𝗆𝖾𝗆𝖺𝗌𝗍𝗂𝗄𝖺𝗇 𝗉𝗅𝖺𝗍𝖿𝗈𝗋𝗆 𝖻𝖺𝖼𝗄𝖾𝗇𝖽 𝗆𝖺𝗆𝗉𝗎 𝗆𝖾𝗇𝖽𝗎𝗄𝗎𝗇𝗀 𝗉𝖾𝗋𝗍𝗎𝗆𝖻𝗎𝗁𝖺𝗇 𝖻𝗂𝗌𝗇𝗂𝗌 𝗃𝖺𝗇𝗀𝗄𝖺 𝗉𝖺𝗇𝗃𝖺𝗇𝗀. 𝖲𝖾𝗇𝗂𝗈𝗋 𝖡𝖺𝖼𝗄𝖾𝗇𝖽 𝖤𝗇𝗀𝗂𝗇𝖾𝖾𝗋 𝗆𝖾𝗆𝗂𝗆𝗉𝗂𝗇 𝗄𝖾𝗉𝗎𝗍𝗎𝗌𝖺𝗇 𝗍𝖾𝗄𝗇𝗂𝗌 𝖽𝖺𝗇 𝖺𝗋𝗌𝗂𝗍𝖾𝗄𝗍𝗎𝗋, 𝗆𝖾𝗆𝖻𝗂𝗆𝖻𝗂𝗇𝗀 𝖬𝗂𝖽𝖽𝗅𝖾 𝖽𝖺𝗇 𝖩𝗎𝗇𝗂𝗈𝗋 𝖤𝗇𝗀𝗂𝗇𝖾𝖾𝗋, 𝗌𝖾𝗋𝗍𝖺 𝖻𝖾𝗋𝗄𝗈𝗅𝖺𝖻𝗈𝗋𝖺𝗌𝗂 𝖽𝖾𝗇𝗀𝖺𝗇 𝗉𝗋𝗈𝖽𝗎𝖼𝗍, 𝖿𝗋𝗈𝗇𝗍𝖾𝗇𝖽, 𝖽𝖺𝗇 𝗌𝗍𝖺𝗄𝖾𝗁𝗈𝗅𝖽𝖾𝗋 𝖻𝗂𝗌𝗇𝗂𝗌 𝗎𝗇𝗍𝗎𝗄 𝗆𝖾𝗇𝖾𝗋𝗃𝖾𝗆𝖺𝗁𝗄𝖺𝗇 𝗄𝖾𝖻𝗎𝗍𝗎𝗁𝖺𝗇 𝖻𝗂𝗌𝗇𝗂𝗌 𝗆𝖾𝗇𝗃𝖺𝖽𝗂 𝗌𝗈𝗅𝗎𝗌𝗂 𝖻𝖺𝖼𝗄𝖾𝗇𝖽 𝗒𝖺𝗇𝗀 𝖺𝗇𝖽𝖺𝗅 𝖽𝖺𝗇 𝖾𝖿𝗂𝗌𝗂𝖾𝗇.

𝟭. 𝗕𝗮𝗰𝗸𝗲𝗻𝗱 𝗔𝗿𝗰𝗵𝗶𝘁𝗲𝗰𝘁𝘂𝗿𝗲 & 𝗗𝗲𝘀𝗶𝗴𝗻
  • 𝖬𝖾𝗇𝖽𝖾𝗌𝖺𝗂𝗇 𝗌𝗍𝗋𝗎𝗄𝗍𝗎𝗋 𝗌𝖾𝗋𝗏𝗂𝖼𝖾, 𝖽𝖺𝗍𝖺𝖻𝖺𝗌𝖾, 𝖽𝖺𝗇 𝖺𝗅𝗎𝗋 𝖽𝖺𝗍𝖺.
  • 𝖬𝖾𝗇𝖾𝗇𝗍𝗎𝗄𝖺𝗇 𝗉𝗈𝗅𝖺 𝖺𝗋𝗌𝗂𝗍𝖾𝗄𝗍𝗎𝗋 𝗒𝖺𝗇𝗀 𝗌𝖼𝖺𝗅𝖺𝖻𝗅𝖾 𝖽𝖺𝗇 𝖺𝗆𝖺𝗇.

𝟮. 𝗖𝗼𝗿𝗲 𝗦𝘆𝘀𝘁𝗲𝗺 𝗢𝘄𝗻𝗲𝗿𝘀𝗵𝗶𝗽
  • 𝖬𝖾𝗆𝖾𝗀𝖺𝗇𝗀 𝗈𝗐𝗇𝖾𝗋𝗌𝗁𝗂𝗉 𝖺𝗍𝖺𝗌 𝗆𝗈𝖽𝗎𝗅 𝗂𝗇𝗍𝗂 (𝗍𝗋𝖺𝗇𝗌𝖺𝗄𝗌𝗂, 𝖻𝗈𝗈𝗄𝗂𝗇𝗀, 𝗉𝖺𝗒𝗆𝖾𝗇𝗍, 𝗎𝗌𝖾𝗋, 𝖽𝗌𝖻).
  • 𝖬𝖾𝗇𝗃𝖺𝗆𝗂𝗇 𝗌𝗍𝖺𝖻𝗂𝗅𝗂𝗍𝖺𝗌 𝖽𝖺𝗇 𝗋𝖾𝗅𝗂𝖺𝖻𝗂𝗅𝗂𝗍𝗒 𝗌𝗂𝗌𝗍𝖾𝗆 𝗄𝗋𝗂𝗍𝗂𝗄𝖺𝗅.

𝟯. 𝗣𝗲𝗿𝗳𝗼𝗿𝗺𝗮𝗻𝗰𝗲 & 𝗦𝗰𝗮𝗹𝗮𝗯𝗶𝗹𝗶𝘁𝘆 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿𝗶𝗻𝗴
  • 𝖬𝖾𝗇𝖼𝖾𝗀𝖺𝗁 𝖻𝗈𝗍𝗍𝗅𝖾𝗇𝖾𝖼𝗄 𝗆𝖾𝗅𝖺𝗅𝗎𝗂 𝖼𝖺𝖼𝗁𝗂𝗇𝗀, 𝖺𝗌𝗒𝗇𝖼 𝗉𝗋𝗈𝖼𝖾𝗌𝗌𝗂𝗇𝗀, 𝖽𝖺𝗇 𝗊𝗎𝖾𝗎𝖾.
  • 𝖬𝖾𝗇𝖽𝖾𝗌𝖺𝗂𝗇 𝗌𝗂𝗌𝗍𝖾𝗆 𝖺𝗀𝖺𝗋 𝗌𝗂𝖺𝗉 𝗍𝗋𝖺𝖿𝖿𝗂𝖼 𝖻𝖾𝗌𝖺𝗋.

𝟰. 𝗦𝗲𝗰𝘂𝗿𝗶𝘁𝘆 & 𝗥𝗶𝘀𝗸 𝗖𝗼𝗻𝘁𝗿𝗼𝗹
  • 𝖬𝖾𝗇𝖽𝖾𝗌𝖺𝗂𝗇 𝖺𝗎𝗍𝖾𝗇𝗍𝗂𝗄𝖺𝗌𝗂, 𝗈𝗍𝗈𝗋𝗂𝗌𝖺𝗌𝗂, 𝖽𝖺𝗇 𝗉𝗋𝗈𝗍𝖾𝗄𝗌𝗂 𝖽𝖺𝗍𝖺.
  • 𝖬𝖾𝗇𝖼𝖾𝗀𝖺𝗁 𝖽𝖺𝗍𝖺 𝗅𝖾𝖺𝗄 𝖽𝖺𝗇 𝗅𝗈𝗀𝗂𝖼𝖺𝗅 𝗏𝗎𝗅𝗇𝖾𝗋𝖺𝖻𝗂𝗅𝗂𝗍𝗒.

𝟱. 𝗧𝗲𝗰𝗵𝗻𝗶𝗰𝗮𝗹 𝗟𝗲𝗮𝗱𝗲𝗿𝘀𝗵𝗶𝗽
  • 𝖱𝖾𝗏𝗂𝖾𝗐 𝖽𝖾𝗌𝗂𝗀𝗇 𝖽𝖺𝗇 𝖼𝗈𝖽𝖾 𝖾𝗇𝗀𝗂𝗇𝖾𝖾𝗋 𝗅𝖺𝗂𝗇.
  • 𝖬𝖾𝗇𝗃𝖺𝖽𝗂 𝗋𝗎𝗃𝗎𝗄𝖺𝗇 𝗍𝖾𝗄𝗇𝗂𝗌 𝖻𝖺𝗀𝗂 𝗍𝗂𝗆 𝖻𝖺𝖼𝗄𝖾𝗇𝖽.




Persyaratan

𝟨–𝟣𝟢 𝗍𝖺𝗁𝗎𝗇 𝗉𝖾𝗇𝗀𝖺𝗅𝖺𝗆𝖺𝗇 𝖻𝖺𝖼𝗄𝖾𝗇𝖽.

𝖯𝖾𝗋𝗇𝖺𝗁 𝗆𝖾𝗇𝖺𝗇𝗀𝖺𝗇𝗂 𝗌𝗂𝗌𝗍𝖾𝗆 𝖻𝖾𝗋𝗌𝗄𝖺𝗅𝖺 𝖻𝖾𝗌𝖺𝗋 𝖺𝗍𝖺𝗎 𝗄𝗋𝗂𝗍𝗂𝗄𝖺𝗅.

M𝖾𝗇𝗀𝗎𝖺𝗌𝖺𝗂 𝗆𝗂𝖼𝗋𝗈𝗌𝖾𝗋𝗏𝗂𝖼𝖾𝗌, 𝖽𝖺𝗍𝖺𝖻𝖺𝗌𝖾 𝖽𝖾𝗌𝗂𝗀𝗇, 𝗊𝗎𝖾𝗎𝖾, 𝖼𝖺𝖼𝗁𝗂𝗇𝗀.

𝖯𝖺𝗁𝖺𝗆 𝗁𝗂𝗀𝗁-𝖺𝗏𝖺𝗂𝗅𝖺𝖻𝗂𝗅𝗂𝗍𝗒 𝖽𝖺𝗇 𝖿𝖺𝗎𝗅𝗍 𝗍𝗈𝗅𝖾𝗋𝖺𝗇𝖼𝖾.

𝖳𝖾𝗋𝖻𝗂𝖺𝗌𝖺 𝗆𝖾𝗆𝗂𝗆𝗉𝗂𝗇 𝗌𝗈𝗅𝗎𝗌𝗂 𝗍𝖾𝗄𝗇𝗂𝗌.

𝖬𝖺𝗆𝗉𝗎 𝗆𝖾𝗆𝖻𝗂𝗆𝖻𝗂𝗇𝗀 𝗆𝗂𝖽𝖽𝗅𝖾 𝖽𝖺𝗇 𝗃𝗎𝗇𝗂𝗈𝗋.

Bersedia penempatan di Bandung",https://id.jobstreet.com/id/job/91650178,Rp 10.000.000 – Rp 15.000.000 per month,Software Engineer,indonesia,['r'],1,2026-04-21T20:10:41.050909
91649938,Software Developer - VBA Excel,PT SBG Solusi Bisnis,,"Job Description:

Develop and maintain Excel applications using VBA (Visual Basic for Applications)

Automate reports, workflows, and repetitive tasks

Create forms, simple or advanced formulas

Troubleshoot and optimize existing Excel models

Work with users to translate business requirements into solutions

Requirements:

Speak fluently and write effectively in English

Excellent interpersonal and communication skills, both verbal and written

Highly-detail oriented with a problem-solving attitude

Strong proficiency in Microsoft Excel and VBA

Academic: Bachelor's Degree in Information Systems or related field

Job Experience: At least 1 year of experience with VBA and SQL database

Have experience in using AI (need to specify during the interview)

Our office is located at Graha Pena Building, Ketintang, Surabaya",https://id.jobstreet.com/id/job/91649938,Rp 4.000.000 – Rp 6.000.000 per month,Software Engineer,indonesia,"['sql', 'r']",2,2026-04-21T20:10:45.101219
91648924,Manager IT (Software Engineer),PT. Bangunjaya Prima Nusantara,,"Tanggung Jawab Utama

Terlibat langsung dalam proses development (hands-on coding bila diperlukan)

Mendesain arsitektur sistem yang scalable, secure, dan maintainable

Melakukan code review dan memastikan kualitas kode

Mengatur timeline project dan memastikan delivery tepat waktu

Berkoordinasi dengan stakeholder (product, bisnis, vendor)

Mengelola deployment, monitoring, dan maintenance sistem

Mengidentifikasi dan mengimplementasikan teknologi baru yang relevan




Kualifikasi Wajib

Pendidikan minimal S1 di bidang IT / Computer Science atau setara

Pengalaman minimal 3–5 tahun di software development

Menguasai Fullstack Development, termasuk:

Backend: Ruby on Rails atau Framework MVC lainnya

Frontend: Next.js atau Framework Javascript lainnya

Memahami REST API, WebSocket, dan integrasi sistem

Berpengalaman dengan database PostgreSQL

Familiar dengan Git dan workflow (CI/CD)

Strong problem-solving dan analytical thinking




Kualifikasi Tambahan (Nilai Plus)

Pengalaman integrasi dengan IoT dengan protokol MQTT & Modbus

Memiliki pengalaman di Ruby on Rails dan Next.js",https://id.jobstreet.com/id/job/91648924,Rp 8.000.000 – Rp 12.000.000 per month,Software Engineer,indonesia,"['javascript', 'scala', 'sql', 'java', 'git', 'r', 'postgresql']",7,2026-04-21T20:10:49.160078
91648637,Software Development Engineer in Test (SDET),PT ABISHAR TECHNOLOGIES INDONESIA,,"Client : Logistic Company

Placement : Kedoya, West Jakarta




Requirement :

Bachelor degree in information technology, Computer science, or related field.

Has 3+ years working experience as QA Automation/SDET.

Deep knowledge of software QA methodologies, STLC, and processes.

Deep understanding of API Testing and SQL.

Experience with test automation (Robot framework).

Good understanding of GitHub, branches, and pull requests.

Extent and monitor infrastructure QA suite of tests.

In-depth understanding of Javascript, Java, Python, XML, and any language.

Actively contribute to the setup and development of automated testing for mobile apps and back-end functionality.

Familiarity and knowledge of CI/CD tools like Jenkins, etc.

Familiar with Grafana Excellent analytical and problem-solving skills.",https://id.jobstreet.com/id/job/91648637,Rp 8.000.000 – Rp 12.000.000 per month,Software Engineer,indonesia,"['javascript', 'sql', 'python', 'java', 'git', 'r']",6,2026-04-21T20:10:53.236309
91648206,Junior Software Engineer,PT Technet Vision Indonesia,,"Qualifications

Core Requirements

Bachelor’s degree in Computer Science, Software Engineering, Data Science, or related field.

1–3 years of professional experience in full-stack software development. Fresh graduate is welcome to apply.

Proficiency in front-end technologies: HTML, CSS, JavaScript, and frameworks such as React.js (preferred), Vue.js, or Angular.

Proven experience in back-end development using Node.js (preferred), Python, Java, Ruby, or similar languages.

Strong knowledge of SQL and NoSQL databases, including schema design and query optimization.

Experience in RESTful API development and integration.

Strong understanding of OOP principles and modern software development practices.

Hands-on experience with CI/CD pipelines, Git, and deployment to production environments.

Familiarity with Agile / Scrum development methodologies.




AI & Solution Architecture Skills

Experience implementing and deploying machine learning models and integrating AI into production systems.

Knowledge of LLM fine-tuning, prompt engineering, and AI deployment workflows.

Understanding of RAG pipelines, vector databases, and cloud-based AI architectures.

Ability to design, document, and present system architectures to both technical and non-technical audiences.




Additional Qualifications

Experience building LLM-based chatbots, AI automation platforms, or intelligent SaaS products.

Knowledge of LangChain, Pinecone, Weaviate, or other vector database solutions.

Familiarity with containerization and orchestration (Docker, Kubernetes).

Certifications such as AWS Machine Learning, Google Cloud AI Engineer, or Solution Architect Professional.




Responsibilities

Translate business requirements into technical system designs and end-to-end AI-driven solutions.

Develop and implement AI models and integrate them into full-stack applications.

Manage the entire software development lifecycle (SDLC) — from design to deployment.

Provide technical support and guidance during implementation and post-deployment phases.

Collaborate with cross-functional teams (data engineers, frontend developers, DevOps) to deliver complete solutions.

Advise the business team on AI trends, opportunities, and strategic innovation.

Design solutions with scalability, maintainability, and security in mind.

Recommend appropriate technologies, architectures, and frameworks based on client needs and project goals.

Serve as a technical consultant for stakeholders, presenting solutions and guiding decision-making.",https://id.jobstreet.com/id/job/91648206,Rp 6.000.000 – Rp 7.500.000 per month,Software Engineer,indonesia,"['docker', 'javascript', 'scala', 'vue', 'kubernetes', 'sql', 'python', 'java', 'git', 'r', 'agile', 'scrum', 'react', 'angular', 'aws']",15,2026-04-21T20:10:57.356780
