id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91705587,Business Analyst & IT Project (Head Office),PT Lippo Malls Indonesia,,"Job Description:

Berperan sebagai bagian dari pengembangan AI Center of Excellence (CoE), termasuk menyusun, mengimplementasikan, dan melakukan improvement terhadap SOP, governance, serta guardrails penggunaan AI di perusahaan.

Melakukan monitoring dan evaluasi terhadap implementasi AI di berbagai fungsi bisnis untuk memastikan kesesuaian dengan kebijakan, efektivitas, dan value yang dihasilkan.

Mengawasi dan menganalisis progress project di Divisi IT (termasuk project AI & digital), mencakup timeline, budget utilization, dan pencapaian deliverables.

Mengelola dan melakukan monitoring budgeting project IT, termasuk perencanaan, tracking realisasi vs alokasi tahunan, serta memberikan insight untuk efisiensi biaya.

Menyusun laporan analisa project dan budget secara berkala (monthly/quarterly), serta memberikan rekomendasi berbasis data untuk mendukung pengambilan keputusan manajemen.

Berkolaborasi dengan PMO dan tim terkait dalam memastikan project berjalan sesuai scope, timeline, dan governance yang ditetapkan (end-to-end project monitoring).

Mendukung fungsi Project Management dalam perencanaan, tracking, dan evaluasi kinerja project (termasuk koordinasi dengan stakeholder terkait).




Job Requirements:

Pendidikan minimal S1 di bidang Manajemen Bisnis, Sistem Informasi, Teknologi Informasi, Digital Marketing, atau bidang terkait.

Memiliki pengalaman minimal 5 tahun di bidang Business Analysis, Project Monitoring, Project Management, atau peran terkait lainnya.

Memiliki pemahaman dan ketertarikan yang kuat terhadap implementasi AI, AI governance, serta inisiatif transformasi digital.

Mampu menyusun dan mengembangkan SOP, khususnya terkait implementasi teknologi atau AI menjadi nilai tambah.

Memiliki kemampuan analisa data yang baik, termasuk dalam budgeting, monitoring, dan pembuatan laporan berbasis data.

Memiliki pemahaman dasar terkait pengelolaan project (timeline, scope, budget) dan terbiasa bekerja sama dengan tim PMO.",https://id.jobstreet.com/id/job/91705587,,System Analyst,indonesia,"['r', 'git']",2,2026-04-23T20:47:22.404201
91705489,IT Business Analyst,PT Indolampung Perkasa,,"Responsibilities may include:

Making analyses and building analytic modelling

Performing due diligence and research

Developing plan and budget

Managing documentation and knowledge management

Monitoring and overseeing ongoing projects

Helping project implementation
 

Requirements:

Bachelor degree or equivalent with min GPA 3.2

All majors are welcome: sciences, engineering, business, IT

Demonstrated analytical and problem-solving skills

Strong communications skills with solid command of English

Solid skills in Data Science, MS Office; experience in analytical software is a plus

Able to work independently and as a team

Based in Jakarta, with willingness to travel at notice",https://id.jobstreet.com/id/job/91705489,,System Analyst,indonesia,['r'],1,2026-04-23T20:47:26.694283
91705264,IT Finance Reporting Solution Partner (NSPB and Power BI),PT Bahari Eka Nusantara (Ben Line Agencies),,"Responsibilities:

·       Support NSPB architecture design, development and enhancements

·       Provide functional input on reporting and planning models

·       Create Management Report, Control report and Dashboard in NSPB

·       Create and maintain export template for users to retrieve NSPB reports

·       Diagnose reporting and consolidation issues

·       Resolve mapping and data discrepancies

·       Configure planning templates and driver-based models in NSPB

·       Support budget and forecast cycles in NSPB

·       Reconcile NSPB vs NetSuite and Excel

·       Ensure data integrity across systems

·       Develop NSPB reports and support Power BI integration

·       Support SIT/UAT and user training

·       Provide ongoing support during closing and planning cycles

Qualifications:

•      Bachelor's Degree in Finance, Data Analytics, Data Science, or a related field.

•      8+ years of experience in FP&A, financial reporting, or finance systems, specifically within large-scale transformation environments.

•     Fluent in English

•     Extensive hands-on experience in the implementation and configuration of NSPB, Oracle Hyperion, or FCCS.

•      Strong proficiency in NetSuite ERP; experience with operational systems like Cargowise is a significant advantage.

•      Mastery of financial consolidation, budgeting cycles, and complex reporting structures.

•      Detail-oriented mindset with a strict focus on data accuracy, reconciliation, and system controls.

•      Proven ability to bridge the gap between Finance and Technology through strong communication and problem-solving skills.

•      Strong communication and problem-solving

•      Detail-oriented and control-focused

•      High attention to data accuracy",https://id.jobstreet.com/id/job/91705264,,System Analyst,indonesia,"['power bi', 'r']",2,2026-04-23T20:47:30.968475
91705050,IT Finance Data & Analytics Partner,PT Bahari Eka Nusantara (Ben Line Agencies),,"Responsibilities:

·       Work with Group Tech to design end-to-end Power BI architecture integrating NSPB, operational systems, and Excel

·       Align financial and non-financial data with finance reporting structures

·       Develop dashboards for Group management, Finance, Commercial, and Operations

·       Translate business needs into intuitive visual insights

·       Reconcile outputs against source systems

·       Investigate discrepancies and ensure data integrity

·       Engage stakeholders to define reporting requirements

·       Prioritize and manage reporting demand vs capacity

·       Define workspace structure, dataset governance, and access control

·       Ensure compliance with data governance standards

·       Enhance dashboards based on feedback

·       Provide training and user support



Qualifications

•      Bachelor's Degree in Finance, Data Analytics, Data Sciences or related field

•      8+ years in data analytics / BI / finance analytics

•      Fluent in English

•      Strong Power BI (DAX, Power Query, data modelling)

•      Experience with finance systems (NSPB, NetSuite) and operational system (e.g., Cargowise) is a plus

•      Experience in Financial reporting structures and KPIs

•      Experience inMulti-source data environments

•      Alignment with Ben Line culture, mission and values.

•      Strong stakeholder management

•      Analytical and problem-solving mindset

•      High attention to data accuracy",https://id.jobstreet.com/id/job/91705050,,System Analyst,indonesia,"['power bi', 'r']",2,2026-04-23T20:47:35.165602
91704682,IT Finance Systems Architect (NSPB),PT Bahari Eka Nusantara (Ben Line Agencies),,"Responsibilities:

Solution Architecture & Design

• Design and develop the NSPB architecture for management reporting, budgeting, and forecasting

• Define metadata, data flow, and system structure

• Configure dimensions, hierarchies, and reporting structures

• Support management views and incorporate feedback into the design

• Design integration from NetSuite and Excel upload

• Define mapping and validation controls

• Configure reporting logic, planning models, and adjustments

• Ensure support for actual vs budget vs forecast analysis

• Set up user roles, workflows, and reporting outputs

• Lead SIT/UAT, reconciliation, and go-live

• Establish governance and ongoing system control




Qualifications:
• Bachelor's Degree in Finance, Data Analytics, Data Sciences or related field

• 8+ years in NSPB / Oracle EPM / Hyperion system implementation

• Fluent in English

• Strong finance + system architecture expertise

• Experience with finance systems (NetSuite) is a plus

• Experience in Financial consolidation, budgeting and reporting logic

• Experience in Data models and integration frameworks

• Strong leadership and stakeholder management

• Ability to bridge finance and technology",https://id.jobstreet.com/id/job/91704682,,System Analyst,indonesia,['r'],1,2026-04-23T20:47:39.351635
91704749,IT Project Coordinator,PT. Berca Hardayaperkasa,,"Deskripsi pekerjaan

Mengelola dan mengontrol pelaksanaan project IT agar berjalan sesuai scope dan timeline.

Menjadi representatif perusahaan dalam memimpin proyek IT Infrastructure, Networking, Cloud, Data Center, dan Managed Services.

Berkoordinasi dengan client, internal management, vendor, dan tim teknis selama project berlangsung.

Menangani delivery dan implementasi project IT, contohnya: back-office system, front-office system, security system, monitoring & CCTV.

Memantau progres project, risiko, serta memastikan kualitas dan target project tercapai.

Menyusun laporan progres project secara berkala.


Kualifikasi:

Mampu dan baik dalam menyediakan serta menyiapkan laporan pekerjaan (progress report).

Dapat melakukan perencanaan pekerjaan (project planning) dan analisa situasi.

Pengalaman sebagai Project Manager untuk implementasi pada area networking, Cloud, Data center, infrastruktur dan/atau pengalaman dalam project development dan implementasi system (back-office system/front-office system/security system/monitoring & cctv system/data warehouse & business intelligent).

Pengalaman 2 tahun sebagai PM atau asisten PM (advantage/preferably implementasi project di project IT infrastruktur)

Mahir menggunakan Microsoft project.

Memiliki kemampuan komunikasi yang baik.

Pernah training PMP/PRINCE2/ITIL menjadi nilai plus.",https://id.jobstreet.com/id/job/91704749,,System Analyst,indonesia,['r'],1,2026-04-23T20:47:43.525658
91704223,IT-SAP 4HANA Specialist (Functional & Abab Programmer),PT Eka Bogainti,,"What you'll be doing

Able to apply the fuctions in each Module SAP 4HANA RISE

Able to apply existing business processes in SAP 4HANA RISE

Able to create business and technical process development plans SAP 4HANA RISE

What we're looking for

Minimum 3 years of experience as an SAP 4HANA Specialist or similar role

Familiar with Functional & ABAP Programming

Experienced in SD, MM, PP, FM, PS, QM and EWM modules

Proven expertise in SAP 4HANA configuration, customisation, and integration

Strong analytical and problem-solving skills to identify and resolve complex technical issues

Experience in project management and leading cross-functional teams

Excellent communication and interpersonal skills to effectively collaborate with stakeholders",https://id.jobstreet.com/id/job/91704223,,System Analyst,indonesia,['r'],1,2026-04-23T20:47:47.699775
91703454,IT Staff,PT Auraluxe Indonesia,,"Requirements :

Sound knowledge in hardware & network

Software Maintenance and troubleshooting

Preferrable POS maintenance like (iseller)

SAP Business Application knowledge is Mandatory.

Knowledge Retail Business & business analyst preferrable.

Excellent communication with IT Support Experience preferrable

Bachelor's Degree (S1) information technology/teknik informatika/sistem informasi

Experience :

Minimum 2 years in retail industry and related role

Preferrable if able to Join Immediately",https://id.jobstreet.com/id/job/91703454,Rp5.700.000 – Rp7.000.000 per month,System Analyst,indonesia,['r'],1,2026-04-23T20:47:51.815993
91702927,Senior System Administrator,Mandiri Inhealth,,"Senior IT Infrastructure professional is responsible for designing, managing, monitoring, and improving the company’s IT infrastructure to ensure high availability, security, and scalability

Requierment :

Bachelor’s degree in Information Technology, Computer Science, Information Systems, or related field

Minimum 5-6 years of experience in IT Infrastructure.

Relevant certifications are an advantage: Cisco CCNA / CCNP/Microsoft Certified/VMware / Hyper-V/ITIL/AWS / Azure / Google Cloud/Fortinet / Mikrotik / Palo Alto

Strong knowledge of LAN, WAN, VPN, VLAN, Routing, and Switching.

Hands-on experience and monitoring with Windows Server and Linux /Unix Server (RHEL,Alma,Rocky,Solaris,AIX)

Experience with virtualization platforms (VMware, Hyper-V, Proxmox)

System Monitoring & Performance (ELK Stack. Prometheus, Grafana)

Virtualisasi & Container Platform (VMWare,OpenShift,Kubernetes,Docker)




Responsibility :

Manage all servers, network devices, storage, and IT systems

Ensure system and network uptime.

Perform infrastructure monitoring and health checks.

Handle advanced troubleshooting and incident resolution

Implement IT security policies and best practices.

Manage firewall, antivirus, and access control systems.

Conduct vulnerability assessment and regular patching.

Support infrastructure security audits",https://id.jobstreet.com/id/job/91702927,,System Analyst,indonesia,"['aws', 'kubernetes', 'azure', 'docker', 'scala', 'linux', 'r']",7,2026-04-23T20:47:55.977781
91702883,Business Analyst,PT Lyman Investindo,,"Position: Business Analyst (Finance & Accounting Preferred)

Job Description

We are looking for a strategic and results-driven Business Analyst to join our growing team. The ideal candidate brings a strong background in Finance and Accounting but we also welcome experienced Business Analysts from other domains who have a proven track record of delivering impactful business and system solutions.

In this role, you will work closely with the Business Unit, Vendors, BD, Technical Operations and the PMO to analyze business needs, improve processes, and drive the successful implementation of technology initiatives. Your insights and documentation will directly support key decision-making and enhance operational efficiency.

Responsibilities

● Analyze and improve finance-related business processes, such as budgeting, forecasting, and reporting.

● Translate business needs into clear system and process requirements.

● Act as the bridge between GMN, Business Unit, Vendors, and Technical teams.

● Support ERP and financial system implementations or enhancements.

● Facilitate workshops, interviews, and process mapping sessions.

● Provide data analysis and insights to support business decisions.

● Assist in user testing, training, and documentation for system changes.

Qualification

● Bachelor’s degree in Finance, Accounting, Business Administration, Information Systems, or a related field.

● Preferred: 3+ years of experience as a Business Analyst, ideally supporting Finance & Accounting domains.

● Strong understanding of core finance processes and financial reporting.

● Experience with ERP systems such as SAP or similar platforms.

● Excellent analytical and problem-solving skills, with attention to detail.

● Proven ability to work with cross-functional teams and manage multiple priorities.

● Strong communication skills with the ability to engage both technical and non-technical stakeholders.

● Familiarity with process modeling tools, requirements documentation, and project methodologies (Agile, Waterfall).",https://id.jobstreet.com/id/job/91702883,,System Analyst,indonesia,"['agile', 'r']",2,2026-04-23T20:48:00.179956
