id,title,company,location,job_description,job_url,salary,search_role,search_location,extracted_skills,skills_count,scraped_at
91653227,IT cum Application Support (Level 1),Elitez Pte Ltd,,"Hiring for a client, a one-stop IT partner delivering AIDC, ICT, POS & managed services to 12,000+ businesses across 16 countries. 14+ years of experience across retail, logistics & healthcare in Asia-Pacific, Europe & the Middle East

• Provide first-level technical support for POS systems for stores and server.

• Troubleshoot basic hardware and software issues (printers, scanners, RF devices, connectivity).

• Log, track, and resolve tickets via ticketing system tools within SLA.

• Perform initial diagnosis and apply quick fixes or workarounds.

• Escalate unresolved or complex issues to L2 with complete symptom.

• Setup and configure POS applications on new devices.

• Maintain knowledge base, SOPs, and troubleshooting guides.

• Provide basic user training for common operational issues.

• Ensure compliance with security policies and operational standards.

• Report anomalies and assist in post-incident analysis.",https://id.jobstreet.com/id/job/91653227,"Rp 7,500,000 – Rp 10,000,000 per month",software,indonesia,"['r', 'scala']",2,2026-04-21T16:38:17.242337
91653109,IT Application Support (Level 2),,,"• Provide second-level technical support for POS systems for stores and server.

• Advance troubleshoot hardware and software issues (printers, scanners, DB, connectivity).

• Log, track, and resolve tickets via ticketing system tools within SLA.

• Perform diagnosis and apply quick fixes or workarounds.

• Setup and configure POS applications on new devices.

• Maintain knowledge base, SOPs, and troubleshooting guides.

• Provide basic user training for common operational issues.

• Ensure compliance with security policies and operational standards.

• Report anomalies and assist in post-incident analysis.",https://id.jobstreet.com/id/job/91653109,"Rp 9,000,000 – Rp 13,000,000 per month",software,indonesia,['r'],1,2026-04-21T16:38:21.126646
91652097,Maintenance Electrical Staff (Biopharmaceutical Industry),PT. Kalbio Global Medika,,"Requirements:

Minimum Diploma or Bachelor’s Degree in Electrical Engineering, Mechanical Engineering

Able to read P&IDs, electrical drawings, and design isometrics

Knowledge of PLC and pneumatic systems

Skilled in operating electrical tools (CAD Software 2D & 3D, multitester/AVO meter, insulation tester, ampere meter, grounding tester, etc.)

Experience in electrical projects is an advantage

Preferably experienced in Pharmacy or FMCG industries

Good command of English

Fresh graduates are welcome to apply




Job Description:

Perform preventive, predictive, and troubleshooting of the electrical machine/equipment.

Able to maintain and perform machining processes, such as Filling, Blistering, Isolator, Autoclave, Mixing, etc.

Design engineering electrical projects needed by using CAD Software.

Manage maintenance system compliance, including SOP and other related required documents, with COP and other GMP standards.",https://id.jobstreet.com/id/job/91652097,,software,indonesia,['r'],1,2026-04-21T16:38:24.987927
91651978,TAX Supervisor Palembang,PT Nippon Indosari Corpindo Tbk.,,"Kualifikasi :

•Pendidikan minimal D3 Akuntansi.

•Memiliki pengalaman minimal 1 tahun sebagai Supervisor di bidang Finance/Accounting, diutamakan di industri FMCG/Manufaktur.

•Menguasai aplikasi perpajakan seperti e-SPT, e-Faktur, dan aplikasi terkait lainnya.

•Memiliki sertifikasi perpajakan (Brevet A & B).

•Menguasai software akuntansi, diutamakan SAP.

•Penempatan di Banyuasin, Palembang.",https://id.jobstreet.com/id/job/91651978,,software,indonesia,['r'],1,2026-04-21T16:38:28.838462
91651791,Business Administration Departement,PT MIZUHO LEASING INDONESIA TBK,,"Qualification :

- Bachelor's degree in any major, preferably in Information Technology or a related field.
- Fluent in spoken and written English is a must.
- More than 3 years of working experience in banking or leasing, with a focus on business analysis, SLIK reporting, or contract compliance and maintenance.
- Strong systematic thinking skills and focus on efficient operations.
- Target-oriented with the ability to work under direction and meet deadlines.
- Excellent initiative and problem-solving abilities.
- Strong organizational skills and attention to detail.
- Proficient in Microsoft Office Suite (Word, Excel, PowerPoint) and other relevant software.
- Ability to adapt to changing priorities and work effectively in a fast-paced environment.




Job Decription :

- Prepare contract related to leasing services and products.
- Ensure that all contracts are properly executed and stored securely.
- Maintain a centralized database for all contracts, ensuring accurate and timely registration.
- Update contract records regularly to reflect changes or renewals.
- Monitor contract performance and compliance with terms and conditions.
- Track key dates, such as renewal and expiration dates, and notify relevant stakeholders.
- Prepare & submit reports summarizing customer facilities and other relevant data to regulatory bodies.
- Ensure all reporting is completed accurately and within specified deadlines.
- Ensure that all operations comply with regulatory requirements and auditing standards.
- Conduct regular compliance reviews and audits of contracts and related processes.
- Work closely with legal, compliance, and risk management teams to ensure all contracts meet regulatory standards.
- Liaise with various departments to gather necessary information for contract preparation and reporting.
- Maintain accurate and organized records of all contracts, correspondence, and compliance documentation.
- Ensure that all documentation is readily accessible for audits and regulatory reviews.
- Address any inquiries or issues related to contracts and facilities.",https://id.jobstreet.com/id/job/91651791,Rp 6.000.000 – Rp 7.000.000 per month,software,indonesia,['r'],1,2026-04-21T16:38:32.694948
91651370,Product Supervisor (Mandarin Speaker),PT Idana Solusi Sejahtera,,"Product Supervisor (Mandarin Speaker)

Job Responsibilities:

1. Conduct market and user research, analyze user needs, and propose solutions
2. Coordinate product requirements from operations, marketing, and other departments, and independently drive implementation and launch.
3. Oversee overall project progress, manage the development process, and take ownership of results.
4. Primarily responsible for areas related to funds, payments, and other financial functions.

Job Requirements:

1. Bachelor's degree or above, with 3-5 years of work experience; experience in the P2P industry is preferred, with familiarity in transaction structures.

2. Strong project management capabilities.

3. Proficient in product prototyping tools, data analysis software, and office applications.

4. Strong sense of responsibility and ability to effectively manage outcomes.

5. Proficiency in Chinese as a working language.",https://id.jobstreet.com/id/job/91651370,,software,indonesia,['r'],1,2026-04-21T16:38:36.582164
91651250,Salesforce Developer,PT Phincon,,"Mandatory Qualifications:
-Min. 2 years of Salesforce development experience (Lightning, Apex, Visualforce, custom components)
-Strong understanding of Salesforce architecture, data model (objects, fields, relationships), and security model (profiles, permission sets, sharing rules)
-Hands-on experience with triggers, batch classes, queueable jobs, and REST/SOAP web services
-Experience integrating Salesforce with external systems via Salesforce API

Preferred Qualifications:
-Salesforce Certification: Platform Developer I/II or JavaScript Developer I
-Familiar with Salesforce CI/CD tools (Salesforce DX, Copado, or Gearset)
-Agile/Scrum experience
-Able to write test classes with min. 75% code coverage

General Qualifications:
-Min. 2 years as Technical Consultant or Developer in enterprise projects
-Able to perform requirement gathering and create Technical Design Documents (TDD)
-Understanding of SQL and relational databases
-Active English communication (spoken & written), intermediate level

Job Description:
-Develop custom modules and features using Apex, LWC, Visualforce, SOQL/SOSL
-Manage custom objects, fields, validation rules, workflow rules, and page layouts
-Build batch jobs, schedulable & queueable classes, and bulk-safe triggers
-Ensure unit testing with min. 75% code coverage
-Integrate Salesforce with external systems (ERP, CRM) via REST/SOAP API, Platform Events, or middleware (e.g. TIBCO)
-Collaborate with BA & PM for technical feasibility studies and TDD creation",https://id.jobstreet.com/id/job/91651250,Rp 10.000.000 – Rp 15.000.000 per month,software,indonesia,"['scrum', 'sql', 'r', 'java', 'agile', 'javascript']",6,2026-04-21T16:38:40.562540
91650972,Customer Service Console,PT. Milenial Solusi Internusa,,"About the role

As a Customer Service Console at PT. Milenial Solusi Internusa Group, you will play a vital role in delivering exceptional customer experiences. This full-time position is based in South Tangerang, Banten, and involves handling customer inquiries and issues promptly and professionally.

What you'll be doing

Answering emails or call from customers and providing high-quality customer service

Listening carefully to customer concerns and queries, and working to resolve them efficiently

Accurately documenting customer interactions and following up as needed

Providing product and service information to customers

Escalating complex issues to the appropriate team members

Contributing to the continuous improvement of customer service processes and procedures

What we're looking for

Previous experience in a customer service or call centre role, preferably within the call centre and customer service industry

Strong communication and interpersonal skills, with the ability to listen attentively and respond effectively

Excellent problem-solving skills and the ability to think quickly to provide solutions

Proficiency in the use of customer relationship management (CRM) systems and other relevant software

A positive, patient and empathetic attitude towards customers

Strong organisational skills and the ability to multitask effectively

What we offer

At PT. Milenial Solusi Internusa Group, we are committed to providing our employees with a rewarding and fulfilling work environment. In addition to a competitive salary, we offer a range of benefits, including health insurance, professional development opportunities, and a collaborative and supportive team culture.

About us

PT. Milenial Solusi Internusa Group is a leading provider of innovative customer service solutions. Our mission is to deliver exceptional customer experiences that drive business success. With a focus on continuous improvement and innovation, we are committed to being the partner of choice for our clients.

Apply now to join our dynamic team and be part of our exciting journey.",https://id.jobstreet.com/id/job/91650972,,software,indonesia,"['r', 'scala']",2,2026-04-21T16:38:44.471185
91650728,Senior Process Engineer,PT Ironwood Water Management,,"Senior Process Engineer
Job Description
· Design, calculate and optimize processes for the water and wastewater treatment plant
· Generate & review PFD’s, P&ID’s, and mass balances, and  technical data sheets for major equipment items
· Generate technical specifications for the process equipment
· Participate in design reviews and clarifications at the early stages of process and basic engineering works
· Participate in HAZOP and safety review or assessment
· Participate in training, commissioning and start-up activities
· To work within the Design team and to support project managers on all project activities
· Prepare documentation for submission and supporting project team on plant start-up, performance test, optimization and hand-over.




Requirement :
· Bachelor degree or higher in Chemical engineering
· 5-8 years experiences with good knowledge in process control, water and waste water treatment
· Self-starters, able to work independently, and have passion for water/wastewater, chemical and/or environmental engineering
· Analytical thinking & problem-solving skills
· Proficient with MS Office, AutoCAD",https://id.jobstreet.com/id/job/91650728,Rp 10.000.000 – Rp 15.000.000 per month,software,indonesia,['r'],1,2026-04-21T16:38:48.360165
91650604,ERP - HRIS Functional Consultant,PT Lawencon Internasional,,"Responsibilities:

Gather and analyze user requirements related to HR and business processes.

Conduct end-to-end business process analysis, with a focus on organization structure, employee lifecycle, payroll, recruitment, time management, and performance management.

Translate business needs into functional specifications and system designs.

Configure and implement ERP-HRIS modules based on gathered requirements.

Coordinate and execute System Integration Testing (SIT) and User Acceptance Testing (UAT) to ensure functional accuracy and compliance.

Support go-live activities and provide post-implementation maintenance in accordance with the Service Level Agreement (SLA).

Collaborate with the sales team to deliver product demonstrations and Proof of Concept (PoC) sessions to clients.

Continuously research, evaluate, and recommend the integration of new technologies into client environments.

Work closely with cross-functional teams to ensure project goals and deadlines are met.

Create and maintain project documentation, including BRD, FSD, ERD, Blueprints, SIT/UAT test cases, and training materials.

Job Requirements:

Candidates who can start as soon as possible are preferred

Bachelor's Degree in Computer Science, Information Technology, Engineering, or a related field.

Minimum 2 years of experience in ERP-HRIS software implementation or a similar functional consulting role.

Hands-on experience in implementing or supporting ERP (HR) modules, such as:

Organization Management

Employee Management

Time & Attendance

Payroll & Tax Calculation

Reimbursement

Recruitment & Onboarding

Performance & Talent Management

Strong analytical thinking and problem-solving skills.

Excellent client communication and interpersonal skills.

Able to work independently with minimal supervision and quickly adapt to new technologies and business domains.

Skilled in presenting and demonstrating HRIS solutions to clients.

Effective time management and coordination skills, especially under tight deadlines.

Experience in system configuration, preferably in leading ERP or HRIS platforms (SAP, Oracle, Workday, etc.).

Familiarity with SIT/UAT processes, agile environments, and full project implementation cycles (cloud and on-premise).

Strong skills in documentation and business analysis (BRD, FSD, ERD, test scripts, process mapping).

Technical proficiency is a plus: Python, SQL, RDBMS, Java.

Proficient in English, both written and spoken.",https://id.jobstreet.com/id/job/91650604,,software,indonesia,"['sql', 'r', 'python', 'java', 'agile']",5,2026-04-21T16:38:52.289214
