id,title,company,location,job_description,job_url,search_role,search_location,extracted_skills,skills_count,scraped_at
2147623717,Product Developer Intern,DANA Indonesia,"Jakarta, Indonesia (On-site)","About the job

About Business Automation

At Business Automation, we believe that meaningful progress begins when people are empowered to do their best work. Our purpose is to transform complex, time-consuming processes into seamless, intelligent systems that enable teams to operate with greater clarity, speed, and confidence. By reducing manual effort, we create room for ideas to grow, innovation to thrive, and people to truly excel in what they do best.




We don’t aim for simple process improvement—we strive to reshape the way the organization works. Through smart automation, data-driven insights, and thoughtful design, we unlock new levels of efficiency and capability. Whether it’s accelerating decision-making, simplifying workflows, or enabling smarter business operations, our focus is on delivering solutions that create real, measurable impact.




To us, automation is more than just technology—it is about collaboration, curiosity, and continuous growth. We are driven by the joy of solving real problems, exploring new possibilities, and creating solutions that truly make a difference. Ultimately, we take pride in empowering teams across the organization to work smarter, achieve more with less friction, and experience greater satisfaction in what they do every day.




About the role

As a Product Intern, you will be part of the Business Automation Team. Your main role is to bring value by ensuring alignment between business objectives / user needs.

If you are someone who is eager to make an impact, solving complex problems, and coming up with creative solutions, then this role is for you.




You'll be working on:

Product Strategy & Vision: Collaborate with cross-functional teams to define the product strategy, vision, and roadmap for Automation Team product.
Data-Driven Decision Making: Analyse data to inform product decisions, track performance metrics, and ensure product features are aligned with user needs and business goals.
Prioritization: Prioritize feature development to ensure what is being delivered brings the most business value.
Stakeholder Management: Participate in meetings with stakeholders, ensuring alignment between stakeholders and Automation Team.
Product Delivery: Support the product development life-cycle of Automation Team’s product, from ideation to launch.

Qualifications:

Pursuing an S1/Bachelor’s degree in STEM or Technical / Engineering background (e.g. Computer Science, Data Science, Information System, Engineering, etc).
Currently in the 3rd or 4th year of study.
Able to commit to a 6-month internship with placement in Jakarta.
Must have strong knowledge and hands-on experience in SQL.
Strong analytical skills and great understanding of the user's behavior.
Self-motivated and able to thrive in a fast-paced and dynamic environment.
Excellent communication skills in English both verbal and written.
Preferred: knowledge and skills in Data Science / GenAI / Automation tools.",https://www.linkedin.com/jobs/view/2147623717/?eBP=BUDGET_EXHAUSTED_JOB&refId=nJrfo9V9uLAByX37nLpFVQ%3D%3D&trackingId=N4zP8ma2jcEYLM1kw4DvwA%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,Indonesia,"['r', 'ios', 'sql']",3,2026-04-29T19:43:39.272177
4368148650,Data Engineer (AI-driven Data Platform),株式会社SalesNow,Indonesia (Remote),"About the job

About The Role


Build and improve large-scale data platforms that support an AI-powered SaaS product
Work with tens of terabytes of enterprise data used by real business users
Design data foundations for future AI / data science use cases
Work on a proven product with real users and real impact


Responsibilities


Design, build, and improve big data pipelines for a SaaS + database product
Develop and maintain data pipelines for:
Web data crawling
Data cleansing and enrichment
Build data quality monitoring and validation systems
Improve scalability, performance, and cost efficiency of data infrastructure
Design data platforms and data quality foundations with future analytics and AI usage in mind


Tech Stack

Data Ingestion


Python (Scrapy)
AWS Fargate (Amazon ECS)
Amazon Managed Workflows for Apache Airflow


Data Storage


Amazon S3
Amazon Aurora PostgreSQL


Data Processing


Apache Spark (Databricks)


Infrastructure & Tools


AWS, Databricks
GitHub, Slack, Notion, Asana, Google Workspace
Cursor / Claude Code (AI-assisted development, refactoring)
CodeRabbit (AI-based PR review)
n8n (AI workflow orchestration)


Requirements


Experience processing data using SQL and Python
Experience working with public cloud platforms (AWS, GCP, etc.)
Currently residing in Japan, or willing and able to relocate to Japan
Business-level Japanese communication skills (equivalent to JLPT N1)


Nice to Have


Experience with Apache Spark / PySpark
Experience with AWS analytics services
Experience using Databricks
Experience in data management or data quality initiatives
Interest in or experience with DataOps concepts


Employment & Benefits


Employment type: Full-time
Salary: JPY 4,000,000 – 10,000,000 (depending on experience and skills)
Fully remote work within Japan
Full flex-time system (no core hours)
Stock options available


Why Join Us?


Build and operate data platforms at real production scale
Work at the intersection of large-scale data and generative AI
Join a startup with proven PMF entering a major growth phase
Design data foundations that directly impact product value and decision-making
Shape data engineering practices and culture from an early stage


To apply for this position, please visit our official careers page and submit your application via the link below:

https://herp.careers/v1/salesnow0801/aLtdW6WbCZ0h",https://www.linkedin.com/jobs/view/4368148650/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nJrfo9V9uLAByX37nLpFVQ%3D%3D&trackingId=FFoywX3A1U4iZnHn1F7Sjw%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,Indonesia,"['r', 'airflow', 'scala', 'postgresql', 'aws', 'gcp', 'spark', 'sql', 'git', 'python']",10,2026-04-29T19:43:44.401619
4254252793,Power Bi developer,Techno One Consulting,"Jakarta, Jakarta, Indonesia (On-site)","About the job

Our company looking for an Power BI Developer with following requirements :


To understand business requirements in the BI context and design data models to convert raw data to meaningful insights.
To create dashboards and visual interactive reports using Power BI.
To identify KPIs with clear objectives and monitor them consistently.
To analyse data and present it through reports that can help in decision-making.
To be able to convert business requirements into technical specifications and decide the timeline to accomplish tasks.
To design, develop, and deploy Power BI scripts and perform efficient detailed analysis.
 To perform DAX queries and functions in Power BI. 
 To create charts and document data with algorithms, parameters, models, and relations explanations. 
 To conduct data warehouse development. 
 To perform SQL querying for best results. 
 To use filters and graphs for a better understanding of the data. 
 To define and design new systems by analyzing current ETL processes. 
 To make technical changes to existing BI systems in order to enhance their working",https://www.linkedin.com/jobs/view/4254252793/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nJrfo9V9uLAByX37nLpFVQ%3D%3D&trackingId=eUwWNGwTy2KPRnGmg%2BIGHA%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,Indonesia,"['r', 'power bi', 'sql']",3,2026-04-29T19:43:49.182779
4407426001,Data Engineer,Sagara Technology,"Jakarta, Jakarta, Indonesia (On-site)","About the job
This job is sourced from a job board. Learn More

Job Description


Design, build, and maintain scalable data pipelines 
Develop and optimize ETL/ELT processes 
Manage data integration from multiple sources 
Ensure data quality, integrity, and availability 
Collaborate with Data Analysts, Data Scientists, and Engineering teams 
Monitor and improve data system performance 


Job Requirements


Bachelor’s degree (S1) in a relevant field 
0–5 years of experience in data engineering or related roles 
Proficient in SQL and data modeling 
Experience with ETL/ELT processes and data pipeline development 
Familiar with programming languages such as Python or similar 
Experience with databases (PostgreSQL, MySQL) and/or NoSQL 
Understanding of data warehousing concepts 
Familiar with tools like Airflow, Spark, or similar is a plus 
Experience with cloud platforms (AWS, GCP, or Azure) is a plus 
Strong analytical and problem-solving skills 
Available to work onsite (WFO) 5 days/week in Jakarta",https://www.linkedin.com/jobs/view/4407426001/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nJrfo9V9uLAByX37nLpFVQ%3D%3D&trackingId=hYeEBHb0e%2Bo%2BiaxGGMeMEA%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,Indonesia,"['azure', 'mysql', 'r', 'airflow', 'scala', 'postgresql', 'aws', 'gcp', 'spark', 'sql', 'python']",11,2026-04-29T19:43:54.189753
4356191746,Executive Reporting (BI Analyst & Data Engineer),WPP Media,"Jakarta, Jakarta, Indonesia (On-site)","About the job

About WPP Media

WPP is the trusted growth partner for the world’s leading brands. With exceptional talent, trusted data and intelligence, and world-class partnerships – all united by our pioneering agentic marketing platform, WPP Open – we help clients navigate change, capture opportunity, and deliver transformational growth. 

WPP Media is WPP's AI-driven media operating unit, bringing together media, data, and partnerships to deliver creative personalisation at scale. Connected through WPP Open and powered by Open Intelligence, clients see exactly where, how, and why their media investment is working.

For more information, visit wppmedia.com.

About The Role

We are looking for a data-driven professional to support executive-level reporting by combining strong Business Intelligence (BI) capabilities with data engineering expertise. This role will play a key part in transforming raw data into meaningful insights, enabling leadership to make informed, strategic decisions.

Key Responsibilities


Design, build, and maintain executive dashboards and reports (weekly, monthly, quarterly)
Translate business and leadership requirements into data models and reporting solutions
Develop and manage data pipelines to ensure reliable, accurate, and timely data flow
Integrate data from multiple sources (internal systems, third-party platforms, etc.)
Ensure data quality, consistency, and governance across reporting outputs
Provide actionable insights and recommendations to support business strategy
Collaborate with cross-functional teams (Finance, HR, Operations, Commercial, etc.)
Automate reporting processes to improve efficiency and scalability


Requirements


Proven experience in Business Intelligence, Data Analytics, or Data Engineering roles
Strong proficiency in BI tools (e.g., Power BI, Tableau, Looker)
Solid SQL skills and experience working with large datasets
Experience with data pipeline tools and programming languages (e.g., Python, ETL tools)
Understanding of data warehousing concepts and data modeling
Strong analytical thinking and problem-solving skills
Ability to communicate insights clearly to non-technical stakeholders (including executives)
High attention to detail and strong sense of ownership


Please read our Privacy Notice for more information on how we process the information you provide.",https://www.linkedin.com/jobs/view/4356191746/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nJrfo9V9uLAByX37nLpFVQ%3D%3D&trackingId=pn6ZFhOZsk9zOEBU9A9XZg%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,Indonesia,"['r', 'scala', 'tableau', 'rust', 'power bi', 'sql', 'python']",7,2026-04-29T19:43:59.469164
4342935131,DevOps Engineer,CosmosGrid,Indonesia (Remote),"About the job

About The Role

CosmosGrid is a modern DevOps and Cloud Engineering consultancy delivering scalable infrastructure, automation, 24/7 support, and secure private AI solutions. Our engineers work across global time zones to support clients with precision, clarity, and technical excellence.

Key Responsibilities


Design, build, and maintain cloud-native infrastructure on AWS using Kubernetes, Terraform, and modern DevOps tooling.
Implement CI/CD pipelines using GitHub Actions, GitLab CI, or Jenkins, ensuring fast, reliable delivery.
Manage Kubernetes clusters, troubleshoot workloads, optimize scaling, and ensure platform security.
Deploy and configure observability stacks (Prometheus, Grafana, Loki, Alertmanager) to monitor system performance.
Support infrastructure automation, configuration management, and GitOps practices (ArgoCD/Flux).
Participate in on-call rotation as part of CosmosGrid’s global 24/7 DevOps support model.
Collaborate closely with client engineering teams to deliver solutions aligned with business and technical goals.
Identify and implement cloud cost optimizations using FinOps principles.
Contribute to documentation, internal tooling, and best practices across the organization.


Required Qualifications


3+ years of hands-on DevOps, Cloud Engineering, or SRE experience.
Strong experience with AWS (EC2, VPC, IAM, S3, EKS, CloudWatch, etc.).
Proficiency in Kubernetes administration and troubleshooting.
Solid experience with Terraform and Infrastructure as Code workflows.
Hands-on experience with CI/CD tools (GitHub Actions, GitLab CI, Jenkins).
Familiarity with observability tools: Prometheus, Grafana, Loki, ELK, Alertmanager.
Strong scripting ability in Python, Bash, or Go.
Understanding of networking concepts (DNS, load balancing, proxies, ingress).
Experience implementing DevOps best practices: automation, repeatability, scalability.
Comfortable communicating with clients and working in fast-paced, distributed teams.


Preferred Skills (Nice To Have)


Experience with Karpenter, Bottlerocket, or EKS cost/performance tuning.
Familiarity with GitOps tooling (ArgoCD, FluxCD).
Understanding of MLOps architectures or experience deploying AI/LLM workloads.
Experience with Vault, KMS, or other secrets management tools.
Exposure to multi-cloud environments (Azure, GCP).


What We Look For


Engineers who are curious, resourceful, and enjoy solving hard problems.
People who take ownership and deliver with reliability and professionalism.
Strong communicators who thrive in collaborative, client-facing environments.
A passion for cloud-native technologies and continuous learning.",https://www.linkedin.com/jobs/view/4342935131/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nJrfo9V9uLAByX37nLpFVQ%3D%3D&trackingId=5Ws3rHuyf4gwc%2BVgIINfQw%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,Indonesia,"['azure', 'r', 'scala', 'bash', 'kubernetes', 'aws', 'gcp', 'git', 'python']",9,2026-04-29T19:44:05.178044
4406966588,Data Visualization / Tableau Developer,PT Pronata Data Insani,Jakarta Metropolitan Area (On-site),"About the job

Job Desk:

Mendesain enterprise-level dashboard architecture
Menentukan best practice data visualization
Mengelola dan mengoptimalkan Tableau Server environment
Membimbing junior dan mid-level developer
Melakukan data storytelling untuk stakeholder eksekutif
Mendesain semantic layer dan data model untuk visualisasi
Berkolaborasi dengan data architect dan data engineer
Menentukan standarisasi dashboard dan governance BI
Mengelola security, access control, dan data governance di Tableau
Mengembangkan data-driven culture dalam organisasi




Kualifikasi:

Pendidikan minimal S1 bidang IT, Computer Science, Data Science, atau terkait
Pengalaman 5–8+ tahun di bidang BI / Data Visualization
Pengalaman mendalam dalam Tableau ecosystem
Pengalaman dalam data warehouse architecture
Pengalaman bekerja dengan large scale data platform
Memiliki kemampuan data storytelling dan business communication yang kuat




Technical Skill yang dibutuhkan:

Tableau Desktop (Expert)
Tableau Server Administration
Advanced SQL
Data Modeling (Star Schema / Snowflake Schema)
Performance tuning
Python / R
Big Data ecosystem (Hadoop / Spark)
Cloud platform (AWS / Azure / GCP)",https://www.linkedin.com/jobs/view/4406966588/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nJrfo9V9uLAByX37nLpFVQ%3D%3D&trackingId=xm99caI4JQpJCHPB3WUPUg%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,Indonesia,"['azure', 'r', 'hadoop', 'tableau', 'aws', 'gcp', 'spark', 'sql', 'python']",9,2026-04-29T19:44:10.094845
4388352153,APAC Graduate Development Program,Hewlett Packard Enterprise,"Gambir, Jakarta, Indonesia (Hybrid)","About the job

This role has been designed as ‘Hybrid’ with an expectation that you will work on average 2 days per week from an HPE office.

Who We Are

Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know varied backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE.

Job Description

A career as a Presales Graduate allows you the opportunity to drive deals from qualification to close and grow into a true professional with valuable relationships and international working experience.

Program Start Date: August 2026

What You'll Do


Gather information appropriately to develop an accurate understanding of customer technology infrastructure in the Data Centre Technologies Area
Contribute to the creation of an appropriate technical solution to meet the customer’s requirements
Adapts solution design to new requirement
Maintain good communications with customers and partners.
Advance opportunities effectively
Actively support the account team with product advice, proposal support, presentations, and other customer communications
Engage appropriate additional technical resources as needed 


What You’ll Need


Completed Bachelor’s or Master’s degree within the last 12 months from the start date in computer science, software engineering or equivalent
Strong understanding of
cloud computing concepts, architectures, and services (e.g., AWS, Azure, Google Cloud)
artificial intelligence concepts, machine learning frameworks and data analytics
sustainability concepts, practices, and technologies, particularly in how they relate to IT solutions
security and containerization technologies (e.g. DevOps tools or Kubernetes)
Data Center Infrastructure & Networking concepts
Proficiency in programming languages such as Python, Java, or JavaScript
Strong analytical skills with the ability to interpret complex data sets
Strong verbal and written communication skills in English
Experience or a proven interest in sales and a passion for technology
Excellent at building relationships at all levels and having solution focused discussions
Ability to convey complex technical information clearly

What We’d Prefer You Bring


The drive to seek out what’s next and to deliver exceptional results
A collaborative, solution focused spirit and overall sense of urgency
The desire to embrace new ideas and fresh thinking and seek out ideas different than your own
Experience as an active leader on campus who strives to make a positive impact on the world
Comfort with working in a hybrid (virtual and face-to-face) environment
Exceptional communication and presentation skills and the ability to ask smart questions


Additional Skills

Accountability, Accountability, Action Planning, Active Learning, Active Listening, Bias, Business, Calendar Management, Coaching, Computer Literacy, Creativity, Critical Thinking, Design Thinking, Empathy, Follow-Through, Group Problem Solving, Growth Mindset, Intellectual Curiosity (Inactive), Long Term Planning, Managing Ambiguity, Office Administration, Policy and procedures, Recordkeeping, Risk Assessment, Software Development {+ 5 more}

What We Can Offer You

Health & Wellbeing

We strive to provide our team members and their loved ones with a comprehensive suite of benefits that supports their physical, financial and emotional wellbeing.

Personal & Professional Development

We also invest in your career because the better you are, the better we all are. We have specific programs catered to helping you reach any career goals you have — whether you want to become a knowledge expert in your field or apply your skills to another division.

Unconditional Inclusion

We are unconditionally inclusive in the way we work and celebrate individual uniqueness. We know varied backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good.

Let's Stay Connected

Follow @HPECareers on Instagram to see the latest on people, culture and tech at HPE.

Job

Administration

Job Level

Entry

HPE is an Equal Employment Opportunity/ Veterans/Disabled/LGBT employer. We do not discriminate on the basis of race, gender, or any other protected category, and all decisions we make are made on the basis of qualifications, merit, and business need. Our goal is to be one global team that is representative of our customers, in an inclusive environment where we can continue to innovate and grow together. Please click here: Equal Employment Opportunity.

Hewlett Packard Enterprise is EEO Protected Veteran/ Individual with Disabilities.

HPE will comply with all applicable laws related to employer use of arrest and conviction records, including laws requiring employers to consider for employment qualified applicants with criminal histories.

No Fees Notice & Recruitment Fraud Disclaimer

It has come to HPE’s attention that there has been an increase in recruitment fraud whereby scammer impersonate HPE or HPE-authorized recruiting agencies and offer fake employment opportunities to candidates. These scammers often seek to obtain personal information or money from candidates.

Please note that Hewlett Packard Enterprise (HPE), its direct and indirect subsidiaries and affiliated companies, and its authorized recruitment agencies/vendors will never charge any candidate a registration fee, hiring fee, or any other fee in connection with its recruitment and hiring process. The credentials of any hiring agency that claims to be working with HPE for recruitment of talent should be verified by candidates and candidates shall be solely responsible to conduct such verification. Any candidate/individual who relies on the erroneous representations made by fraudulent employment agencies does so at their own risk, and HPE disclaims liability for any damages or claims that may result from any such communication.",https://www.linkedin.com/jobs/view/4388352153/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nJrfo9V9uLAByX37nLpFVQ%3D%3D&trackingId=ua%2Ffs7Wzd20FiGk6OXTuQg%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,Indonesia,"['java', 'azure', 'r', 'javascript', 'kubernetes', 'ios', 'aws', 'python']",8,2026-04-29T19:44:15.106919
4404881959,Data Engineer Cloud & Big Data,Bumi Amartha Teknologi Mandiri,"Jakarta, Jakarta, Indonesia (On-site)","About the job
This job is sourced from a job board. Learn More

Design, develop, and maintain data pipelines (ETL/ELT)
Perform data transformation and processing using Python and Spark
Work with large-scale datasets in distributed environments
Collaborate with cross-functional teams to support data-driven initiatives
Optimize data workflows for performance and scalability
Ensure data quality, reliability, and integrity


Minimum Qualifications


Strong proficiency in Python programming
Hands-on experience with Apache Spark (PySpark / Spark SQL)
Solid understanding of SQL and data transformation logic
Experience working with cloud platforms such as Google Cloud Platform (GCP) or Amazon Web Services (AWS)
Basic understanding of data pipeline concepts (ETL / ELT)
Experience using Git or other version control tools
Familiarity with data lakehouse architecture",https://www.linkedin.com/jobs/view/4404881959/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nJrfo9V9uLAByX37nLpFVQ%3D%3D&trackingId=u%2Fx7wcfFdtn0TieafNhbYg%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,Indonesia,"['r', 'scala', 'aws', 'gcp', 'spark', 'sql', 'git', 'python']",8,2026-04-29T19:44:20.888911
4368977068,Cloud Engineer,PT. Intikom Berlian Mustika,Jakarta Metropolitan Area (On-site),"About the job

What You’ll Do


Participate in architectural discussions with clients to design optimal IT and cloud solutions
Define tasks, scope, and effort based on client stories during user requirement and design sessions
Work independently in complex environments to analyze issues, identify root causes, and implement effective remediation
Collaborate with project delivery teams, providing hands-on technical expertise to ensure high-quality outcomes
Design, execute, and support cloud and hybrid infrastructure solutions that meet enterprise technical standards
Support cloud migration initiatives, including workload assessment and execution using best-practice approaches
Identify potential bottlenecks during migration or implementation waves and resolve issues with minimal downtime
Work with multiple cloud platforms (AWS, Azure, Huawei Cloud, Alibaba Cloud, etc.) in complex environments
Support project implementation activities, including after-hours and weekend work when required
Ensure system stability, security, and performance across on-premises and cloud environments


What We’re Looking For


Bachelor’s degree in Information Systems, Computer Science, Computer Engineering, or related IT field
Minimum 1+ year of experience in OS, Cloud, and container-based environments
Strong understanding of Windows Server and Linux, including Active Directory and web server management
Deep expertise in Active Directory, including user authentication, GPOs, and secure access control
Experience bridging traditional on-premises environments with modern cloud ecosystems
Proficiency in Hyper-V virtualization, including VM management and resource optimization
Solid theoretical and practical knowledge of Docker and Kubernetes (AKS, EKS, CCE, OpenShift)
Experience with at least two (2) cloud platforms: AWS, Azure, Huawei Cloud, or Alibaba Cloud
Strong understanding of cloud architecture differences across major providers
Knowledge of Cloud Migration strategies, including the 6 Rs (Rehost, Replatform, Refactor, etc.)
Ability to apply critical thinking and complex problem-solving in highly technical environments
Excellent communication and interpersonal skills, able to work with clients and internal teams
Certifications are a plus:
Huawei HCIA / HCIP / HCCDA / HCCDP
Azure Administrator Associate
Azure Solutions Architect Expert",https://www.linkedin.com/jobs/view/4368977068/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=nJrfo9V9uLAByX37nLpFVQ%3D%3D&trackingId=PsrjHGhzz7sCTm48IrSKFQ%3D%3D&trk=flagship3_search_srp_jobs,Data Engineer,Indonesia,"['azure', 'r', 'linux', 'docker', 'kubernetes', 'aws']",6,2026-04-29T19:44:25.767475
