id,title,company,location,job_description,job_url,search_role,search_location,extracted_skills,skills_count,scraped_at
4379688266,React.js Developer - BATAM (Entry Level),Accenture Southeast Asia,"Batam, Riau Islands, Indonesia (On-site)","About the job

About Accenture

Accenture is a leading global professional services company that helps the world’s leading organizations build their digital core, optimize their operations, accelerate revenue growth and enhance services—creating tangible value at speed and scale. We are a talent- and innovation-led company with 774,000 people serving clients in more than 120 countries. Technology is at the core of change today, and we are one of the world’s leaders in helping drive that change, with strong ecosystem relationships. We combine our strength in technology and leadership in cloud, data and AI with unmatched industry experience, functional expertise and global delivery capability. Our broad range of services, solutions and assets across Strategy & Consulting, Technology, Operations, Industry X and Song, together with our culture of shared success and commitment to creating 360° value, enable us to help our clients reinvent and build trusted, lasting relationships. We measure our success by the 360° value we create for our clients, each other, our shareholders, partners and communities. Visit us at www.accenture.com


Job Description




Collaborate with back-end developers, designers, and other team members to deliver high-quality products.

Optimize components for maximum performance across various devices and browsers.

Write clean, maintainable, and efficient code, ensuring code quality through automated tests and code reviews.

Stay updated with the latest industry trends and continuously improve skills in front-end development.

Identify and fix bugs and performance issues, and debug across multiple browsers and devices.

Ensure the application is responsive and works well on different screen sizes and devices.

Integrate front-end components with back-end services and APIs for seamless data flow.

Participate in daily stand-ups, sprint planning, and other agile processes.

Document technical specifications and project requirements and maintain project documentation as needed.



Qualifications:



Associate Degree/College Diploma: D3 - Ahli Madya (A.md) in Information Technology, Computer Science or any tech related courses.

Open for fresh graduates with/without work experience.

Hands-on knowledge of front-end development technologies such as JavaScript, HTML, CSS, SASS, AJAX and JSON

Experience with one or more JavaScript libraries and/or frameworks such as ReactJS, Node.js, Ember, AngularJS, Backbone etc.

Willing to work in Batam.

Good English communication skills.



You will also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.

Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.",https://www.linkedin.com/jobs/view/4379688266/?eBP=CwEAAAGdxZRC10jbsGSTy62FYmXNnOn4-1H9jMLK27aAFwfeHk6HA8NozSzJYKVfUAnpDyC8-IhJp570KMFBxjWZjDMCuU6cYPIRmdHVyuwrsEaOM132PnUG8lFg4TM2OroUW3GTs5Pzj7AmvrXOX9HCoWia33k6_LqIQ98EYZ7fF4g3vP48pZBDfHh2Mv5eSMbeIlXKKt5EJEj9ROJ96wrl2CqGVj4PXinPuaCXf-PLZBmKrC1dqis7HmDgo8YjKvIWbDRNhdHc8gIG-QWCslAAltnYcqt4u37Z-pYj8MhzjtUXqewPO9nxvALRlGgdUj2LPGe5x9A7A_lVHcxlSlhB6jPiw_k9Jq49P4SNcWyzwBbOJaAKnc9Y1l6Bspdsxz7aT607Yr25_hRXWnRwJy-GyBnPHjJPOOmVOuxQJ2W9TlY7CYnWhL1VIE6F1LZieGSE6pxT0LGilEyXRY98XnbxSRF4hLXWblimB3GrlSbPOro&refId=fqKEwWAcwKrwlm41yay3oQ%3D%3D&trackingId=YalJSO0g649vkEmwtyJJqQ%3D%3D&trk=flagship3_search_srp_jobs,Frontend Developer,Indonesia,"['git', 'agile', 'react', 'angular', 'java', 'rust', 'javascript', 'r']",8,2026-04-25T23:59:01.024401
4406842616,Junior Python Developer,Joveo AI,Indonesia (Remote),"About the job

About Joveo:

Every company says they're ""AI-first."" We actually are. Joveo's recruitment 

advertising platform processes millions of hiring decisions through machine 

learning, real-time bidding, and predictive analytics — helping the world's 

largest employers find the right people, faster and fairer. But we're not 

done. Not even close.




Role: Junior Python Developer

Location: Remote




Role Overview:

We are hiring a Junior Python Developer to build your Python career 

on Joveo's production backend. You will write real Python at scale — 

APIs, services, and data pipelines — while growing under the guidance 

of senior Python engineers on a team that ships fast.




Key Responsibilities:

- Develop Python backend services, REST APIs, and data processing code

- Write unit and integration tests to maintain code quality and reliability

- Contribute to feature delivery from requirements through production deployment

- Participate in design discussions and learn systems thinking through doing

- Fix production bugs and improve existing services for performance and clarity

- Deepen your expertise in frameworks like FastAPI, Django, or Flask




Required Skills & Qualifications:

- 1–2 years of hands-on Python development experience

- Solid understanding of Python 3 idioms, OOP, and common standard library modules

- Experience with at least one Python web framework in a production or project setting

- Working knowledge of SQL and relational databases

- Familiarity with Git, code review practices, and modern development workflows

- Ability to work independently on well-scoped tasks while asking for help when needed




Equal Opportunity Employer:

Joveo is an equal opportunity employer. We are committed to building an 

inclusive workplace and welcome applications from all qualified individuals 

regardless of race, color, ethnicity, nationality, gender, gender identity 

or expression, sexual orientation, age, religion, disability, marital status, 

or any other characteristic protected by applicable law. All hiring decisions 

are made solely on the basis of qualifications, skills, and demonstrated 

ability.




If your dream job is one that doesn't fit neatly into a job title — apply.

Joveo. Where AI meets the future of work.",https://www.linkedin.com/jobs/view/4406842616/?eBP=CwEAAAGdxZRC1ycfsAVO0y3kwGXqTKH-q4SZp-FBZnByEpDSdjOSJwLGVjy5njIGn1KpuiHDPb5NMTRsJKmh_ZMPo5YkncHNqmoCWiGJmMAGBkAc2Qab8d_8qJs581iwhsyptKN31IZxPFp2SWWELocxd9qvvT1i0r4sRP83U_t30A_Tb3kARuTECXL_3-oqKu_tiB9xoZP_Ej22HhtU1HVRmq6xkNvDC0lnhj59DT2pRJmz9MlzdfytIVpGoHukm8zjdC-KJkEDQ_HcvmqCuwc1ws5nubLL9Leso4sIGucFXGPXwL5nsi6lt3ZftKOC-uKsVRqN4Y9WFasJtDSkheJTUiOrBW3M4Sr9WXWZYgGS9FLUgMtWRFwgJ7s7DpS6Z-pQ2kwliRGvzWx9GwqaIQRTtgiGMecl145TM4Vi7uSMCav8SrfSsbBegDGSc4JUZsbrbOXo5cwt0IWrsANTKLox3FrObXa4764-wRezoF7VFsQhbJKU8wqalA&refId=fqKEwWAcwKrwlm41yay3oQ%3D%3D&trackingId=oEZ9%2FFDtmltQFdTiFu0K8g%3D%3D&trk=flagship3_search_srp_jobs,Frontend Developer,Indonesia,"['git', 'python', 'flask', 'sql', 'django', 'fastapi', 'express', 'r']",8,2026-04-25T23:59:05.778721
4392096942,Full Stack Developer Internship,Juke Solutions (PT Juke Solusi Teknologi),"Jakarta, Jakarta, Indonesia (On-site)","About the job

Apply Now!

Full Stack Developer Internship

Jakarta Pusat, Indonesia

Deskripsi pekerjaan

Kualifikasi Umum


Pendidikan minimal S1 di bidang Teknologi Informasi, Ilmu Komputer, Sistem Informasi, atau jurusan terkait.
Mampu bekerja secara mandiri maupun dalam tim.
Memiliki komitmen tinggi, konsisten, dan bertanggung jawab (amanah) dalam menyelesaikan pekerjaan.
Memiliki semangat belajar tinggi, gigih, dan adaptif terhadap teknologi baru.
Bersedia WFO


Kualifikasi Teknis


Memahami konsep OOP, dan MVC.
Menguasai bahasa pemrograman Java/Golang/Python
Berpengalaman dalam pengembangan API (REST/JSON/XML) dan AJAX / HTTP Client
Menguasai DBMS PostgreSQL atau MySQL diutamakan menguasai query kompleks dan optimasi database (select, join, aggregate, subquery, dll)
Terbiasa menggunakan database management tools seperti DBeaver, SQL Developer, pgAdmin, atau sejenisnya.
Memahami konsep middleware integration, API Gateway, atau ESB menjadi nilai tambah (TIBCO, IBM, dll)
Memahami konsep dasar version control (Git) dan SDLC.
Menguasai JavaScript, HTML5 dan CSS3 (menjadi nilai tambah).",https://www.linkedin.com/jobs/view/4392096942/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=fqKEwWAcwKrwlm41yay3oQ%3D%3D&trackingId=m%2Bt00TiSssDxLG1kMtzPOg%3D%3D&trk=flagship3_search_srp_jobs,Frontend Developer,Indonesia,"['git', 'python', 'postgresql', 'sql', 'mysql', 'golang', 'java', 'javascript', 'r']",9,2026-04-25T23:59:10.464706
4402271106,Software Developer - Frontend (Indonesia),Xtremax,"Bandung, West Java, Indonesia (On-site)","About the job

As a Front-End Developer, you are entrusted with the mission of transforming our designs into interactive HTML. You will have to be brave enough to forge new routes in HTML with your CSS and Javascript techniques.

Xtremax believes in grooming new talents, so we welcome less experienced front-end developers to join our ship. As long as you are creative and able to collaborate with fellow sailors on deck, we would love for you to join our team.

Responsibilities


Proficient in HTML syntax across various specifications, with the ability to hand-code clean and efficient markup for layouts
Experienced in organizing and structuring CSS files, including creating styles tailored for different media and devices
Strong understanding of CSS fundamentals and best practices, with familiarity in using development and debugging tools to address cross-browser and multi-device compatibility issues
Good written and verbal communication skills. Fresh graduates are welcome to apply
Comfortable working with JavaScript and jQuery to create dynamic and interactive web features
Able to work with design tools like Figma or Photoshop to collaborate effectively with designers and translate designs into functional web interfaces


Requirements


Experience in HTML syntax for various specifications
Understanding of markups used for layout also has the ability to hand-code markups
Experience in organizing CSS Files and specifying various CSS for different media and devices
Understanding of CSS basics and essentials, also familiar with the development and debugging tools for cross-browser and multiple-devices issues
Good written also verbal communication skills & fresh graduates are welcome to apply
Must be able to relocate to Bandung, West Java


Benefits


Competitive salary
14 Days of annual leave
BPJS & Private Health Insurance
Various extracurricular activities (sports, music, etc.)
Yearly company dinner
Opportunity to work in Singapore Headquarter
Young, dynamic and vibrant atmosphere
All around snacks, drinks, coffee, tea and regular culinary day
Located in the center of Bandung


By submitting your resume/CV, you consent and agree to allow the information provided to be used and processed by or on behalf of Xtremax Pte Ltd for purposes related to your registration of interest in current or future employment with us for the processing of your application for employment. The personal data held by us relating to your application will be kept strictly confidential and in accordance with the PDPA.

You may also refer to our Privacy Policy for more details here: https://www.xtremax.com/privacy-policy.

The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code.",https://www.linkedin.com/jobs/view/4402271106/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=fqKEwWAcwKrwlm41yay3oQ%3D%3D&trackingId=Jl8IGvA4g3HOqWCvERPtLw%3D%3D&trk=flagship3_search_srp_jobs,Frontend Developer,Indonesia,"['java', 'scala', 'rust', 'javascript', 'r']",5,2026-04-25T23:59:15.184081
4290553893,Front-End Developer Internship,cmlabs,"Malang, East Java, Indonesia (Hybrid)","About the job

DEVELOPER

JUNIOR

INTERNSHIP

Updated 2024-12-27

Copy link to share

Job Link

POSITION Front-End Developer Internship

TEAM Developer

POSITION LEVEL Junior

POSITION TYPE Internship

POSITION LOCATION Malang, Indonesia

OUTLINE


Company Description
Qualification
Job Description
Skills
Tools
Benefits
Recruitment Pipeline


Company Description

cmlabs is a brand under PT CMLABS INDONESIA DIGITAL, specializes in the SEO field, and was established in 2019. We use to stand in a new term as Software as a Service (SaaS) and located in two big cities in Indonesia, Jakarta, and Malang. This company was initiated with an idea to help companies or enterprises increase the visibility of their brand on the internet. cmlabs serve users in SEO Consultant, Content Writing, Content Marketing, and also have a product such SERPs Tracker and SEO Tools. SEO Tools are free and available for users who focus on webmaster and SEO writing. cmlabs will expand to a bigger market to present SEO product and serve SEO activities on a global scale for enterprises.

Job Description


Assisting employees in the Front-End Developer position.
Help maintain and improve the company website (including in web and search engine speed optimization)
Learn about the latest web technologies and have a good understanding
Coordinate with the whole team
Responsible for ensuring the alignment of web design and users
Optimize and enhance the company's online digital assets (Digital Marketing platforms and other cloud-based assets) for Sasana Digital
Learn about competencies in SEO, SEM, and UX/UI
Develop internal competence in online digital assessment and observe industry trends in technology and business.


Qualification


Fresh graduates and senior year students are welcome
Understand HTML, jQuery
Experience with Vanilla CSS dan Vanilla JavaScript
Experience with JS framework Laravel
Experience with fetching data from API
Understand about Gitflow and GitHub
Able to do 6 months internship


Preferred Qualification


Good skills in Javascript, PHP, CSS, HTML, React.js, Vue.js
Interested in working in a startup company
Personality Trait
Result oriented
Critical thinking
Analytical thinking
Data-Driven
Have a good endurance
Fast learned
Tend to detail
Structural


Skills

Javascript

Jquery

Laravel

SCSS

Bootstrap

Tools

Git

Company Perks

Sharing session

We want to make sure that everyone can grow in cmlabs. We are driven by the idea that knowledgeable employees are the biggest assets in the company.

Peer learning

Peer learning enables you to collaborate with your colleagues and learn new skills. Any collaboration of peers can be considered as peer learning and we believe it will narrow knowledge gaps between the employees.

Webinar

Through webinar, we can reach out to communities outside cmlabs. As we reach out to more people in professional settings, we also sharpen our skills in public speaking.

Competitive compensation

We care about our employees' financial well-being, which is why we make sure it meets their expectations.

Regular bonus and equity refresh opportunity

The more you perform well, the more bonus you will receive.

Six-month salary equity analysis and adjustment

We evaluate everyone's performance every six months to adjust and possibly raise the salary.

Hybrid Working Environment

We use hybrid work in accordance with the company's arrangement.

Flexible Working Hours

We encourage our employees to take advantage of flexible working hours. They can choose when they want to work the most during the day. This is an effective way to increase work-life balance.

Paid leave

Annual leave, sickness, and any special events are considered paid leave. We want our employees to take time off so that they can come back with other valuable opportunities.

Unpaid leave

In certain conditions, unpaid leave is granted to our employees. We make sure everyone has their rights.

Part-time

We have a part-time program that can benefit students or anyone who wants to participate in achieving our mission.

Employment insurance and health insurance

We provide comprehensive healthcare and employment insurance for a better quality of life.

Comfort office

To increase productivity, we provide a cozy office, complete with a garden and other comfortable facilities.

Breakfast and lunch

Working in a pleasant atmosphere might not be enough. You probably need something more. Food will be perfect to cheer up everyone in the office.

Sharing session

We want to make sure that everyone can grow in cmlabs. We are driven by the idea that knowledgeable employees are the biggest assets in the company.

Peer learning

Peer learning enables you to collaborate with your colleagues and learn new skills. Any collaboration of peers can be considered as peer learning and we believe it will narrow knowledge gaps between the employees.

Webinar

Through webinar, we can reach out to communities outside cmlabs. As we reach out to more people in professional settings, we also sharpen our skills in public speaking.

Competitive compensation

We care about our employees' financial well-being, which is why we make sure it meets their expectations.

Regular bonus and equity refresh opportunity

The more you perform well, the more bonus you will receive.

Six-month salary equity analysis and adjustment

We evaluate everyone's performance every six months to adjust and possibly raise the salary.

Hybrid Working Environment

We use hybrid work in accordance with the company's arrangement.

Flexible Working Hours

We encourage our employees to take advantage of flexible working hours. They can choose when they want to work the most during the day. This is an effective way to increase work-life balance.

Paid leave

Annual leave, sickness, and any special events are considered paid leave. We want our employees to take time off so that they can come back with other valuable opportunities.

Unpaid leave

In certain conditions, unpaid leave is granted to our employees. We make sure everyone has their rights.

Part-time

We have a part-time program that can benefit students or anyone who wants to participate in achieving our mission.

Employment insurance and health insurance

We provide comprehensive healthcare and employment insurance for a better quality of life.

Comfort office

To increase productivity, we provide a cozy office, complete with a garden and other comfortable facilities.

Breakfast and lunch

Working in a pleasant atmosphere might not be enough. You probably need something more. Food will be perfect to cheer up everyone in the office.

Recruitment Pipeline

Recruitment Process

Our Hiring Stages for Full-Time & Internship Roles

The recruitment stages for full-time and internship roles are the same, focusing on skills, potential, and alignment with our values.

01

Application Review

In this stage, we will assess your CV to evaluate whether or not you meet the basic qualifications and align with the company values.

02

Pre-assessment Test

Within this test, we will assess specific skills, knowledge, technical proficiency, and suitability for the role you're applying for.

03

HR Interview

In this interview, our HR will examine your background, personality, capability, strengths, and weaknesses to determine whether you are the candidate we have been looking for.

04

User Interview

In this stage, you will meet the user, who interacts closely with the position, to assess how well your technical skills and personality align with the team.

05

Final Interview & Offering

This is the last step in our selection process to make a final determination. It's likely the last interview phase before you find out whether or not you will be getting the job offer.",https://www.linkedin.com/jobs/view/4290553893/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=fqKEwWAcwKrwlm41yay3oQ%3D%3D&trackingId=pHaC9gjBZRweqiOqqE8mVQ%3D%3D&trk=flagship3_search_srp_jobs,Frontend Developer,Indonesia,"['git', 'vue', 'react', 'php', 'java', 'javascript', 'r']",7,2026-04-25T23:59:20.008615
4403521907,BI Developer,Bernhard Heckmann,"Jakarta, Jakarta, Indonesia (On-site)","About the job
This job is sourced from a job board. Learn More

Design, develop and maintain interactive dashboard, visual reports, and self-service BI solutions using Power BI
Integrate and model data from multiple sources including SQL server, Excel and other cloud-based platforms
Collaborate with stakeholders to gather BI requirements and translate them into effective reports and visualizations
implement and maintain Power BI Copilot features to drive faster and smarter insights
Ensure data quality, governance and security in all dashboards and data pipelines
Develop DAX queries and data transformation scripts (Power Query/M)
Support the planning and transition to microsoft fabric and build semantic models, lakehouse, and predictive analytics
Assist in building AutoML use cases and contribut to AI-readiness across business teams
Maintain documentation and provide end-user support for BI and data tools.


Minimum Qualifications


Bachelor's degree in computer science, information system, statistics, or a related field
Minimum 3 years of hands-on experience with Power BI development
Strong knowledge of DAX, Power Query (M), and data modeling best practices
Familiarity with power BI copilot or other AI-assisted BI tools
Experience working with SQL Database, REST APIs, or data lakes
Excellent analytical thinking, problem solving and communication skills
Willingness to learn and explore new technologies including Microsoft Fabric, Lakehouse, and AutoML
Experience in data storytelling and Dashboard UI/UX is a plus
Knowledge of predictive analytics or experience in AI/ML tools (AutoML, Azure ML, etc.) is highly desirable",https://www.linkedin.com/jobs/view/4403521907/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=fqKEwWAcwKrwlm41yay3oQ%3D%3D&trackingId=7Ws6LobQ0bV4OUGiSnXWgg%3D%3D&trk=flagship3_search_srp_jobs,Frontend Developer,Indonesia,"['azure', 'sql', 'power bi', 'r']",4,2026-04-25T23:59:24.713400
4401319417,QA Automation & AI Intern,Entropik,"Lembang, West Java, Indonesia (On-site)","About the job

About Entropik

Entropik is a human insights AI company that enables brands across the globe to conduct market research and optimize customer and user experiences. Our suite of AI products combines quantitative and qualitative research with patented Emotion AI technologies like Facial Coding, Eye Tracking, and Voice AI, helping companies make faster, smarter, and bias-free decisions.

About The Role

We’re looking for a QA Automation & AI Intern who is excited to work at the intersection of testing, automation, and AI. This is not a traditional QA role, manual testing will be minimal. You’ll work on building intelligent, scalable testing systems and explore how AI can transform quality engineering.

What You’ll Do


Assist in designing and building automation frameworks for web applications
Work with the team to explore AI-driven and agent-based testing approaches
Contribute to integrating testing into CI/CD pipelines (shift-left testing)
Help build tools/utilities to improve test coverage and efficiency
Identify bugs, support debugging, and ensure product quality
Collaborate closely with Engineering and Product teams


What We’re Looking For


Pursuing or recently completed a degree in Computer Science or related field
Basic programming knowledge (Python or JavaScript preferred)
Strong interest in automation, AI, and quality engineering
Familiarity with testing concepts (UI/API testing is a plus)
Eagerness to learn, experiment, and build in a fast-paced environment


Bonus Points


Exposure to automation tools (Selenium, Playwright, etc.)
Basic understanding of CI/CD workflows
Curiosity about applying AI in testing",https://www.linkedin.com/jobs/view/4401319417/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=fqKEwWAcwKrwlm41yay3oQ%3D%3D&trackingId=yMe34WJ7jT4VUo7HVD%2BS0Q%3D%3D&trk=flagship3_search_srp_jobs,Frontend Developer,Indonesia,"['python', 'ios', 'java', 'scala', 'javascript', 'r']",6,2026-04-25T23:59:29.396609
4403126090,Junior Java Developer,Bumi Amartha Teknologi Mandiri,"Jakarta, Jakarta, Indonesia (On-site)","About the job
This job is sourced from a job board. Learn More

Develop, test, and maintain backend services using Java Spring Boot
Design and optimize database queries and data structures using SQL
Collaborate with cross-functional teams to gather and analyze system requirements
Review, debug, and improve existing code for performance and scalability
Ensure system reliability, security, and performance standards are met
Support integration with internal and external systems (e.g., APIs)
Document technical specifications and system processes
Participate in code reviews and follow best practices in software development


Minimum Qualifications

Note: 3 month contract based with possibility to extend


Bachelor’s degree (S1) in Computer Science, Information Systems, or a related field
Minimum GPA of 3.00
1–2 years of experience in software development
Proficiency in Java Spring Boot
Strong understanding of SQL databases
Strong programming logic and problem-solving skills
Ability to analyze and understand existing code
Understanding of banking business processes is a plus
Available to join ASAP is preferred",https://www.linkedin.com/jobs/view/4403126090/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=fqKEwWAcwKrwlm41yay3oQ%3D%3D&trackingId=qiZA76Nsg4HUIyyICE53jw%3D%3D&trk=flagship3_search_srp_jobs,Frontend Developer,Indonesia,"['sql', 'spring boot', 'java', 'scala', 'r']",5,2026-04-25T23:59:34.078555
4403940544,Backend Developer - Graduate Intern,FORMULATRIX,"Salatiga, Central Java, Indonesia (On-site)","About the job

Backend Developer - Graduate Intern

Salatiga/Semarang, Indonesia




Formulatrix Indonesia offers an internship program for fresh graduates to gain practical experience in the field of software development, along with the opportunity to grow and explore career paths.




By joining the Software Engineer Graduate Intern Program you will get the chance to:

Get exposure and opportunities to explore about about technology, framework, and stack from experienced engineers in a collaborative environment.
Get a ""real world"" work experience and gain knowledge about robotic automation industry.
Practice communication and teamwork skills.
Be considered for a full-time employment role, or receive a certificate of acknowledgment for those who made a favorable impression. Candidates who can show the certificate will be prioritized for future employment.
Receive financial compensation during the internship period.




Requirements:

Fresh graduate from any degree, major in Computer Science, Information Technology, Electronic Engineering, or non software related major graduates who have equivalent experience in software development.
Backend experience related to robotic projects using C#, Java, or C++ is preferred.
Provide required documents: latest CV in English, Academic Transcript, and Portfolio.
Proficient in Google applications, specifically Drive, Docs, and Sheets.
Committed to join this program for at least 3 months.
Candidates must be willing to participate in an onsite internship program at the Salatiga/Semarang office.




How to Apply via Email

If you're interested in joining our Graduate Intern Software Engineer Program, please email your CV and Portfolio (format : PDF, max. 1MB) to forindojob@formulatrix.com with the words in the subject line.




GI Backend (space) Your Name

e.g. GI Backend Adam Fisal",https://www.linkedin.com/jobs/view/4403940544/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=fqKEwWAcwKrwlm41yay3oQ%3D%3D&trackingId=IfDMkIORpgdNtCM4z1IjsQ%3D%3D&trk=flagship3_search_srp_jobs,Frontend Developer,Indonesia,"['c++', 'c#', 'java', 'r']",4,2026-04-25T23:59:38.772786
4385790880,"Junior Software Engineer - Remote (Indonesia), Full-Time",MixRank,Indonesia (Remote),"About the job

Who We Are

MixRank processes petabytes of data every month from web crawling. We have hundreds of customers using our data products including Google, Amazon, Facebook, Intel, and Adobe, across industries Sales, Marketing, Finance, and Security.

Team is 58+ full-time, full-remote from 20+ countries. We're growing, profitable, employee-owned, no dependence on outside funding. Applicants from all geographies and backgrounds are welcome.

We are looking for passionate individuals for whom programming is not just a job but it’s something they love to do. We're obsessed with computers, programming, big data, databases, compilers, hardware, math, data science, and the internet. Does this sound like you? Please apply to join our team.

Our code base is very friendly to new contributors. You'll have a fully-functional development environment within hours (fully automated) and be pushing commits on your first day. Deployments to production happen multiple times per day and finish in less than 2 minutes. Effectively all of our codebase is written in Python, Rust, SQL, Javascript/TypeScript, and Nix. The core technologies you'll need familiarity with to be productive are Python, PostgreSQL, Linux, and Git. We care more about the candidate as a person than the specific technology experience.

We operate at a larger scale than typical startups. We operate two datacenters with high performance servers we've built that are capable of dealing with the volumes of data we process. We've implemented our own distributed file system. We do full-scale web crawls. We download and perform static analysis on the entire universe of Android APKs and iOS IPAs that are published. Unlike a typical startup where you'll spend half of your time in meetings, and the other half fixing bugs from Jira tickets— at MixRank you'll get to challenge yourself with difficult technical problems that will help you to grow as an individual.

Who We’re Looking For

We're hiring generalist software engineers to work on web applications, data mining, machine learning/data science, data transformation/ETL, data modeling, database scaling, infrastructure, devops, and more. We'll cater the role to whatever subset of these areas match your interests.

Beneficial experience includes PostgreSQL, Python, Rust, Linux, TypeScript, Nix, frontend/backend web development, and data mining.

Please include your updated resume when applying for this role.",https://www.linkedin.com/jobs/view/4385790880/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=fqKEwWAcwKrwlm41yay3oQ%3D%3D&trackingId=wy%2BOqJmq9rsObDiXu08FKA%3D%3D&trk=flagship3_search_srp_jobs,Frontend Developer,Indonesia,"['git', 'python', 'typescript', 'postgresql', 'sql', 'android', 'ios', 'java', 'rust', 'linux', 'javascript', 'r']",12,2026-04-25T23:59:43.454266
