id,title,company,location,job_description,job_url,search_role,search_location,extracted_skills,skills_count,scraped_at
2147623717,Product Developer Intern,DANA Indonesia,"Jakarta, Indonesia (On-site)","About the job

About Business Automation

At Business Automation, we believe that meaningful progress begins when people are empowered to do their best work. Our purpose is to transform complex, time-consuming processes into seamless, intelligent systems that enable teams to operate with greater clarity, speed, and confidence. By reducing manual effort, we create room for ideas to grow, innovation to thrive, and people to truly excel in what they do best.




We don’t aim for simple process improvement—we strive to reshape the way the organization works. Through smart automation, data-driven insights, and thoughtful design, we unlock new levels of efficiency and capability. Whether it’s accelerating decision-making, simplifying workflows, or enabling smarter business operations, our focus is on delivering solutions that create real, measurable impact.




To us, automation is more than just technology—it is about collaboration, curiosity, and continuous growth. We are driven by the joy of solving real problems, exploring new possibilities, and creating solutions that truly make a difference. Ultimately, we take pride in empowering teams across the organization to work smarter, achieve more with less friction, and experience greater satisfaction in what they do every day.




About the role

As a Product Intern, you will be part of the Business Automation Team. Your main role is to bring value by ensuring alignment between business objectives / user needs.

If you are someone who is eager to make an impact, solving complex problems, and coming up with creative solutions, then this role is for you.




You'll be working on:

Product Strategy & Vision: Collaborate with cross-functional teams to define the product strategy, vision, and roadmap for Automation Team product.
Data-Driven Decision Making: Analyse data to inform product decisions, track performance metrics, and ensure product features are aligned with user needs and business goals.
Prioritization: Prioritize feature development to ensure what is being delivered brings the most business value.
Stakeholder Management: Participate in meetings with stakeholders, ensuring alignment between stakeholders and Automation Team.
Product Delivery: Support the product development life-cycle of Automation Team’s product, from ideation to launch.

Qualifications:

Pursuing an S1/Bachelor’s degree in STEM or Technical / Engineering background (e.g. Computer Science, Data Science, Information System, Engineering, etc).
Currently in the 3rd or 4th year of study.
Able to commit to a 6-month internship with placement in Jakarta.
Must have strong knowledge and hands-on experience in SQL.
Strong analytical skills and great understanding of the user's behavior.
Self-motivated and able to thrive in a fast-paced and dynamic environment.
Excellent communication skills in English both verbal and written.
Preferred: knowledge and skills in Data Science / GenAI / Automation tools.",https://www.linkedin.com/jobs/view/2147623717/?eBP=CwEAAAGd9IQcPe9xIsf2WVhGIVjEsjuritcVq2DpuyG165R2_rSjeS8hRg70ek1j6NFaaSeWRGwmvF-Te33sQ4a0S_miKBPOAWNsoy_bXAtJQe0BbVGg0jPkvDsr7GiZ4BVOrHSEhv7BqOdJaVpsx26Qd_sK28t30KJYtmPUk0qM1Q3VXMXZmDIEpxbraXYcIP48MnoT2BcEUq4p1-Ypfz01LSxeepUOJwe6LpLwUkLO0KF5KiVOIKcHVYiu5Zvgoac6YP6T1E_MgfFvD9Fzhj7yfYGmHXwX84aPMX8btCwprkteqcLiZC0rHAjQoIAy1c9N9zPo17pJg7zbPgHgVraXm7Yf0u46reoVD4-yVOo08D-IO79YVS2pb2rIOp6MSgF8BwbdOTGzUQSg3EnSJza5CAxaZe2qYghUkpss5eCIYf__xf7QuYVJJ3trsHgTIfnPZ8V90vUeibmRRkGG04f0z3ZrqlxGd9WBlLShcKN78dOS4O2Rbcv2woUIL-v2dGHv2ev4&refId=yxoRF7rwSxHYrb11IYmZ2w%3D%3D&trackingId=ZUfvs0ZPP34gHL4885PshQ%3D%3D&trk=flagship3_search_srp_jobs,Progammer,Indonesia,"['r', 'ios', 'sql']",3,2026-05-05T02:43:29.748462
4299315688,Data Analyst / Data Engineer – SCG Indonesia,SCG,"Jakarta, Indonesia (On-site)","About the job

About SCG in Indonesia

With operations spanning manufacturing, packaging, and distribution, SCG generates a wealth of data in Indonesia. Turning this data into insights is essential for driving efficiency, customer value, and sustainability.




For analytics professionals, this role offers a platform to work on high-impact data projects across industries.




About the Role

As a Data Analyst / Data Engineer, you will collect, process, and analyze data to support decision-making across SCG Indonesia’s businesses.




Key Responsibilities

Build data pipelines and ensure data quality.
Develop dashboards and reports for business teams.
Analyze trends in operations, sales, and supply chain.
Support forecasting, cost analysis, and performance tracking.
Document data flows and support governance practices.




Qualifications

Bachelor’s in Data Science, Computer Science, or related fields.
0–3 years in analytics or engineering; new graduates are welcome.
Skills in SQL, Python, Excel, or BI tools (Power BI, Tableau).
Strong analytical and communication skills.




Career Development

Pathways into data engineering, business intelligence, or regional digital strategy roles across SCG’s network.",https://www.linkedin.com/jobs/view/4299315688/?eBP=BUDGET_EXHAUSTED_JOB&refId=yxoRF7rwSxHYrb11IYmZ2w%3D%3D&trackingId=v6ucbkNQ2GcXG%2FPTUeMB0A%3D%3D&trk=flagship3_search_srp_jobs,Progammer,Indonesia,"['power bi', 'r', 'python', 'git', 'sql', 'tableau']",6,2026-05-05T02:43:34.440466
4356191746,Executive Reporting (BI Analyst & Data Engineer),WPP Media,"Jakarta, Jakarta, Indonesia (On-site)","About the job

About WPP Media

WPP is the trusted growth partner for the world’s leading brands. With exceptional talent, trusted data and intelligence, and world-class partnerships – all united by our pioneering agentic marketing platform, WPP Open – we help clients navigate change, capture opportunity, and deliver transformational growth. 

WPP Media is WPP's AI-driven media operating unit, bringing together media, data, and partnerships to deliver creative personalisation at scale. Connected through WPP Open and powered by Open Intelligence, clients see exactly where, how, and why their media investment is working.

For more information, visit wppmedia.com.

About The Role

We are looking for a data-driven professional to support executive-level reporting by combining strong Business Intelligence (BI) capabilities with data engineering expertise. This role will play a key part in transforming raw data into meaningful insights, enabling leadership to make informed, strategic decisions.

Key Responsibilities


Design, build, and maintain executive dashboards and reports (weekly, monthly, quarterly)
Translate business and leadership requirements into data models and reporting solutions
Develop and manage data pipelines to ensure reliable, accurate, and timely data flow
Integrate data from multiple sources (internal systems, third-party platforms, etc.)
Ensure data quality, consistency, and governance across reporting outputs
Provide actionable insights and recommendations to support business strategy
Collaborate with cross-functional teams (Finance, HR, Operations, Commercial, etc.)
Automate reporting processes to improve efficiency and scalability


Requirements


Proven experience in Business Intelligence, Data Analytics, or Data Engineering roles
Strong proficiency in BI tools (e.g., Power BI, Tableau, Looker)
Solid SQL skills and experience working with large datasets
Experience with data pipeline tools and programming languages (e.g., Python, ETL tools)
Understanding of data warehousing concepts and data modeling
Strong analytical thinking and problem-solving skills
Ability to communicate insights clearly to non-technical stakeholders (including executives)
High attention to detail and strong sense of ownership


Please read our Privacy Notice for more information on how we process the information you provide.",https://www.linkedin.com/jobs/view/4356191746/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=yxoRF7rwSxHYrb11IYmZ2w%3D%3D&trackingId=xNebWnV5V84LEaE4LmnoZQ%3D%3D&trk=flagship3_search_srp_jobs,Progammer,Indonesia,"['power bi', 'rust', 'r', 'python', 'sql', 'scala', 'tableau']",7,2026-05-05T02:43:39.141566
4370636535,Business Intelligence - Engineering Intern (Data Governance),Shopee,"Jakarta, Indonesia (On-site)","About the job

Job Description:

We are looking for a motivated Full Stack Engineering Intern to join our Data Governance team, focusing on platform and tool development related to data security, inventory, and access control. This role is suitable for final-year students or fresh graduates who want hands-on experience building data marts and internal tools that support governance and compliance initiatives.

Job Description:


Work under the Data Governance team to build and maintain data tables and internal data tools:
Help to develop tools and products related to data governance and security initiatives
Optimize and improve access control, audit and compliance processes in the Company
Learn and grow alongside Shopee employees while contributing to real, production-facing internal products


Requirements:

Qualifications & Skills:


Final-year student or recent graduate in Computer Science, Data Engineering, Software Engineering, or related field
Internship experience in data engineering, frontend/backend development is a plus
Familiar with front end and/or back end development
Can code in at least one language (e.g., Python)
Familiar with Kubernetes is a plus
Understanding of SQL query and data modeling are a plus
Ability to learn quickly in a fast-paced environment
Self driven to learn and grow both technical and problem solving skills
Good communication and collaboration skills (English is required)",https://www.linkedin.com/jobs/view/4370636535/?eBP=BUDGET_EXHAUSTED_JOB&refId=yxoRF7rwSxHYrb11IYmZ2w%3D%3D&trackingId=tfTim6wXdnlse085W%2F4AdA%3D%3D&trk=flagship3_search_srp_jobs,Progammer,Indonesia,"['r', 'python', 'sql', 'kubernetes']",4,2026-05-05T02:43:43.828256
4252939391,Data Engineer & Analytics,Kredivo Group,Jakarta Metropolitan Area (On-site),"About the job

As a Data Engineer and Analytic you will be tasked with empowering internal stakeholders to delve deep into the complexities of the data in our warehouse. You will work closely with Product, Engineering, and Data teams to build scalable data pipelines and design data analytics engines that empower deep insights for users. The person in this position will take work seriously, has a strong sense of duty, and is disciplined. The position will generally be task oriented, requiring someone with a conservative, careful, and cautious approach to work.

About The Job


Design and develop scalable business data solutions across the entire data supply chain.
Create and review technical and user-focused documentation for data solutions (data models, data dictionaries, business glossaries, process and data flows, architecture diagrams, etc.).
Solve for complex data integrations across multiple systems.
Collaborate with management, business partners, analysts, developers, architects, and engineers to support data quality efforts.
Expertise (can teach/instruct others): in current data warehousing concepts (using technologies like Redsift, Spark, Hadoop, web services, etc to support business-driven decisioning)
SQL and database scripting
With data manipulation scripting languages (like Python or Scala)
With Data Science toolsets and technology stack


About You


A passionate and curious individual in Data Engineering and Analytics subject areas
1-3 years of any relevant experiences in Data Engineering, Data Warehouse, Business Intelligence, Analytics
Good proficiency in writing SQL, either in RDBMS (i.e. MySQL, PostgreSQL, etc) or OLAP (i.e. BigQuery, Redshift, Oracle, etc.)
Ability to write robust and scalable code in Python or other scripting programming language
Good knowledge in creating a workable business dashboard.
Basic proficiency or experience in infrastructure setup using cloud services (i.e. AWS, GCP, Azure).
Strong passion in data engineering or business intelligence areas, ability to search or create solutions.
Good communication skills in Bahasa and English. Mostly explaining technical things.
Good workable attitude, something we could invest time to develop.",https://www.linkedin.com/jobs/view/4252939391/?eBP=CwEAAAGd9IQcPYv7uprVKM3I6J23za-mkAMkJ3P0ND0FEg5tmFtKyptsuZAlOMq_tAMMn9Mi6TJXw5SOO91dsh86rZXwQ1p4iOFmjxdCtLp5csBhO8Ju-ZGwUU_WWN0pw6P8fgblvN1SitoYD6P6htDWbrqri4umiFhEy3jJzd46OQUsQVf-czIypwIzDw9dw6cFx3t6Aije1-couXCgDnM7YsbmvcFBFza7Pk2TleHFj6ZUUlr5g1gsP5Oll4Jf1hiSE_1hRCxfd3c7FaZ9dIol4BGK0RXv4Njc_a97Ka0XRj9eblFW7y9EG5FR5y2nSWiQ6NgYYqVJEYTutVpGaGc24LB_Ix8KPEkJwLOPguQkZfnbbtuOQI_2tTWelIPYdFlJ3u7gLbJo4D8ONavOyV2mc-HlDpGkVUyJVV4dxwHWt8zIJPQWRqXQiUIpAtyJzoecYNTdD5B5LF0rJA&refId=yxoRF7rwSxHYrb11IYmZ2w%3D%3D&trackingId=1o6ydyIB1ZajvAVtYmZGwg%3D%3D&trk=flagship3_search_srp_jobs,Progammer,Indonesia,"['gcp', 'spark', 'mysql', 'azure', 'hadoop', 'r', 'python', 'aws', 'sql', 'postgresql', 'scala']",11,2026-05-05T02:43:48.529184
4254252793,Power Bi developer,Techno One Consulting,"Jakarta, Jakarta, Indonesia (On-site)","About the job

Our company looking for an Power BI Developer with following requirements :


To understand business requirements in the BI context and design data models to convert raw data to meaningful insights.
To create dashboards and visual interactive reports using Power BI.
To identify KPIs with clear objectives and monitor them consistently.
To analyse data and present it through reports that can help in decision-making.
To be able to convert business requirements into technical specifications and decide the timeline to accomplish tasks.
To design, develop, and deploy Power BI scripts and perform efficient detailed analysis.
 To perform DAX queries and functions in Power BI. 
 To create charts and document data with algorithms, parameters, models, and relations explanations. 
 To conduct data warehouse development. 
 To perform SQL querying for best results. 
 To use filters and graphs for a better understanding of the data. 
 To define and design new systems by analyzing current ETL processes. 
 To make technical changes to existing BI systems in order to enhance their working",https://www.linkedin.com/jobs/view/4254252793/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=yxoRF7rwSxHYrb11IYmZ2w%3D%3D&trackingId=%2B%2Fhd%2BVp11mduOzwh8TGkyQ%3D%3D&trk=flagship3_search_srp_jobs,Progammer,Indonesia,"['power bi', 'r', 'sql']",3,2026-05-05T02:43:53.194908
4353730753,Next Level Internship,Mekari,"Jakarta, Jakarta, Indonesia (On-site)","About the job

Mekari is Indonesia's no. 1 Software-as-a-Service (SaaS) company. With our ecosystem of software solutions—including Mekari Jurnal, Mekari Talenta, Mekari Qontak, and Mekari Flex, we aim to facilitate entrepreneurs and leaders as they accelerate the digital transformation of their businesses. In our 10+ years of journey we have reached over 1 Million platform users, and we're not planning to stop any time soon.

Through the Next Level Internship program, Mekari is providing a highway for achievement-oriented young talents to #ElevateThroughImpact in a competitive and encouraging environment, where they get to contribute in raising Indonesia's software standard.

If You Are


A University student studying in Indonesia, OR;
An alumnus, max. 1 year after graduation


Send in your application now and start your journey to:


Experience working at Indonesia's no. 1 SaaS company
Get a min. 3-month period internship experience with your preferred team and role
Receive evaluations to keep your Next Level journey on track 


Important

Before going ahead with your application, make sure you have these items ready to submit:


 An updated CV
 Up to 3 of your preferred teams and roles (Please refer to bit.ly/MekariNLIOpenings to see the complete list of teams and roles at Mekari).


Still got any questions? Shoot us a DM on Instagram at @lifeatmekari

Good luck and we hope you make it to the Next Level of your journey with Mekari!

Mekari Next Level Internship Program: Pick Your Team, Pave Your Way",https://www.linkedin.com/jobs/view/4353730753/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=yxoRF7rwSxHYrb11IYmZ2w%3D%3D&trackingId=kekj6npGKyGMRlodN6PS6g%3D%3D&trk=flagship3_search_srp_jobs,Progammer,Indonesia,"['r', 'git']",2,2026-05-05T02:43:57.879484
3765732695,Back-end Developer (Android),Sagara Technology,"Bandung, East Java, Indonesia (On-site)","About the job

Integration of user-facing elements developed by a front-end developers with server-side logic
Building reusable code and libraries for future use
Optimization of the application for maximum speed and scalability
Implementation of security and data protection
Design and implementation of data storage solutions.",https://www.linkedin.com/jobs/view/3765732695/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=yxoRF7rwSxHYrb11IYmZ2w%3D%3D&trackingId=cTCYQsBbHVfhVGN%2F6kcRkA%3D%3D&trk=flagship3_search_srp_jobs,Progammer,Indonesia,"['r', 'scala']",2,2026-05-05T02:44:02.536061
3740022960,Labs Bootcamp Program,Sea,"Jakarta, Indonesia (On-site)","About the job

About the Team:

Sea Labs Indonesia is the tech force behind Sea Group. We are here to make a real impact for millions of users in Indonesia through the transformative power of technology. We solve real-life problems to create a good user experience through various business operations, mainly Shopee and SeaMoney.

Job Description:

In Sea Labs Indonesia we aim to develop Digital Talents in and for Indonesia. As part of our commitment, we are opening a Labs Bootcamp program for young talents with a passion for software engineering. Through this bootcamp, individuals will get exposure on working in a global organisation, as well as obtain knowledge and training to flourish the role in one of tracks as Software Engineer.

The Labs Bootcamp is a twenty-week program that covers software engineering, QA, and SRE fundamentals, best coding practices on common tech stacks and tools used in the enterprise development center, and near-the-job training through simulated projects by the end of the program.

Only candidates who pass the technical test and interview will be enrolled in the program.

Exceptional performance during the program will have the opportunity to enroll in the selection process to become a permanent employee and build a career in Sea Labs Indonesia.

Batch 8

Starting Date: 12 January 2026

Requirements:


Final year student or Bachelor’s Degree from any majors
Passionate and interested in pursuing a career in software development and programming
Have a basic knowledge of coding skills and the fundamental computer science
Willing to be located in Jakarta and participate in the Bootcamp Program offline



Note: This program is free of charge and each participant will get a monthly allowance throughout the training period. A full commitment in attending the full-day class is mandatory.",https://www.linkedin.com/jobs/view/3740022960/?eBP=BUDGET_EXHAUSTED_JOB&refId=yxoRF7rwSxHYrb11IYmZ2w%3D%3D&trackingId=yAzSEOPGnuf1NWg19aNc1w%3D%3D&trk=flagship3_search_srp_jobs,Progammer,Indonesia,"['r', 'git']",2,2026-05-05T02:44:07.204423
4410047740,Intern Data Engineer,kumparan,"Jakarta, Jakarta, Indonesia (On-site)","About the job
This job is sourced from a job board. Learn More

What You’ll Learn


ElasticSearch, Airflow, Redshift, TensorFlow, Docker, Lambda, and AWS Big Data and Machine Learning solutions.


Job Requirements


Currently in the final semester of your bachelor’s degree or a recent graduate.
Strong engineering background in highly quantitative fields.
Proficiency in Python or other object-oriented programming languages.
Interest in delivering large-scale engineering solutions, particularly in building full-stack data products.",https://www.linkedin.com/jobs/view/4410047740/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=yxoRF7rwSxHYrb11IYmZ2w%3D%3D&trackingId=Gh58ltFIl9m1BZ9KT%2F5I6A%3D%3D&trk=flagship3_search_srp_jobs,Progammer,Indonesia,"['elasticsearch', 'airflow', 'docker', 'r', 'python', 'aws', 'tensorflow']",7,2026-05-05T02:44:11.874825
