id,title,company,location,job_description,job_url,search_role,search_location,extracted_skills,skills_count,scraped_at
4405779197,T&T - INSPIRES Internship Program June 2026 Technology & Transformation - Indonesia,Deloitte,Jakarta Metropolitan Area (On-site),"About the job

Date: 12 Apr 2026

Service Line / Portfolios:

Location:

Jakarta, ID

 Are you ready to unleash your potential? 

At Deloitte, our purpose is to make an impact that matters for our clients, our people, and the communities we serve.

We believe we have a responsibility to be a force for good, and  WorldImpact  is our portfolio of initiatives focused on making a tangible impact on society’s biggest challenges and creating a better future. We strive to advise clients on how to deliver purpose-led growth and embed more equitable, inclusive as well as sustainable business practices. Hence, we seek talented individuals driven to excel and innovate, working together to achieve our shared goals.

We are committed to creating positive work experiences that foster a culture of respect and inclusion, where diverse perspectives are celebrated, and everyone is recognised for their contributions.

Ready to unleash your potential with us? Join the winning team now!

The INSPIRES Internship Program is a 10-weeks structured programme that will allow you to various key capabilities and skills whilst gaining access to a wide scope of training and development activities. In addition, you will have an opportunity to work with like-minded people and gain exposure to a variety of projects within the chosen business area.

As an intern in Technology & Transformation, you will working alongside with some of the best and brightest people anywhere, on behalf of many of the world’s most influential companies. You will be at the center of it all, performing research, data analysis and modelling to tackle complex business problems. In addition, you will contribute directly to the development of proposals, presentations and publications. You will gain hands-on experience in delivering comprehensive solutions to support our clients transformation agenda in one of our portfolio offerings below:


 Cyber: Help clients swiftly adapt to evolving markets, new threats, and disruptive competition through comprehensive cybersecurity assessments, penetration testing, development of robust cybersecurity frameworks, cloud security solutions, data protection strategies, and advanced threat intelligence. Click here to find out more! 
 Engineering, AI & Data, Operations, Industry & Domain Solutions : Harness the power of cloud engineering, data analytics, and AI to modernize systems, implement cutting-edge technology, and drive innovation and performance. Focus on cost-effective, efficient operations that fuel profitable growth by leveraging state-of-the-art cognitive and digital solutions to reduce costs, maximize efficiency, transform payments and revenue processes, and embrace emerging business models. Click here to find out more! 
 Enterprise Technology & Performance : Unlock maximum value from digital transformation investments with innovative strategy, design, implementation, and optimization of enterprise systems and software. This holistic approach to performance improvement and digital transformation enhances business processes and achieves operational excellence. Click here to find out more! 
 Customer : Craft and implement digital marketing strategies rooted in data-driven, creative, customer-centric approaches that capitalize on digital innovation, advertising, and a human-first vision. This ensures the creation and retention of engaged customers, powering sustained growth for our clients. Click here to find out more! 
 Human Capital : Empower organizations through HR transformation solutions, workforce optimization, and future human capital planning. Help them navigate change, build resilient and future-ready teams, and manage organizational change effectively. Click here to find out more! 


Who We’re Looking For

We’re looking for aspiring undergrduates who are eager to explore a career in a dynamic and fast-paced professional services environment.

 Eligibility: 


 Available for full-time internship from 22 June - 28 August 2026 
 Currently pursuing Master’s Degree or Bachelor’s Degree background in business, finance, accounting, human resource, computer science, computer engineering, information systems and technology or other related fields 
 Strong interest in exploring a career in advisory and technology consulting services 


 Ideal candidates will also demonstrate: 


 Team player with effective interpersonal and communication skills 
 Exceptional problem-solving ability. Logical reasoning, creative thinking, comfort with numbers, and the ability to untangle complex issues. 
 Strong passion for consulting, ability to adapt and cope in a fast pace, challenging work hours and environment 
 Fluent in verbal and written English 


Got what it takes, APPLY NOW!

Due to high volume of applications, we regret only shortlisted candidates will be notified.

Requisition ID: 112926

In Indonesia, the services are provided by Imelda & Rekan and other related entities in Indonesia (""Deloitte in Indonesia""), which are affiliates of Deloitte Southeast Asia Ltd. Deloitte Southeast Asia Ltd is a member firm of Deloitte Touche Tohmatsu Limited. Deloitte in Indonesia, which is within the Deloitte Network, is the entity that is providing this Website.",https://www.linkedin.com/jobs/view/4405779197/?eBP=BUDGET_EXHAUSTED_JOB&refId=vHpbTNkuQlppKDDr47fRug%3D%3D&trackingId=jQCGeF4mhoUcPN4jaexamQ%3D%3D&trk=flagship3_search_srp_jobs,Software,Indonesia,"['swift', 'r', 'git', 'ios']",4,2026-05-05T01:15:13.724368
4404735696,Data Entry,LIUGONG FINANCE INDONESIA,"North Jakarta, Jakarta, Indonesia (On-site)","About the job

Job Requirements

Bachelor's degree in Statistics / Mathematics / Engineering / Business Administration from reputable university
Undergraduate students (preferably final-year student) from reputable university with min. GPA 3.00/4.00 are welcome
Proficiency in Microsoft Excel and Microsoft Word
Attention to detail and organizational ability
Good time management, detail-oriented, and willing to learn
Interest in the financial services / heavy equipment financing industry
Proficient in English (written and verbal)
Willing to work on-site in North Jakarta




Job Description

Assist business process by entering data into databases and spreadsheets 
Verifying and correcting data for accuracy, validity and completeness
Assisting with generating reports or summaries
Collaborating with other teams to ensure data consistency",https://www.linkedin.com/jobs/view/4404735696/?eBP=BUDGET_EXHAUSTED_JOB&refId=vHpbTNkuQlppKDDr47fRug%3D%3D&trackingId=ol9HpibV06DdRtuLnpOVpQ%3D%3D&trk=flagship3_search_srp_jobs,Software,Indonesia,['r'],1,2026-05-05T01:15:18.409668
4408620830,Internship,APP Group,"Serpong, Banten, Indonesia (On-site)","About the job

At APP Group, our innovation drives opportunity, making us your gateway to a career that champions inclusivity, growth and sustainable future.




Why Join Us?

Work with international teams and gain valuable experience in a diverse and dynamic global finance environment.
Be part of a leading company in the paper production industry, known for its commitment to sustainability and innovation.
Engage in complex financial analysis and reporting that supports strategic decision-making and drives business success.




Available Opportunity:

Internship Procurement - Serpong
Internship Capex Procurement - Serpong
Internship Data Analyst - Serpong
Internship Corporate Risk and Integrity - Serpong
Internship HR Compensation and Benefit - Serpong
Internship HRIS - Serpong
Internship HRBP - Serpong
Internship Graphic Design - Thamrin




What You Will Experience:

Collaborative Team Culture: You will work alongside a diverse and supportive team that values open communication and creative problem-solving.
End-to-End Workflow Exposure: You will gain a comprehensive understanding of our business operations by being involved in the full project lifecycle.
Dynamic Learning Environment: You will thrive in a fast-paced setting that constantly challenges you to adapt and develop new skill sets.
Agile Problem Solving: You will tackle diverse operational challenges that sharpen your analytical thinking and decision-making abilities




What is Required:

Final-year students or Fresh Graduates with a minimum Bachelor's degree in: Industrial Engineering, Civil Engineering, IT, Computer Science, Information System, Criminology, Business Management, Accounting, Finance, HR Management, Psychology, DKV and any related field
Proficient in Microsoft Office 365 (Excel, PowerPoint, Word, Outlook)
Strong Excel skills (VLOOKUP, XLOOKUP, Pivot Table, data processing & basic analysis) (Internship Procurement, Capex Procurement, Data Analyst, CRI, HR Comben, HRIS, HRBP)
Strong conceptual thinking, analytical, and problem-solving skills.
Detail-oriented with strong time management and organizational skills.
Good communication skills and able to collaborate effectively in a team environment.
Fluent in English, both written and spoken
Prior experience as a Payroll or Compensation Benefit is a plus (Internship HR Compensation and Benefit)
Familiar with SAP is a plus (Internship HRIS)
Familiar with design tools (Internship Design)
Internship period: 3-6 months




Submit your application and start a better tomorrow, today",https://www.linkedin.com/jobs/view/4408620830/?eBP=BUDGET_EXHAUSTED_JOB&refId=vHpbTNkuQlppKDDr47fRug%3D%3D&trackingId=E8JEHBzD3xec4N8MB%2Fh2aw%3D%3D&trk=flagship3_search_srp_jobs,Software,Indonesia,"['agile', 'r']",2,2026-05-05T01:15:23.128712
4408676788,Sales Executive,Soto Energi Shakti,"Jakarta, Indonesia (Remote)","About the job

We're a lean, fast-moving fuel trading company.




You'll be building your own pipeline from scratch, hunting for the right buyers, and closing deals in a market where speed and trust are everything. If you thrive on the chase, love talking to people, and measure your week by how many conversations turned into transactions — you'll fit right in. You'll work directly with management, which means short feedback loops, fast decisions, and real ownership over your results from day one. The upside is uncapped. So is the expectation.




We move fast and we expect you to move faster.




Responsibilities

Hunt and qualify B2B leads across industrial, shipping, and distribution segments
Run outreach, product presentations, and initial price negotiations
Follow up consistently and close deals with guidance from management
Keep the sales pipeline updated across project management tools (Slack, Trello, Notion, or similar)
Build long-term client relationships to drive repeat business
Know the product well enough to answer client questions on specs, pricing, and logistics
Report sales progress to management regularly




Requirements

Min. 2 years of sales experience, preferably B2B
Comfortable with performance-based pay — you earn what you close
Strong communicator — confident meeting new people and building rapport
Polished and professional in client-facing situations
Proficient in Slack, Trello, Notion, or similar tools
Self-managed and disciplined in a remote work setup
Ambitious, results-hungry, and eager to grow through numbers
Understands the B2B sales cycle — objection handling, follow-through, closing




Nice to have

Existing network in shipping, mining, construction, plantation, or manufacturing sectors
Prior experience selling commodity or industrial fuel products (HSD, HSFO, and VLSFO)
Active English proficiency, written and spoken




Benefits

Uncapped Commission: Performance-based structure — your earnings grow directly with your results
Work From Anywhere: Full flexibility to work remotely within the Jabodetabek area
Direct Access to Management: Work closely with founders — short feedback loops, fast decisions",https://www.linkedin.com/jobs/view/4408676788/?eBP=CwEAAAGd9DNSVcplUj3y94DUeXLq2vJXVyFQ4eHhzj3uICr2EWIv8adHckxWpuRTTTkbQI0mxBO8a6TqKX47SzjGHHqZ0btHGGXQfM5NamDoUkqQ81tEi3E0myE-xnsTDpa2sWz-6eiSBh2UPAebID_aUV6jDX2BghccSn43bSEeuEnrz7XFIvOFJ6Uj78zUigj3FUHXuXygZDJQqyshjwkxd2peBCNyEvf_KP1cURzZTlbLNrujc_l6M81Vm00s3ySmA0uoNX_dTgGi4NngIUQg6p5ef3NbNtSd3ig20oQz3OOYYptBryetTg_Pwby3AMlAQfC0W-48WMmg_35gfX7wwHJwyfARaQs0hvinf0RBtsV99KFSp4cGHWmNN8swUrLWgf2HxsnoRUUFYE_Xi7JF5SXslJrJZmjES_5lyHF6vWGo15BZ6jLnT2Gjxy2vRqVa45oEJkhd8LA_byyTke_CNkmQwhU82NRmlduxsWR4NCHbiStfteA6X-_2Xui7NxicMFzVKH_O&refId=vHpbTNkuQlppKDDr47fRug%3D%3D&trackingId=su060YZq6MWm%2BSl%2FU%2FsG5A%3D%3D&trk=flagship3_search_srp_jobs,Software,Indonesia,"['rust', 'r']",2,2026-05-05T01:15:27.804851
4404760217,Data Support Project Intern,PT Lion Super Indo,"Jakarta, Indonesia (On-site)","About the job

We are looking for a motivated intern to join our Data Analysis team, turning data into clear insights that drive smarter, faster decisions.

As a Data Support Project Intern, you will help shape our Indirect Procurement system transformation, working on real projects in process optimization and performance analysis. You will collaborate across teams, gain hands-on experience, and build skills that actually matter in the retail industry.




Job Description

Data Handling & Reporting : Collect, clean, and organize data so it is accurate and ready to use. Turn it into simple, clear reports with insights people actually understand.
Ad-hoc Analysis : Jump into quick analysis requests and turn raw data into useful insights that support real decisions.
Data Visualization : Build and maintain dashboards that make data easy to read, track, and act on.
Collaboration : Work with different teams to understand what they need and help them make better, data-driven decisions.
Documentation : Keep things organized - document data sources, methods, and insights so everything stays clear.




Requirements

Currently pursuing a degree in Data Science, Statistics, Business Analytics, Economics or related field. Preferably Final Year student with no class to attend.
Proficiency in both English and Bahasa Indonesia
Proficiency in data analysis tools such as Excel.
Experience with data visualization software like Tableau or Power BI is a plus.
Understanding of data interpretation and analytics.
Strong quantitative and analytical skills with the ability to analyze complex datasets and draw actionable insights.
Experience in conducting ad-hoc analyses and ability to synthesize findings into clear, consice reports.
Good interpersonal and written communication skills to effectively present findings and collaborate with cross-functional teams.
Ability to work both independently and collaboratively within a team environment, showing flexibility and willingness to assist others.",https://www.linkedin.com/jobs/view/4404760217/?eBP=BUDGET_EXHAUSTED_JOB&refId=vHpbTNkuQlppKDDr47fRug%3D%3D&trackingId=H4rOeuM9wdML3x5KbjVmOw%3D%3D&trk=flagship3_search_srp_jobs,Software,Indonesia,"['power bi', 'r', 'tableau']",3,2026-05-05T01:15:32.467469
4404255407,"Internship, Retail Deposit Business",SeaBank Indonesia,"Jakarta, Indonesia (On-site)","About the job

Job Description:

Support retail deposit business initiatives and related projects from propositioning to launching
Support necessary research for project/business needs such as data analysis, market research, business development strategy and/or other administrative needs
Communicate and coordinate with multiple stakeholders related to retail deposit projects
Responsive follow-up for administrative needs related to retail deposit products




Requirements:

Fresh graduates or final year students with no offline classes or candidates with 0-1 year of experience are welcomed to apply
Able to work meticulously & detail-oriented
Good interpersonal skills and ability to communicate effectively
Have critical thinking and the ability to analyze data and provide a conclusion
Willing to do daily WFO at Jakarta office and expecting to start by May 2026",https://www.linkedin.com/jobs/view/4404255407/?eBP=CwEAAAGd9DNSVbKZYN3UZuIb5ztggFB8u13CZVAa6UVoWjBB3teCkM4MBRNTXOSyMHy3b16-U770SsF4T701kq_JLt8JPFVloXkjshHlGh2hgABHVOK9D5CFbxaKf5FCKaq9ZikaGluuVGXJWUIpg51CntRuOq8AeYxU5gPNBl9gxM2ta17ho0IujxU92zXqw2yxK8uGzmUjwtF38_nSBKzUr-Nw7_Dt8kS0h_91A0sSNVEOE8__GsbsS4ttAOIZPVpsYY0IZ_L8dd3q-W_9HCif-kG99_rL67mavLeY6CGyhA1G6Zi33C2csLS_gJR-xG-XDm6-zjXpM5OqS8Laf_k0ZWm86rv-waG6h64CmRYd5FdQq296kl4obtC31x-H-r1BTcG0DbZ1ps_TtmAs4GQy2uqxGPI7vpIvp7XBP2yYRdoEp3rEKTyTEZLm6sNMrrGqPk4O4mFW4mf-ZzGvGnDt8wrowf9fV_l9Mz3FW607PT2rUkoCR5z7VtZdC1I6Swq5evaE&refId=vHpbTNkuQlppKDDr47fRug%3D%3D&trackingId=n992bx980ZKSaO2V4Kl8GA%3D%3D&trk=flagship3_search_srp_jobs,Software,Indonesia,['r'],1,2026-05-05T01:15:37.129256
4408631586,Data Scientist | Remote,Crossing Hurdles,Indonesia (Remote),"About the job

Position: Data Scientist

Type: Contract

Compensation: $30 - $130/hour

Location: Remote

Commitment: 10-40 hrs/week

Role Responsibilities


Collect, clean, and preprocess diverse data sets to ensure integrity and readiness for analysis.
Develop, validate, and implement statistical models to extract actionable insights from complex data.
Conduct exploratory data analysis to identify trends, patterns, and opportunities for business improvement.
Present findings and recommendations through compelling data visualizations and reports, tailored for technical and non-technical stakeholders.
Collaborate closely with team members to design and execute end-to-end data projects, from ideation to delivery.
Continuously improve analytical methodologies and automation processes to enhance data workflows.


Requirements:


Have strong relevant experience in statistics, mathematics, and data analysis techniques.
Have proven experience in collecting, handling, and cleaning large, complex data sets.
Be proficient in programming languages such as Python, R, or similar for data manipulation and modeling.
Possess strong data modeling skills with experience in building and validating predictive models.
Have advanced ability to visualize data using tools like Tableau, Power BI, or related libraries.


Application Process:


Easy Apply on LinkedIn
Check email for next steps
Participate in resume evaluation & interview stage





Desired Skills and Experience

data handling, statistics &amp; Mathematics",https://www.linkedin.com/jobs/view/4408631586/?eBP=BUDGET_EXHAUSTED_JOB&refId=vHpbTNkuQlppKDDr47fRug%3D%3D&trackingId=VbezL8n7MdRZuagkSkqvzw%3D%3D&trk=flagship3_search_srp_jobs,Software,Indonesia,"['power bi', 'r', 'python', 'tableau']",4,2026-05-05T01:15:41.802151
4403384138,Business Intelligence Intern,tiket.com,"Jakarta, Jakarta, Indonesia (Hybrid)","About the job

We think you also hate when travel app is giving you a headache, right? A slight misinformation can ruin the trip.

That is exactly what we are tackling as t-fam! Making sure that our 50+ million users have the best experience in crafting their own adventure.

Your Main Duties In Flying With Us


To help on the task delivery of Business Intelligence (report and analysis) and understand the table relations in the Data Warehouse.
Contribute on task delivery such as performing descriptive analysis, and enhancing dashboard/query for data warehouse
Get deeper understanding of ideal Business Intelligence Architecture in the OTA industry


Mandatory Belongings That You Must Prepare


At least undergraduate student on their last semester
Willing to do internship for at least 6 months and starting soon
Have experience as a Business Intelligence/ Data Analyst Intern is good to have
Familiar with SQL and Data Warehousing
Familiar with reporting tools (e.g Tableau, PowerBI, etc)
Familiar with Python is a value-added
Willing to join hybrid working arrangement, at least two days working in office


In the event that you haven’t received any updates after 3 weeks, your data will be kept and we may contact you for another career destination. Meanwhile, discover more about tiket.com on Instagram, LinkedIn, or YouTube.",https://www.linkedin.com/jobs/view/4403384138/?eBP=BUDGET_EXHAUSTED_JOB&refId=vHpbTNkuQlppKDDr47fRug%3D%3D&trackingId=ATjGSOFF%2BiK0sTxfoi7zAA%3D%3D&trk=flagship3_search_srp_jobs,Software,Indonesia,"['r', 'python', 'sql', 'tableau']",4,2026-05-05T01:15:46.485407
3611204797,"Data Analyst, Business Intelligence",Shopee,"Jakarta, Indonesia (On-site)","About the job

Job Description


Assist the various business units as a discussion partner to plan, strategise, and grow Shopee's business by enabling data-driven decision-making
Serve as in-consultant who simplifies complex terminologies into more understandable insights to internal stakeholders
Collect, clean, and analyze large data sets to support business decisions
Develop and deploy dashboards to monitor key metrics.
Conduct ad-hoc analysis to support decision-making and special projects


Requirements


Master's or Bachelor's degree in quantitative fields or a relevant field of study
Experience working with one or more language for querying (e.g. SQL)
Familiarity working with BI tools (e.g Tableau, PowerBI, Looker) strongly preferred
Familiarity with advanced analytics languages like Python or R will be an advantage
Experience working with multiple stakeholders across various divisions
Ability to converse in English and Bahasa Indonesia to communicate with internal stakeholders
Exceptional interpersonal skills
Self-starter with a can-do attitude",https://www.linkedin.com/jobs/view/3611204797/?eBP=CwEAAAGd9DNSVUdK9VuLSFnZldEeM3SuEj_jJ2fOPs98ht8FHmD9G0XQndetmE-BP_wa6K1_9xUlHwL6MIyY8tcqfC_vr6SQlrKhzAYUHU3hLFjSbXLEXbfjWtQaEO9dS2FoU4GXv0DoNMUEv7yqxREzXhrfFfk1rv3MPvy-94GYim94Vgzis81f6fhmDWAiXq_krBVi1_CeujblgO2uMX9SIEyTaMtpRPflcKWPwIhVxnYhigyopHA7yJNvUyi3lwehZQgh5Xz5AScycYa9h3Px7ilcNwqHNB-EBJWlAA6sJME1aPRdTWlwd35Cl8GHmCJscKaNJjGIyW6fkR7DZ4y4RdZlhwWgS_b7D3JAtc5S13uUjecB_v4X4IVaDm5QH-BkD5wN2KBWH4D7rSFdLsLmWYOgJjj8r8SRAyOmAZUKXvu0px-NMZI5aDfK5I6TS1TIsd25VDnFAgl0c8Vy30LAzGQDGcaI0y2sqC8Ojjfu1hHuYAi8M36oNVHLzQGte0vk7RBs&refId=vHpbTNkuQlppKDDr47fRug%3D%3D&trackingId=hwoCHTec2NhapcwezkzqNQ%3D%3D&trk=flagship3_search_srp_jobs,Software,Indonesia,"['r', 'python', 'sql', 'tableau']",4,2026-05-05T01:15:51.152761
4409879151,Asset Management Intern,AlloFresh,"Jakarta, Indonesia (On-site)","About the job

Key Responsibilities:

Assist in maintaining and updating the asset registry/database
Support asset tagging, labeling, and documentation processes
Help track asset movement (allocation, transfer, return, disposal) across departments or stores
Conduct periodic asset stock checks and reconcile discrepancies between physical and system records
Assist in preparing asset reports, including utilization and condition status
Coordinate with internal teams (e.g., IT, Operations, Procurement) for asset requests and handovers
Support administrative tasks related to asset procurement and disposal processes
Ensure proper documentation and filing of asset-related records

Requirements:

Final-year student or fresh graduate in related fields, with prior internship or exposure to inventory/asset management is a plus
Strong attention to detail and good organizational skills
Proficient working with spreadsheets (e.g., Excel / Google Sheets)
Good communication and coordination skills
Familiarity with asset management systems or ERP tools
Willing to work in a dynamic, operational environment
Comfortable with on-site visits to store areas at least twice a week",https://www.linkedin.com/jobs/view/4409879151/?eBP=BUDGET_EXHAUSTED_JOB&refId=vHpbTNkuQlppKDDr47fRug%3D%3D&trackingId=AL4Vb3nEsx3PgEAlodrX7w%3D%3D&trk=flagship3_search_srp_jobs,Software,Indonesia,['r'],1,2026-05-05T01:15:55.830085
