id,title,company,location,job_description,job_url,search_role,search_location,extracted_skills,skills_count,scraped_at
4404735696,Data Entry,LIUGONG FINANCE INDONESIA,"North Jakarta, Jakarta, Indonesia (On-site)","About the job

Job Requirements

Bachelor's degree in Statistics / Mathematics / Engineering / Business Administration from reputable university
Undergraduate students (preferably final-year student) from reputable university with min. GPA 3.00/4.00 are welcome
Proficiency in Microsoft Excel and Microsoft Word
Attention to detail and organizational ability
Good time management, detail-oriented, and willing to learn
Interest in the financial services / heavy equipment financing industry
Proficient in English (written and verbal)
Willing to work on-site in North Jakarta




Job Description

Assist business process by entering data into databases and spreadsheets 
Verifying and correcting data for accuracy, validity and completeness
Assisting with generating reports or summaries
Collaborating with other teams to ensure data consistency",https://www.linkedin.com/jobs/view/4404735696/?eBP=BUDGET_EXHAUSTED_JOB&refId=WvAUdTPuqz36xZz23EsdQg%3D%3D&trackingId=xRzqqxQ9dEe%2F7xzZXU37rA%3D%3D&trk=flagship3_search_srp_jobs,Software Engineer,Indonesia,['r'],1,2026-04-29T22:43:12.549051
4404255407,"Internship, Retail Deposit Business",SeaBank Indonesia,"Jakarta, Indonesia (On-site)","About the job

Job Description:

Support retail deposit business initiatives and related projects from propositioning to launching
Support necessary research for project/business needs such as data analysis, market research, business development strategy and/or other administrative needs
Communicate and coordinate with multiple stakeholders related to retail deposit projects
Responsive follow-up for administrative needs related to retail deposit products




Requirements:

Fresh graduates or final year students with no offline classes or candidates with 0-1 year of experience are welcomed to apply
Able to work meticulously & detail-oriented
Good interpersonal skills and ability to communicate effectively
Have critical thinking and the ability to analyze data and provide a conclusion
Willing to do daily WFO at Jakarta office and expecting to start by May 2026",https://www.linkedin.com/jobs/view/4404255407/?eBP=CwEAAAGd2ehcUf1kVuBzSI_hoZtFxIImM2vFMR5KGrstkgUVRnH1YYLuYiyQJiOIX2IkrRt13fOOACm_u0BdlrV2HeyM-epYOQdIGtjA1N8OGFc5hNHXEsFcdMAJla50Wj55ksv54S-chg1dzNEG51mbp8rGDLElF1m4Dn3pxLuDSe2sebEk4X7RovHUd4hDtv4XMcxSNqdpVrFDlpmwmDCDS6JVXzIa7H80Tcy0XldwQAqfQs-ZYyPcGvngwMJkmC62EDq1SwmBeHetfx_jmASrpn_yKwMsTc7KkY9ymvSazpZeo_26o1ddlGMZEVE8z43sI1rh_rEmqBdhO5qWiY1wG9mF8_CU4z5G3SJc6gRfcbAOiEfWBQ5TVgFsWZs41bppwyh4wz9Zt8nsKfg8tdomNaW0JY0JV1ytNdALv1A12U1Ujw-eyNovyekS8lR-_QANrVCYHsAp2mdokWx_OzKJMhEjCT2d2OKsPNAgrodS7F7ESaDAHDuTeJJahfZV-Ax6KYCk&refId=WvAUdTPuqz36xZz23EsdQg%3D%3D&trackingId=IvuvswZjh5BT96fji1dksw%3D%3D&trk=flagship3_search_srp_jobs,Software Engineer,Indonesia,['r'],1,2026-04-29T22:43:17.228751
4406952638,Data Analytics,AIA Indonesia,"Jakarta, Indonesia (On-site)","About the job

Roles and Responsibilities:

Collect and analyze complex datasets from various internal and external sources to generate actionable insights. 
Develop and maintain reports, dashboards, and visualizations to communicate trends and findings to stakeholders.
Collaborate with senior leadership to define business goals, providing data-driven recommendations to support strategic decision-making.
Monitor key performance indicators (KPIs), identifying areas for improvement or adjustment.
Conduct Operations research and analyze customer behavior to for Operations business strategy.
Ensure the quality, accuracy, and security of data while adhering to data governance policies.




Job Requirements:

Bachelor’s degree in Data Science, Statistics, Business, or a related field.
Minimum 3 years of experience in data analysis, business intelligence, or strategic planning. 
Proficiency in data analytics tools (SQL, Power BI, Phyton, Tableau, Excel).
Proven knowledge & delivery working with structured & unstructured data with a diverse set of data technologies: Databricks, Azure Data Factory & etc.
Strong analytical and problem-solving skills with the ability to interpret and present complex data.
Excellent communication skills, with the ability to translate data findings into clear, actionable recommendations for non-technical stakeholders.
Experience in supporting strategic business decisions through data insights.",https://www.linkedin.com/jobs/view/4406952638/?eBP=BUDGET_EXHAUSTED_JOB&refId=WvAUdTPuqz36xZz23EsdQg%3D%3D&trackingId=meiEAHOCzvLPoHMG2%2B7z3w%3D%3D&trk=flagship3_search_srp_jobs,Software Engineer,Indonesia,"['azure', 'r', 'tableau', 'power bi', 'sql']",5,2026-04-29T22:43:21.893083
4404760217,Data Support Project Intern,PT Lion Super Indo,"Jakarta, Indonesia (On-site)","About the job

We are looking for a motivated intern to join our Data Analysis team, turning data into clear insights that drive smarter, faster decisions.

As a Data Support Project Intern, you will help shape our Indirect Procurement system transformation, working on real projects in process optimization and performance analysis. You will collaborate across teams, gain hands-on experience, and build skills that actually matter in the retail industry.




Job Description

Data Handling & Reporting : Collect, clean, and organize data so it is accurate and ready to use. Turn it into simple, clear reports with insights people actually understand.
Ad-hoc Analysis : Jump into quick analysis requests and turn raw data into useful insights that support real decisions.
Data Visualization : Build and maintain dashboards that make data easy to read, track, and act on.
Collaboration : Work with different teams to understand what they need and help them make better, data-driven decisions.
Documentation : Keep things organized - document data sources, methods, and insights so everything stays clear.




Requirements

Currently pursuing a degree in Data Science, Statistics, Business Analytics, Economics or related field. Preferably Final Year student with no class to attend.
Proficiency in both English and Bahasa Indonesia
Proficiency in data analysis tools such as Excel.
Experience with data visualization software like Tableau or Power BI is a plus.
Understanding of data interpretation and analytics.
Strong quantitative and analytical skills with the ability to analyze complex datasets and draw actionable insights.
Experience in conducting ad-hoc analyses and ability to synthesize findings into clear, consice reports.
Good interpersonal and written communication skills to effectively present findings and collaborate with cross-functional teams.
Ability to work both independently and collaboratively within a team environment, showing flexibility and willingness to assist others.",https://www.linkedin.com/jobs/view/4404760217/?eBP=BUDGET_EXHAUSTED_JOB&refId=WvAUdTPuqz36xZz23EsdQg%3D%3D&trackingId=igt%2BKaeJhgB0P8LkG7jGOQ%3D%3D&trk=flagship3_search_srp_jobs,Software Engineer,Indonesia,"['r', 'tableau', 'power bi']",3,2026-04-29T22:43:26.576982
4404826005,Staff Portfolio and Management Information Analyst,HSBC,Jakarta Metropolitan Area (On-site),"About the job

Some Careers Shine Brighter Than Others.

If you’re looking for a role that will help you stand out at HSBC, take a look at how you can fulfil your potential.

International Wealth and Premier Banking (IWPB) helps deliver on HSBC’s purpose of opening up a world of opportunity by providing our customers with borderless banking and world-class wealth management through best-in-class, mobile-first capabilities, and exceptional people. Our international network and breadth of expertise enable us to support individuals, families, business owners, investors, and entrepreneurs. International Wealth and Premier Banking provides a leading premium proposition through Premier Banking and, together with our Private Bank, are present across the world’s most important markets, booking centres, and corridors most valued by our clients. Our wealth offering is further enhanced through our best-in-class manufacturing capabilities in Asset Management and Insurance.

We are currently seeking an experienced professional to join this team in the role of Staff Portfolio and Management Information Analyst.

Responsibilities


This position handles daily EBS, Card, Portfolio and Loan process simplification on sales / product team.
Prepare daily/regular reporting for both internal and external departments.
Analize business performance and preparing forecast sales plan


To be successful in this role, you should meet the following requirements:


Excellent in Microsoft office especially in excel, macro, programming (phyton and SQL)
Could work with short time due, team player, have good communication skills
Have good analytical thinking, fast learner, persistent and strong initiative


You’ll achieve more at HSBC

HSBC is committed to building a culture where all employees are valued, respected and every opinion counts. We take pride in providing a workplace that fosters professional development, flexible working, and opportunities to grow within an inclusive and diverse environment. We want everyone to achieve their potential with equality regardless of gender, ethnicity, disability, religion, age, or any other trait protected by applicable law. If you need any support or have any access requirements, we encourage you to inform us through email at recruitment.hrd@hsbc.co.id at the time of your application, so that we can support you through your recruitment journey.",https://www.linkedin.com/jobs/view/4404826005/?eBP=BUDGET_EXHAUSTED_JOB&refId=WvAUdTPuqz36xZz23EsdQg%3D%3D&trackingId=zudgB%2FhoheGrbv9O%2BXHLmQ%3D%3D&trk=flagship3_search_srp_jobs,Software Engineer,Indonesia,"['r', 'sql']",2,2026-04-29T22:43:31.241140
4403384138,Business Intelligence Intern,tiket.com,"Jakarta, Jakarta, Indonesia (Hybrid)","About the job

We think you also hate when travel app is giving you a headache, right? A slight misinformation can ruin the trip.

That is exactly what we are tackling as t-fam! Making sure that our 50+ million users have the best experience in crafting their own adventure.

Your Main Duties In Flying With Us


To help on the task delivery of Business Intelligence (report and analysis) and understand the table relations in the Data Warehouse.
Contribute on task delivery such as performing descriptive analysis, and enhancing dashboard/query for data warehouse
Get deeper understanding of ideal Business Intelligence Architecture in the OTA industry


Mandatory Belongings That You Must Prepare


At least undergraduate student on their last semester
Willing to do internship for at least 6 months and starting soon
Have experience as a Business Intelligence/ Data Analyst Intern is good to have
Familiar with SQL and Data Warehousing
Familiar with reporting tools (e.g Tableau, PowerBI, etc)
Familiar with Python is a value-added
Willing to join hybrid working arrangement, at least two days working in office


In the event that you haven’t received any updates after 3 weeks, your data will be kept and we may contact you for another career destination. Meanwhile, discover more about tiket.com on Instagram, LinkedIn, or YouTube.",https://www.linkedin.com/jobs/view/4403384138/?eBP=BUDGET_EXHAUSTED_JOB&refId=WvAUdTPuqz36xZz23EsdQg%3D%3D&trackingId=5JnK1ukiVOnv%2BodfuD0zQQ%3D%3D&trk=flagship3_search_srp_jobs,Software Engineer,Indonesia,"['r', 'tableau', 'sql', 'python']",4,2026-04-29T22:43:35.906089
2147623717,Product Developer Intern,DANA Indonesia,"Jakarta, Indonesia (On-site)","About the job

About Business Automation

At Business Automation, we believe that meaningful progress begins when people are empowered to do their best work. Our purpose is to transform complex, time-consuming processes into seamless, intelligent systems that enable teams to operate with greater clarity, speed, and confidence. By reducing manual effort, we create room for ideas to grow, innovation to thrive, and people to truly excel in what they do best.




We don’t aim for simple process improvement—we strive to reshape the way the organization works. Through smart automation, data-driven insights, and thoughtful design, we unlock new levels of efficiency and capability. Whether it’s accelerating decision-making, simplifying workflows, or enabling smarter business operations, our focus is on delivering solutions that create real, measurable impact.




To us, automation is more than just technology—it is about collaboration, curiosity, and continuous growth. We are driven by the joy of solving real problems, exploring new possibilities, and creating solutions that truly make a difference. Ultimately, we take pride in empowering teams across the organization to work smarter, achieve more with less friction, and experience greater satisfaction in what they do every day.




About the role

As a Product Intern, you will be part of the Business Automation Team. Your main role is to bring value by ensuring alignment between business objectives / user needs.

If you are someone who is eager to make an impact, solving complex problems, and coming up with creative solutions, then this role is for you.




You'll be working on:

Product Strategy & Vision: Collaborate with cross-functional teams to define the product strategy, vision, and roadmap for Automation Team product.
Data-Driven Decision Making: Analyse data to inform product decisions, track performance metrics, and ensure product features are aligned with user needs and business goals.
Prioritization: Prioritize feature development to ensure what is being delivered brings the most business value.
Stakeholder Management: Participate in meetings with stakeholders, ensuring alignment between stakeholders and Automation Team.
Product Delivery: Support the product development life-cycle of Automation Team’s product, from ideation to launch.

Qualifications:

Pursuing an S1/Bachelor’s degree in STEM or Technical / Engineering background (e.g. Computer Science, Data Science, Information System, Engineering, etc).
Currently in the 3rd or 4th year of study.
Able to commit to a 6-month internship with placement in Jakarta.
Must have strong knowledge and hands-on experience in SQL.
Strong analytical skills and great understanding of the user's behavior.
Self-motivated and able to thrive in a fast-paced and dynamic environment.
Excellent communication skills in English both verbal and written.
Preferred: knowledge and skills in Data Science / GenAI / Automation tools.",https://www.linkedin.com/jobs/view/2147623717/?eBP=BUDGET_EXHAUSTED_JOB&refId=WvAUdTPuqz36xZz23EsdQg%3D%3D&trackingId=NmCfsmvNOPHb7cIav9clhg%3D%3D&trk=flagship3_search_srp_jobs,Software Engineer,Indonesia,"['r', 'ios', 'sql']",3,2026-04-29T22:43:40.570349
4405928961,Shell Graduate Programme 2026 - Indonesia,Shell,Jakarta Metropolitan Area (On-site),"About the job

Shell Graduate Programme 2026 – Indonesia

What’s The Role

Join us as a Graduate at Shell Indonesia where you will embark on a comprehensive 3-year programme designed to develop future leaders.

The roles will be based in Jakarta. Start date for the Graduate Programme is August 2026.

The Shell Graduate Programme equips you with the essential tools to enhance your leadership skills and achieve your full potential through a combination of on-the-job training, formal education, job rotations, and personalized coaching.

What You’ll Be Doing

You will showcase your capacity to analyse situations and propose purposeful solutions that align with the company’s strategic goals - adaptability to changing environments, learner mindset, drive to deliver results - and collaborate and nurture relationships as you work effectively with a diverse team.

You will work with experienced colleagues and will share your unique perspective and fresh ideas on how to tackle energy-related challenges. Our inclusive and collaborative culture will provide you with the support you need to grow your skills as you work on meaningful projects with exciting responsibilities right from the start.

Read more about our strategy here: Our strategy | Shell Global

What You Bring

We are looking for a candidate who thrives on new challenges and embraces innovation. You should be confident in your ability to absorb information, analyze problems, make objective decisions, and generate original ideas. The ideal candidate will possess the drive and resilience to achieve goals, the flexibility to collaborate effectively within a team, and the credibility to influence others. Being open to alternative perspectives and views is essential, using them to refine ideas and outcomes.

Eligibility

To be eligible for the Shell Graduate Programme:


You must be in your final year of study or have graduated from a recognised university with less than 3 years' professional experience from one of the following programs: Engineering, Management/Business Administration/Commerce, Economics, Supply Chain.
There are no specific academic requirements for grades at A level or GCSE equivalents, however, we do expect candidates to have an excellent academic record.
Fluent in English communication including writing, speaking, and reading.
Possesses strong interpersonal skills and leadership presence.
You must be lawfully authorized to work in Indonesia and available to start in August 2026.


What We Offer

You bring your skills and experience to Shell, and in return, you get to work with talented, committed people on one of the most important challenges facing our planet. You’ll have the opportunity to develop the skills you need to grow in an environment where we value honesty, integrity, and respect for one another. You’ll be able to balance your priorities as you become the best version of yourself.


Competitive Compensation: Perform at your best with a competitive starting salary and annual performance-related salary increases.
Financial and Health Benefits: Enjoy benefits designed to provide a foundation for your financial future. Take part in health care plans that meet the needs of you and your family.
Work-Life Balance: Maximise paid time off and other options that allow you to achieve a fulfilling work-life balance.
Career Growth: Progress through diverse career opportunities in national and international teams.
Professional Development: Gain access to a wide range of training and development programs.
Supportive Environment: Receive the support you need through mental health programs, comprehensive counseling, and community groups.
Inclusive Culture: Join an organization striving to become one of the most diverse and inclusive in the world. We strongly encourage applicants of all genders, ages, ethnicities, cultures, abilities, sexual orientations, and life experiences to apply. Get to know more about how we're working towards our DE&I goal here.


Learn more about Shell careers on our website: https://www.shell.com/graduates

If you require any accommodations or accessibility adjustments (e.g. assistive technology, communication support, etc.) during the application or interview process, please let us know directly via careers@shell.com . We strive to ensure that our process and workplace is accessible to everyone and are dedicated to making reasonable adjustments to support your needs.

DISCLAIMER

Please note: We occasionally amend or withdraw Shell jobs and reserve the right to do so at any time, including prior to the advertised closing date. Before applying, you are advised to read our data protection policy. This policy describes the processing that may be associated with your personal data and informs you that your personal data may be transferred to Shell Group companies around the world. The Shell Group and its approved recruitment consultants will never ask you for a fee to process or consider your application for a career with Shell. Anyone who demands such a fee is not an authorised Shell representative and you are strongly advised to refuse any such demand. Shell is an Equal Opportunity Employer.",https://www.linkedin.com/jobs/view/4405928961/?eBP=BUDGET_EXHAUSTED_JOB&refId=WvAUdTPuqz36xZz23EsdQg%3D%3D&trackingId=Wqq%2FSHmSMhiEoPvVfAyNBw%3D%3D&trk=flagship3_search_srp_jobs,Software Engineer,Indonesia,['r'],1,2026-04-29T22:43:45.257983
4394458104,Banking Services Associate Program,Permata Bank,"Jakarta, Indonesia (On-site)","About the job

Program Description : 

The Banking Services Associate Program is a 12-month accelerated development program designed for young talents who aspire to build a strong foundation for career in banking. The program offers a comprehensive learning experience through a combination of classroom training, on-the-job learning, and mentorship from subject matter experts.




Participants will develop essential frontline banking capabilities, including transaction accuracy, customer experience excellence, digital banking advocacy, and strong customer engagement. The program also emphasizes the development of personal and professional skills that are critical for a successful banking career.




Requirements :

• Fresh graduates or candidates with a maximum of 2 years of work experience.

• Bachelor's degree with a minimum GPA of 2.75 (on a 4.00 scale).

• Strong interpersonal and communication skills

• Passion for the service industry.

• High attention to detail.

• Positive attitude and professional appearance.

• Strong interest in building a career in Banking Services and Sales.

• Active involvement in organizations is an advantage.

• Willingness to be placed nationwide across Indonesia.",https://www.linkedin.com/jobs/view/4394458104/?eBP=BUDGET_EXHAUSTED_JOB&refId=WvAUdTPuqz36xZz23EsdQg%3D%3D&trackingId=5WOOcRXu%2BDnX4krRKI2YrQ%3D%3D&trk=flagship3_search_srp_jobs,Software Engineer,Indonesia,"['r', 'git']",2,2026-04-29T22:43:49.925967
4406299408,Business Performance & Productivity Management,OCBC Indonesia,"Jakarta, Indonesia (On-site)","About the job

We manage and responsible relating to Network Business. As a part data center of Network Group, will need to coordinate and communicate with business and segment. Also manage analytic, design and implementation of Network Group Strategy.




Candidate must able to:

Calculate performance KPI & Incentive for Business Team
Calculate and managing Individual & Branch Performance
Understanding Network Group process
Maintain database and develop report / dashboard
Coordinate w/ others Network Business, HQ and Branches




Requirements: 

Bachelor deegre in Information System or Information Technology
Able to work and collaborate with team and others
Experience in similliar role for minimum 3 years
Experience in scripting (SQL / Phyton / Dbeaver)
Experience in analytic and presentation",https://www.linkedin.com/jobs/view/4406299408/?eBP=BUDGET_EXHAUSTED_JOB&refId=WvAUdTPuqz36xZz23EsdQg%3D%3D&trackingId=cl33g1puesPkTL3A4qX9Qw%3D%3D&trk=flagship3_search_srp_jobs,Software Engineer,Indonesia,"['r', 'sql']",2,2026-04-29T22:43:54.591991
