id;title;company;location;job_description;job_url;search_role;search_location;extracted_skills;skills_count
;Data Scientist (AI / LLM Applications);Kredivo Group;Area DKI Jakarta;"As a Data Scientist, you will be part of a team building intelligent systems powered by modern AI and Large Language Models (LLMs). You will work closely with engineers, product teams, and business stakeholders to turn ideas into practical AI applications that improve internal tools and business processes.

Our ideal candidate is hands-on, curious, and comfortable moving quickly from experimentation to production.

About The Job


Build and prototype AI applications using Large Language Models (LLMs) and AI agents.
Design and deploy end-to-end AI pipelines, from data preparation to production systems.
Build AI applications and agents that automate internal workflows across operations, HR, and internal tools.
Experiment with prompting strategies, RAG systems, agentic frameworks, and modern AI tooling.
Collaborate with cross-functional teams to translate business problems into AI solutions.


About You


Minimum 2 years of relevant experience in data science, machine learning, or AI development.
Proficiency in Python.
Experience building AI or machine learning applications and deploying them to production environments.
Familiarity with Large Language Models (LLMs) and modern AI application patterns.


Preferred Qualifications


Experience building LLM-powered applications such as chatbots, AI assistants, or agent-based systems.
Familiarity with RAG, vector databases, and LLM orchestration frameworks such as LangChain, Google ADK, or OpenAI Agents, and other similar tools.
Experience building and deploying AI applications using tools such as FastAPI, Streamlit, or similar frameworks.";https://id.linkedin.com/jobs/view/data-scientist-ai-llm-applications-at-kredivo-group-4400721729?position=1&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=UGpMOQQjk%2FESydwcDpjHVg%3D%3D;Data Scientist;Indonesia;['python', 'fastapi'];2
;Data Scientist;Krom;Jakarta Raya, Indonesia;"About The Role:

At Krom Bank Indonesia, we are building the future of digital banking through Machine Learning and AI, including Large Language Models (LLMs) and AI agents. We are looking for a Data Scientist who will work closely with Analysts, Machine Learning Engineers, Product teams, and business stakeholders to build practical AI solutions that improve customer experience, internal operations, and business decision-making.




You will take ownership from problem discovery, experimentation, and model development to deployment and continuous improvement in production. Our ideal candidate is hands-on, result-focused, and strong in both quantitative thinking and business understanding.

⸻

Job Purpose:

Design, develop, and deploy machine learning models and AI-powered applications across functions such as credit scoring, fraud detection, risk management, customer intelligence, and operational automation.

⸻

Key Responsibilities:

Build and deploy machine learning models and AI-powered applications
Develop predictive models for credit scoring, fraud detection, recommendation systems, and customer segmentation
Build AI applications using LLMs, RAG, and AI agents for internal and customer-facing use cases
Design end-to-end AI pipelines from data preparation to production deployment
Research and improve models using modern ML techniques and AI tooling
Collaborate with Product, Engineering, Risk, Operations, and Business teams to solve business problems
Monitor and improve model performance, reliability, and explainability
Contribute to Data Science and AI best practices across the team







About You:

Formal Education:

Minimum Bachelor's Degree (S1) in Computer Science, Mathematics, Statistics, Engineering, Artificial Intelligence, or other related quantitative fields.

⸻

Professional Qualification

Strong understanding of machine learning modeling and predictive analytics
Proficiency in Python or R
Good knowledge of MySQL/PostgreSQL and data platforms such as S3
Experience building and deploying ML or AI applications
Familiarity with LLMs and modern AI application patterns
Strong analytical thinking and problem-solving skills
Good communication and collaboration skills
Strong ownership mindset and ability to work in a fast-paced environment

⸻

Relevant Work Experience

Minimum 1 year of relevant experience in Data Science, Machine Learning, or AI development
Hands-on experience building and deploying machine learning models or AI applications

Preferred Qualifications

Experience building LLM-powered applications such as chatbots, AI assistants, or AI agents
Familiarity with RAG, vector databases, and frameworks such as LangChain, Google ADK, or OpenAI Agents
Experience using FastAPI, Streamlit, or similar frameworks
Experience in Deep Learning and/or NLP models
Experience in fintech, digital banking, lending, or high-scale consumer platforms

Bonus Points

Experience with credit risk modeling, fraud detection, or alternate data evaluation in financial services";https://id.linkedin.com/jobs/view/data-scientist-at-krom-4419157887?position=2&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=hlTAbpDoqdqIFssQxrudpA%3D%3D;Data Scientist;Indonesia;['python', 'postgresql', 'git', 'sql', 'fastapi', 'mysql'];6
;Retail Banking Data Scientist;PT Bank SMBC Indonesia Tbk;Jakarta Raya, Indonesia;"Grow and Make an Impact with Bank SMBC Indonesia




Formerly known as Bank BTPN, we are now proud to be PT Bank SMBC Indonesia Tbk, part of Sumitomo Mitsui Banking Corporation, one of the world’s leading global financial groups.

This transformation marks a renewed commitment to delivering world-class banking services, grounded in innovation, collaboration, and sustainability.




At Bank SMBC Indonesia, we believe a career is more than just a job, it is a journey of personal growth, meaningful connections, and lasting impact. Join us and be part of a digital and social transformation that touches millions of lives.




Job Qualifications:

Minimum Bachelor’s Degree (S1) in Mathematics, Statistics, Computer Science, Data Science, Machine Learning, or a related quantitative field.
Proficiency in programming languages and data tools, including but not limited to SQL, Python, R, Hadoop, SPSS, or SAS.
Strong data analysis, data verification, and structured problem-solving abilities.
Advanced proficiency in the Microsoft Office Suite (Excel, PowerPoint, Word).
Deep technical knowledge of data mining, statistical analysis, and machine learning techniques.
Strong financial acumen coupled with the ability to translate complex statistical insights into business strategies.
Excellent written, oral, and presentation skills, with a proven ability to listen effectively and communicate complex ideas to non-technical stakeholders.
Proven track record of working effectively in team-oriented, cross-functional environments.




Roles & Responsibilities:

Design, build, and maintain predictive and scoring models that drive volume growth, optimize risk, and increase productivity—directly impacting revenue and cost efficiency.
Create and implement predictive modeling and trend analysis tools that seamlessly integrate into existing systems, anticipating business needs and providing real-time solutions.Solve business issues using optimum machine learning techniques.
Resolve complex business challenges by applying optimum machine learning techniques.
Partner closely with business users and cross-functional teams to identify key needs, deliver robust model solutions, and formulate data-driven strategies.
Provide deep-dive analysis related to lending portfolio underwriting, strategy implementation, validation, and scorecard modeling.
Oversee data gathering, cleansing, transformation, and model enhancement (including integrating new data sources) to optimize predictive capabilities and elevate analytics performance.




At Bank SMBC Indonesia, your career is more than a job, it’s a journey of impact and growth. Our Employee Value Proposition (EVP) reflects the values we live by:




Impactfulness: Through collaboration, we strive to improve the lives of millions.




Self-Growth: We encourage you to be the best version of yourself, every single day.




Relationship: We’re more than just colleagues, we are a family.




Network: We build connections beyond banking, beyond borders.




Digitally Powered: We harness technology to reshape the future of banking.




Be part of something greater. Grow with us, lead with purpose, and create a lasting impact!";https://id.linkedin.com/jobs/view/retail-banking-data-scientist-at-pt-bank-smbc-indonesia-tbk-4418237431?position=3&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=iys1c1c6%2FI71E6EuLKvScQ%3D%3D;Data Scientist;Indonesia;['python', 'git', 'hadoop', 'sql'];4
;Sr Officer-Data Science AI/ML;PT. Indosat Tbk;Jakarta Raya, Indonesia;"Responsibilities


Translate business needs into technical requirements and define model objectives, input data, and success metrics.
Design, develop, and deploy end-to-end machine learning models (Supervised, Unsupervised, and Reinforcement Learning) to solve complex telco challenges
Apply AI/ML techniques to improve network performance and customer experience
Build and maintain scalable data pipelines and feature stores using cloud platforms to ensure seamless model training and inference at scale.
Partner with Network, Technology, and Commercial teams to translate business requirements into technical AI roadmaps and provide actionable insights that drive excellent experience, revenue or cost efficiency.
Design and execute rigorous experimentation frameworks to validate model performance and business impact, ensuring high accuracy and model stability over time.


Requirements

Technical Skills:


Bachelor’s or Master’s degree in Computer Science, Information Technology, Statistics or related field.
Minimum of 3–6 years of professional experience in Data Science or Machine Learning, particularly in projects involving AI and machine learning with a proven track record of designing and implementing data pipelines and architecture including data ingestion, processing and delivery.
Expert-level programming in Python
Hands-on experience designing multi-agent systems and orchestration frameworks (e.g., Google ADK, LangChain, AutoGen, or CrewAI)
Hands-on experience with ML frameworks such as XGBoost, Scikit-learn, TensorFlow, or PyTorch
Strong command of SQL and experience with big data technologies (e.g., BigQuery, Spark)
Familiarity with Telco-specific data structures, network KQIs and subscriber behavioral patterns
Familiarity with cloud platforms like Google Cloud Platform (GCP) and their associated data services
Familiarity with MLOps lifecycle (CI/CD for ML).
Familiarity with ETL tools like Apache Airflow or Talend
Professional certifications such as Google Professional Machine Learning Engineer or similar are highly regarded.


Soft Skills


Strong analytical and problem-solving abilities.
Excellent communication and teamwork skills to collaborate effectively with various teams.
Ability to explain complex technical concepts to non-technical stakeholders and a proactive, problem-solving mindset.
Ability to work independently in a dynamic environment.";https://id.linkedin.com/jobs/view/sr-officer-data-science-ai-ml-at-pt-indosat-tbk-4412440989?position=4&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=VWTa1Qdvw1qBpY8q6oiuhw%3D%3D;Data Scientist;Indonesia;['scikit-learn', 'python', 'scala', 'tensorflow', 'pytorch', 'gcp', 'sql', 'airflow', 'spark'];9
;Senior Risk Data Scientist;DANA Indonesia;Jakarta Raya, Indonesia;"About Risk

The Risk Department safeguards the business by identifying, assessing, and mitigating potential risks across operations and business processes. The team works to ensure a secure, reliable, and trusted experience by strengthening risk management and control mechanisms.




By working closely with cross-functional teams and leveraging data-driven insights, the department proactively manages risk exposure while supporting business growth. With a strong focus on accuracy, prevention, and continuous improvement, the Risk Department plays a critical role in protecting both customers and the company.




About the role

As a Risk Data Scientist, you will drive end-to-end risk data capabilities by processing and managing large-scale datasets, developing fraud/risk models, and enabling automated, real-time risk decisioning to improve accuracy, efficiency, and scalability of DANA’s risk systems.




You'll be working on:

Develop and deploy fraud detection and risk scoring models (supervised and unsupervised) to improve decision accuracy and reduce false positives/negatives
Design, build, and maintain scalable data pipelines (ETL/ELT) to support risk analytics and real-time decision systems
Analyze large datasets to identify fraud patterns, anomalies, and emerging risk trends, translating insights into actionable strategies
Collaborate with Risk, Product, and Engineering teams to integrate models into production systems and decision engines
Optimize risk decision frameworks through continuous model monitoring, validation, and performance tuning
Implement data automation solutions to improve efficiency in risk analysis, reporting, and model deployment workflows
Contribute to risk architecture design, ensuring robustness, scalability, and alignment with evolving business and regulatory needs




Qualifications:

Strong proficiency in SQL and Python for data manipulation, analysis, and model development
Hands-on experience in supervised and unsupervised machine learning techniques for fraud/risk use cases
Solid understanding of data architecture concepts, including ETL/ELT pipelines and large-scale data processing
Experience in building or supporting risk/fraud models within fintech, banking, or high-transaction environments
Strong problem-solving skills with the ability to translate complex data into practical risk decision strategies";https://id.linkedin.com/jobs/view/senior-risk-data-scientist-at-dana-indonesia-4420550558?position=5&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=EpMMcQ5iCMGvMEhVfX0l0A%3D%3D;Data Scientist;Indonesia;['rust', 'python', 'scala', 'sql'];4
;AVP-Data Scientist Business Solution;PT. Indosat Tbk;Jakarta Raya, Indonesia;"Role Purpose

This position is responsible to transform our vast telecommunications datasets into high-value commercial assets. This role is unique: you will lead the end-to-end development of proprietary data products (Monetization) while simultaneously building a world-class professional services arm to help external clients solve complex problems through predictive modelling (Consulting). The ideal candidate bridges the gap between deep technical AI/ML expertise and commercial strategy, turning ""big data"" into ""big revenue""

Area Of Responsibilities

Data Monetization & Product


Strategy
Productize Telco Data: Identify, design, and launch data products (e.g., mobility insights, churn prediction, foot-traffic analytics) using anonymized subscriber data
Privacy-First Innovation: Ensure all products adhere to strict data privacy regulations through robust anonymization and differential privacy techniques
Tech Stack Ownership: Oversee the architecture for high-scale data processing and model deployment


Consulting & Client Services


External Advisory: Act as a lead consultant for external B2B clients, helping them identify high-impact AI use cases and roadmap their data journeys
Custom Model Development: Lead a team to build, validate, and deploy bespoke predictive models for external partners across various industries
Pre-sales Support: Partner with the sales team to provide technical validation during the pitching process for consulting engagements.


Leadership & Talent Growth


Team Building: Recruit and mentor a team of data scientists
Standardization: Establish Gold Standards for code quality, model reproducibility, and documentation across


Requirements


8+ years of experience in data science with 2+ years of experience in managing a team
Ownership mindset; customer insights are the foundation of the squad
Data-driven; pushes others to maintain an impact lens
Effective collaboration to drive further analysis and insights.


Related Experience


Proven track record in telecommunications or data monetization
Prior experience in a client-facing consulting role.


Skills


Deep knowledge of Python, GCP, end-to-end machine learning frameworks including MLOps.
Able to communicate technical results and insights to non-technical stakeholders clearly and concisely.
Excellent problem-solving skills and ability to work independently and as part of a cross-functional team.";https://id.linkedin.com/jobs/view/avp-data-scientist-business-solution-at-pt-indosat-tbk-4400917736?position=6&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=dGTlEVKzb8tmz%2B5b4I3%2Bbw%3D%3D;Data Scientist;Indonesia;['python', 'gcp'];2
;Senior Data Scientist (Analytics) - GFin;Grab;Area DKI Jakarta;"Company Description

About Grab and Our Workplace

Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility.

Job Description

Get to Know the Team

The GFin Analytics team serves as the intelligence engine driving data-informed decisions across our payments and financial services products. As part of the Payments Tech Family, we're instrumental in accelerating cashless payments across all Grab verticals.

We're looking for analytically rigorous data analysts who have embraced AI as a force multiplier. If you excel at experimentation and behavioral analysis while leveraging LLMs to work smarter, and if you think in terms of scalable solutions rather than one-off analyses, we want to talk to you.

Get to Know the Role

We're looking for a Senior Data Scientist (Analytics) to lead critical analytical projects for the GFin Analytics team at Grab. Our mission centers on understanding user experiences at a granular level and collaborating with Business, Product, Design, and Engineering to deliver the right outcomes and features. You will directly report to the manager. You will be based onsite.

The Critical Tasks You Will Perform


Design, measure, and recommend A/B tests and multivariate experiments across the platform. These experiments evaluate layout optimization, UI/UX efficacy, contextualization, algorithm performance, and API effectiveness. Additionally, use LLMs to accelerate experiment design, automate statistical analysis, and create insight narratives.
Extract insights from clickstream and transactional data to understand user behavior across consumers, driver partners, and merchants, translating patterns into relevant product metrics, using AI coding assistants to write and improve complex SQL queries.
Create segmented customer and merchant views that allow business and product team to drive meaningful product iterations, building AI assisted segmentation frameworks that automatically identify emerging patterns and anomalies.
Transform ambiguous business challenges into structured analytical frameworks and conduct deep dive analyses that yield clear insights, using LLMs to rapidly prototype analytical approaches and synthesize findings into compelling narratives.
Balance analytical rigor with technical complexity and explainability while considering real world business constraints, leveraging AI to generate multiple solution approaches and evaluate trade offs efficiently.
Collaborate with stakeholders to define key metrics, align on measurement strategies, and design robust experimentation approaches, using AI to draft documentation, create presentations, and automate routine reporting.
Develop data-driven solutions, including reports, dashboards, models, and frameworks, that directly support stakeholder decision making. These solutions involve building AI-powered self-serve analytics tools that scale automatically and systematically.


Qualifications

What Essential Skills You Will Need


4 years of experience in Analytics, Business Intelligence, or Data Science, in a Tech (FinTech or E-Commerce) company.
A minomum of Bachelor's Degree in Statistics, Analytics, Economics, Mathematics, Engineering, or related fields.
Experience in SQL (Presto, Hive) and visualization tools with solid Python or R programming skills, demonstrating daily use of AI and LLMs to create code faster than traditional methods.
Experience using AI tools to increase personal productivity with prompt engineering skills for code generation, analysis, and documentation, and AI coding assistants already integrated into your workflow.
Experience with apply AI solutions versus traditional approaches, can identify high ROI automation opportunities, and stays current with LLM and GenAI advancements through rapid experimentation.


Additional Information

Life at Grab

We care about your well-being at Grab, here are some of the global benefits we offer:


We have your back with Term Life Insurance and comprehensive Medical Insurance.
With GrabFlex, create a benefits package that suits your needs and aspirations.
Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leave
We have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.
Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours


What We Stand For At Grab

We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.";https://id.linkedin.com/jobs/view/senior-data-scientist-analytics-gfin-at-grab-4402387045?position=7&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=UW3FEycbTH0ZE85h%2Fob9JQ%3D%3D;Data Scientist;Indonesia;['python', 'scala', 'sql'];3
;Senior Data Scientist;VIDA Digital Identity;Jakarta;"Senior Computer Vision & Deep Learning Scientist — Liveness & Deepfake Detection

Our mission is to create innovative, robust, and user-friendly digital identity solutions. We are looking for a passionate and skilled Computer Vision & Deep Learning AI Scientist specializing in Liveness and Deepfake detection to join our dynamic team. Your work will directly impact the security and reliability of VIDA's identity verification systems.

Responsibilities:


Design, train, and deploy CV/DL models forpresentation attack detection (PAD)anddeepfake detection(print/replay, 2D/3D masks, screen replays, injection, face-swap/GAN/diffusion).
Own datasets end-to-end: collection strategy, labeling specs, quality gates,hard-negative mining, bias/fairness audits.
Build realisticbenchmarks and red-team suites; report metrics (FAR/FRR), ROC/PR, calibration; run ablations and adversarial stress tests.
Ship models with clear latency/SLA targets; partner with engineers onscalable inference APIsand monitoring (drift, false-positive hot spots).
Translate fraud patterns into model features anddetection rules; collaborate with product, fraud ops, and key customers.
Track state-of-the-art CV/DL and adopt techniques that improvesecurity, latency, or cost; align withISO/IEC 30107 (PAD)best practices.
Work independently or in a team to solve complex problem statements


Requirements:


Advanced degree in a quantitative fieldorequivalent experience, and3+ yearsbuilding/launchingcomputer vision&deep learningmodels (biometrics, PAD, or deepfake detection preferred).
Strong CV/DL fundamentals: modern backbones/transformers, temporal models, contrastive/metric learning, robustness techniques.
Proficient inPythonandPyTorch(or TensorFlow); OpenCV/FFmpeg; proven track record taking modelsfrom notebook → productionwith experiment tracking, CI/CD, and post-deploy monitoring.
Clear communication, ownership mindset, and bias to ship.


Nice to have:


Deepfake forensics (GAN/diffusion artifacts, watermark/signature checks).
On-device/low-latency inference (TensorRT, ONNX Runtime, TFLite, Core ML, NNAPI), CUDA kernels, or inference compilers.
Familiarity with cloud platforms like AWS, GCP, or Azure for model deployment.
Familiarity withISO/IEC 30107(PAD),ISO/IEC 19795(biometric performance),ISO/IEC 39794(biometric data interchange).
Synthetic data/simulation to cover rare attacks.


About VIDA Digital Identity


VIDA is a government-licensed certificate authority (CA) operating under Indonesia’s Ministry of Electronics and Information Technology. Our key offerings include:
Legally valid digital signatures ensuring secure and scalable identity solutions.
Trusted identity verification services for industries such as BFSI, eCommerce, telecommunications, and healthcare.
Advanced AI-driven fraud prevention: VIDA leverages sophisticated AI models to detect and prevent deepfake frauds, enhancing security and trust in digital interactions.
Seamless integration to help businesses reduce onboarding friction while prioritizing user privacy and data security.
For more information, you may visit our website at https://vida.id";https://id.linkedin.com/jobs/view/senior-data-scientist-at-vida-digital-identity-4317154878?position=8&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=jQtoGTvoumb%2FpnZGkU8wHg%3D%3D;Data Scientist;Indonesia;['rust', 'python', 'scala', 'aws', 'azure', 'tensorflow', 'git', 'pytorch', 'gcp'];9
;AI Engineer;AJARI.AI;Jakarta Raya, Indonesia;"Company Description

AJARI TECHNOLOGIES is a technology company focused on an AI-powered learning and workforce development platform. Our solutions are designed for governments, institutions, schools, universities, and large organizations to personalize education, upskill, and transform learning outcomes at a national level. We work to scale education to meet the diverse needs of our clients, ensuring impactful results and continuous improvement.




About the Role

This is a full-time on-site role for an AI Engineer (NLP). The AI Engineer will be responsible for working on Natural Language Processing (NLP) projects, developing and implementing machine learning solutions, and creating algorithmic models. Daily tasks will include coding, testing, and maintaining software applications related to NLP and LLM-based systems, such as chatbots, RAG pipelines, and agentic workflows. The role involves close collaboration with product managers, backend engineers, and other stakeholders to design, build, and deploy scalable NLP solutions into production.




Qualifications – Must Have:

Minimum 1 year full-time experience in AI-related fields: NLP / Machine Learning / Data Science.
Minimum 3+ years of professional experience with Python.
Minimum 2+ years of professional experience with: Object-Oriented Programming (OOP) and PyTorch.
Software engineering experience, including: API development, Use of Git (branching, pull requests, code reviews), Database integration, Basic unit testing.
Hands-on project experience with: LLM + RAG (Retrieval-Augmented Generation) and Agentic / tools-based workflow (e.g., function/tool calling).




Qualifications – Preferred:

Hands-on experience with frameworks and tools such as: LlamaIndex, LangChain, LangGraph, FastAPI and Vector Databases (e.g., Pinecone, Weaviate, Chroma, Qdrant).
Knowledge of: Async/sync programming and concurrency and Socket/WebSocket and streaming responses (e.g., SSE).
English proficiency (one of the following levels, minimum Basic): Basic – able to read technical documentation and papers.";https://id.linkedin.com/jobs/view/ai-engineer-at-ajari-ai-4417869711?position=9&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=y7SwgyeulSmnenrGKfNs%2FQ%3D%3D;Data Scientist;Indonesia;['python', 'scala', 'git', 'pytorch', 'fastapi'];5
;AI Engineer (Price Intelligence & Anomaly Detection);MrScraper;Bandung;"We’re Hiring: AI Engineer – Price Intelligence & Anomaly Detection




📍 Bandung, Indonesia | 🕐 Full-Time, On-Site




About MrScraper

At MrScraper, we're building the future of intelligent data extraction. Our mission is to make web scraping smarter, faster, and more scalable using AI. We combine the power of modern large language models (LLMs) and automation to tackle complex data problems for real-world use cases. Join our lean, passionate team and help us redefine what intelligent web scraping looks like.




Responsibilities:

Build and maintain machine learning models for price prediction and anomaly detection using large-scale historical price data.
Develop end-to-end ML pipelines — from data ingestion and preprocessing to model training, evaluation, and deployment.
Design and implement anomaly detection systems to flag irregular pricing patterns and validate scraping data quality.
Deploy and scale models in production environments, ensuring reliability, low latency, and cost efficiency.
Integrate model outputs with existing scraping pipelines to provide automated data quality checks.
Write unit tests, validation scripts, and monitoring hooks to ensure model accuracy and pipeline robustness over time.
Collaborate with the team to iterate on model design, feature engineering, and system architecture.
Document model logic, assumptions, and performance benchmarks clearly for cross-team transparency.




Requirements:

Strong Python programming skills with hands-on experience in data analysis and ML model development (pandas, NumPy, scikit-learn, XGBoost, or similar).
Experience with time-series analysis and forecasting methods (ARIMA, Prophet, LSTM, or similar).
Familiarity with anomaly detection techniques (Isolation Forest, Z-score, Autoencoders, statistical process control, etc.).
Experience deploying ML models to production — REST APIs, containerization (Docker), and cloud platforms (AWS, GCP, or Azure).
Solid understanding of data preprocessing, feature engineering, and model evaluation metrics.
Experience with Git and collaborative development using GitHub.
Ability to work independently, deliver clean and well-documented code, and communicate findings clearly to non-technical stakeholders.




Nice to Have:

Experience with MLOps tooling (MLflow, Weights & Biases, or similar) for experiment tracking and model versioning.
Familiarity with workflow orchestration tools (Airflow, Prefect, or similar) for pipeline scheduling.
Prior exposure to e-commerce or market pricing data.
Familiarity with LLMs or NLP for supplementary data interpretation tasks.




If you wan't to know about our company, you can visit our website mrscraper.com or our LinkedIn page.




📩 Send your CV and expected salary to recruitment@mrscraper.com

with subject: [AI Engineer] - [Your Name]";https://id.linkedin.com/jobs/view/ai-engineer-price-intelligence-anomaly-detection-at-mrscraper-4415268632?position=10&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=bhx56Lp4MKYuiQlQJV0QtQ%3D%3D;Data Scientist;Indonesia;['pandas', 'scikit-learn', 'python', 'scala', 'aws', 'azure', 'git', 'numpy', 'gcp', 'airflow', 'docker'];11
