id,title,search_role,job_description,extracted_skills,skills_count
4354913165.0,Data Analyst,Data Analyst,"About the job

Job Description

Deliver insights and analysis using statistical methods, data visualization, and business use cases to support decision making
Design, develop, and maintain dashboards and reports to monitor business, product, and customer performance
Work closely with cross-functional teams to understand business needs and translate them into analytical solutions
Identify data requirements, validate data quality, and ensure accuracy and consistency of analysis outputs
Transform complex data into clear, actionable insights that can be understood by non-technical stakeholders
Create and maintain documentation covering data sources, assumptions, methodologies, and analysis processes
Continuously improve data analysis workflows, reporting standards, and best practices




Requirements

Minimum Bachelor’s degree S1 in Statistics, Mathematics, Computer Science, Engineering, Economics, or a related field or equivalent practical experience
Minimum 2 years of experience in analyzing product, customer, or business data
Strong analytical, problem-solving, and communication skills
Proficient in SQL and relational databases such as PostgreSQL or similar
Experience with data visualization and reporting tools such as Tableau or Power BI
Experience using programming languages for data analysis such as Python
Ability to translate business requirements into clear, non-technical insights and produce comprehensive analytical reports
Strong attention to detail and ability to work effectively with cross-functional stakeholders","['postgresql', 'power bi', 'python', 'sql', 'tableau']",5
4401866027.0,Data Scientist,Data Scientist,"About the job

PT Artajasa Pembayaran Elektronis is a leading provider of electronic payment solutions in Indonesia. One of our brand, “ATM Bersama” is the pioneer of the first and largest electronic payment system service in Indonesia, which has been connected with more than 90 member financial institutions, both Banks and Non-Banks (Fintech, etc) in Indonesia. As we continue to innovate, we are looking for a Data Scientist to join our team and transform data into actionable insights that drive strategic decisions and business growth.




About the Role

We are looking for a Data Scientist to analyze large-scale transaction data, develop predictive models, and generate actionable insights to support business decisions. This role is critical in transforming data into strategic value, particularly in areas such as customer behavior, risk detection, and operational efficiency.




Key Responsibilities

Analyze large and complex datasets to identify trends, patterns, and insights.
Develop and implement predictive models and machine learning algorithms.
Perform data preprocessing, feature engineering, and model evaluation.
Collaborate with business, product, and technology teams to translate data into actionable strategies.
Build data visualizations and dashboards to communicate insights effectively.
Support use cases such as fraud detection, customer segmentation, and performance optimization.
Ensure data quality, integrity, and proper documentation of models and processes.




Qualifications

Bachelor’s or Master’s degree in Data Science, Statistics, Computer Science, Mathematics, or related field.
Minimum 2–4 years of experience in data science, analytics, or machine learning roles.
Strong proficiency in programming languages such as Python or R.
Experience with data analysis tools and libraries (e.g., Pandas, NumPy, Scikit-learn).
Familiarity with SQL and working with large datasets.
Knowledge of machine learning techniques and statistical modeling.
Strong analytical thinking and problem-solving skills.
Experience in financial services or payment industry is a plus.","['numpy', 'pandas', 'python', 'scikit-learn', 'sql']",5
4402503224.0,Data Scientist (Remote),Data Scientist,"About the job

Role: Data Scientist (Remote)
Location: Remote
Payout: $50 - $150/hour




Role Overview

We are looking for a curious, analytical, and detail-oriented Data Scientist to help turn data into actionable insights. In this role, you will work with large datasets, build analytical models, and support decision-making across teams. The ideal candidate is comfortable working remotely, solving complex problems, and communicating findings clearly.




Key Responsibilities

Collect, clean, and analyze structured and unstructured data.
Build statistical, predictive, or machine learning models to solve business problems.
Identify trends, patterns, and opportunities from data.
Design experiments, measure outcomes, and evaluate results.
Create dashboards, reports, and visualizations to communicate insights.
Work with product, engineering, operations, and business teams to support data-driven decisions.
Improve data quality, processes, and analytical workflows over time.




Required Skills & Qualifications

Experience in data science, analytics, statistics, or a related technical field.
Strong analytical and problem-solving skills.
Proficiency in SQL and at least one programming language such as Python or R.
Experience working with datasets, reporting tools, or data visualization platforms.
Ability to explain technical findings in a clear and simple way.
Comfortable working independently in a remote environment.




Preferred Qualifications

Experience with machine learning, experimentation, or forecasting.
Familiarity with business metrics, dashboards, and reporting.
Experience working with cloud data platforms or large-scale datasets.
Strong collaboration skills across technical and non-technical teams.




What We Offer

Remote and flexible work environment.
Opportunity to work on meaningful, data-driven projects.
Exposure to modern tools, datasets, and business challenges.
Growth opportunities in analytics, data science, and machine learning.




Equal Opportunity Employer

We hire based on skills and expertise. All qualified candidates are welcome regardless of background, experience, or prior employment history. Applications are reviewed solely on demonstrated technical ability and qualifications.","['python', 'sql']",2
4400761315.0,Data Scientist - AI/ML | Remote,Data Scientist,"About the job

Position: Data Scientist

Type: Hourly contract

Compensation: $59 - $114/hour

Location: Remote

Commitment: 10–40 hours/week




Role Responsibilities

Design, develop, and implement machine learning models for AI training initiatives.
Analyze large and complex datasets to generate actionable insights.
Collaborate with cross-functional teams to define requirements and deliver data-driven solutions.
Evaluate model performance through validation and testing processes.
Document methodologies, findings, and workflows clearly for stakeholders.
Ensure data quality, privacy, and security across all project stages.
Research and apply advanced data science techniques to improve outcomes. 




Requirements

Strong experience in data science and machine learning projects.
Proficiency in Python, R, or similar programming languages.
Strong knowledge of statistical analysis, data mining, and ML algorithms.
Experience working with large-scale structured and unstructured datasets.
Excellent written and verbal communication skills.
Ability to work independently in a remote environment.
Strong attention to detail and problem-solving capabilities. 




Application Process (Takes 20 Min)

Easy Apply on LinkedIn
Check email for next steps
Participate in resume evaluation & interview stage



Desired Skills and Experience

Software Development",['python'],1
4400157751.0,Data Analyst,Data Analyst,"About the job

Responsibilities

A Data Analyst is responsible for maintaining data accuracy, managing data workflows, and ensuring data is accessible for analysis. They play a key role in supporting operations by keeping data reliable and well-organized




Qualifications




Bachelor's degree (S1) in Statistics, Mathematics, Data Science, or a related field.
Minimum 1–2 years of experience in Data Analyst, Business Intelligence, or related roles.
Proficient in Microsoft Excel for data processing and analysis.
Strong ability to create dashboards and data visualizations using Tableau.
Experience using Looker Studio to develop reports and interactive dashboards.
Solid understanding of basic statistical concepts and data analysis techniques.
Ability to perform data visualization and data storytelling to communicate insights effectively.
Highly detail-oriented with strong analytical skills.
Able to work independently as well as collaboratively in a team environment.
Good communication skills to present data insights to stakeholders.
Will be assigned to partner companies of state-owned bank","['looker', 'solid', 'tableau']",3
4381553232.0,GoTo Financial - Lending Risk Analyst Acceleration Program,Data Analyst,"About the job

About The Role

GoTo Financial is seeking ambitious talents to join our Lending Risk Analyst Acceleration Program. This is not just a job, it is a structured rotational program designed to build the next generation of risk leaders in the digital finance space—offering a faster track to career progression for high-potential individuals.

As a trainee, you will embark on a hands-on on-the-job learning journey, rotating through specialized functions within our Lending Risk division. You will gain deep expertise in identifying, assessing, and mitigating the most critical risks in our financial ecosystems. By working alongside industry experts, you will learn how to balance innovation with prudence while accelerating your professional growth in one of Southeast Asia's fastest-growing fintech environments.

Your work will help reshaping the future of thelending industry. If you’re excited about the challenge, this role is for you!”

What You Will Do


Risk Analytics & Insights: Leverage large datasets to extract actionable insights, identify emerging risk trends, monitor portfolio performance, and support the development of data-driven risk strategies across credit and fraud domains.
Rotational Exposure: Participate in structured rotations across different functions within Credit Risk and Fraud Risk to understand the end-to-end risk management lifecycle.
Risk Monitoring: Support the team in daily risk monitoring activities, including tracking key risk indicators (KRIs) and generating regular risk reports for stakeholders.
Policy & Process Improvement: Collaborate with team leads to review and enhance risk policies, standard operating procedures, and internal controls to ensure they remain robust and scalable.
Cross-Functional Collaboration: Work closely with STLs, Finance, Product, and Engineering teams to ensure risk considerations are integrated into new product launches and features.
Project Support: Contribute to special projects and initiatives aimed at modernizing the risk management framework, including the exploration of new tools or methodologies.


What You Will Need:


Educational Background: Fresh graduate or recent graduate (graduated within the last 2 years) with a Bachelor's or Master's degree from a reputable university.
Field of Study: Strong academic track record in Statistics, Mathematics, Engineering, Computer Science, Economics, Finance, or other related quantitative fields.
Data Proficiency: Analytical skills with hands-on experience in data analysis tools (e.g., Excel, SQL, Python, or R) is highly preferred.
Problem-Solving Mindset: Logical thinking and structured problem-solving skills with a passion for data analysis and tackling complex challenges.
Adaptability: Eagerness to learn quickly and adapt to new challenges in a fast-paced, ever-changing fintech landscape.
Communication: Excellent verbal and written communication skills in English; ability to articulate complex ideas clearly to both technical and non-technical stakeholders. Ability to work collaboratively with cross-functional teams.
Attitude: Highly motivated, detail-oriented, and possessing a strong sense of integrity and ownership.


About The Team

You will be part of the GoPay Lending Risk Team, responsible for supporting the risk management of our lending products. The team plays a key role in ensuring that our lending business grows sustainably while maintaining strong risk control.

The team focuses on identifying, assessing, and managing credit and operational risks across the lending lifecycle, including risk strategy, policy development, monitoring portfolio performance, and implementing risk mitigation measures.

You will work closely with cross-functional teams, including Product, Data, Engineering, and Business teams, and collaborate with stakeholders across different regions. This provides an opportunity to contribute to impactful initiatives while gaining exposure to a dynamic and fast-growing fintech environment.

About GoTo Group

GoTo is the largest digital ecosystem in Indonesia. GoTo's mission is to 'empower progress' by offering technology infrastructure and solutions that help everyone to access and thrive in the digital economy.

The GoTo ecosystem provides a wide range of services, including mobility, delivery, payments, financial services, and technology solutions for merchants. The ecosystem also provides e-commerce services through Tokopedia and banking services through its partnership with Bank Jago.

About Gojek

Gojek is Southeast Asia’s leading on-demand platform and pioneer of the multi-service ecosystem with over 2.5 million driver partners across the regions offering a wide range of services such as transportation, food delivery, logistics and more. With its mission to create impact at scale, Gojek is committed to resolving consumer problems and raising standards of living by connecting consumers to the best providers of goods and services in the market.

About GoTo Financial

GoTo Financial accelerates financial inclusion through its leading financial services and merchants solutions. Its consumer services include GoPay and GoPayLater and serve businesses of all sizes through Midtrans, Moka, GoBiz Plus, GoBiz, and Selly. With its trusted and inclusive ecosystem of products, GoTo Financial is open to new growth opportunities and aims to empower everyone to Make It Happen, Make It Together, Make It Last.

GoTo and its business units, including Gojek and GoToFinancial (""GoTo"") only post job opportunities on our official channels on our respective company websites and on LinkedIn. GoTo is not liable for any job postings or job offers that did not originate from us. You should conduct your own due diligence to prevent being victims of any fake job scams, if they did not originate from GoTo's official recruitment channels.","['python', 'sql']",2
4398371026.0,Business Analyst,Data Analyst,"About the job

About The Role:

Conduct data analysis on key business metrics, including credit data, third-party funds (DPK), market trends, and financial indicators to support day-to-day business decision-making.
Apply analytical techniques to interpret data and generate insights related to customer behavior, market dynamics, and business performance.
Work with cross-functional teams to gather and validate data required for business analysis.
Prepare routine and ad-hoc reports, dashboards, and summaries to communicate analytical findings to relevant stakeholders.
Identify basic opportunities for improving business processes and operational efficiency through data-driven observations.
Keep updated with analytical tools and best practices to enhance the quality and effectiveness of analysis.
Provide support to the team in using analytical tools and maintaining data accuracy.




About You:

Bachelor’s degree in Computer Science, Information Systems, Data Science, Statistics, Mathematics, Industrial Engineering, or other related quantitative fields.
Minimum 1 year of experience in business analysis, data analysis, or related fields; fresh graduates with strong analytical skills are also welcome to apply.
Proficiency in data analysis tools such as Microsoft Excel, SQL, and basic familiarity with Python, R, or BI tools (Tableau/Power BI).
Strong analytical capability to interpret data and generate clear, actionable insights.
Good communication skills, able to explain analytical findings to non-technical stakeholders.
Ability to work effectively with cross-functional teams and handle multiple tasks or projects.
High attention to detail and accuracy in data processing and reporting.
Understanding of basic business intelligence concepts, data visualization, and statistical techniques.
Adaptability to fast-paced environments and ability to take initiative while working both independently and within a team.","['power bi', 'python', 'sql', 'tableau']",4
4392511345.0,Data Analyst,Data Analyst,"About the job

Job Descriptions: 




* Collect, clean, and analyze data (e.g., transactions and user activity) to identify trends, patterns, and actionable insights that support product, operational, and business decisions

* Design, build, and maintain high-quality datasets that are accurate, consistent, and scalable to support effective analysis and reporting.

* Develop and maintain dashboards and reports (using tools such as Power BI, Looker Studio, Tableau, and Google Data Studio) to monitor performance and communicate key metrics effectively

* Translate complex data into clear, actionable insights and present findings to support decision-making across teams

* Collaborate with cross-functional stakeholders to understand business needs and deliver data-driven solutions

* Perform in-depth analyses to support strategic initiatives and drive business performance improvements

* Document data sources, methodologies, and processes to ensure data integrity, transparency, and usability




Job Requirements : 




* 3-5 years of experience as a Data Analyst, preferably in fintech, banking, or similar industries

* Strong skills in data analysis, including data cleaning, data modeling, and data interpretation

* Proficient in SQL, Excel, and data visualization tools (e.g., Power BI, Tableau, Looker Studio); Python is a plus

* Experience working with large datasets (e.g., transaction or user data)

* Good understanding of basic statistics and analytical thinking

* Able to communicate insights clearly to stakeholders","['looker', 'power bi', 'python', 'sql', 'tableau']",5
4391690683.0,Data Analyst,Data Analyst,"About the job

At Catalyst, People are the heartbeat of our company. We believe that good quality people will have a positive impact on our business. We are looking for a Data Analyst to join our growing team. If you are passionate about being part of the team, building some of the most critical products, and Working alongside teams in the industry across product, engineering, and design, Let’s join us!







Job Description 

Build data dashboards to monitor company performance and efficiency metrics
Working with data engineering & data analytics teams to prioritize to provide, integrate and govern all company data
Support the business transformation from manual data entry systems to an automated, end-to-end structured data system
Design, build, and drive adoption of data dashboards for the tech-enabled Operations team, such as pipeline management and conversion funnel metrics
Build weekly/monthly analytical reports, leveraging data from our internal product
Synthesize business intelligence to provide critical business insights for the Operational Excellence function
Partner with other business divisions (operations, growth, etc) to generate ad-hoc data analysis requests and diagnose root causes of operational pain points (e.g. root cause of the decline in sales team activity or reduction in time to fill)
Provide insights from data investigation & product performance analysis by working closely with Product Managers

Requirements 

Possess 1-3 years of experience in Data Analysis, Data Analytics, Consulting, Business Intelligence, or similar role
Experienced working in e-commerce or marketplace is preferred
Strong data analysis skills and experience with data programming languages and visualization software (SQL, Metabase, Excel/GSheets, etc.)
Advanced excel modeling and data visualization skills
Self-starter
Strong analytical and problem-solving skills","['metabase', 'sql']",2
4394468050.0,Data Analyst,Data Analyst,"About the job

About the Company: Our Client is a social impact organization providing AI-powered strategic insights for society and our planet. They believe that every organization can be a force for good, but unlocking impactful opportunities requires robust data platforms and technical support. They're a mission-driven team committed to creating positive change and working with integrity. Fostering an inclusive and respectful workplace where everyone's ideas are valued and diverse perspectives are celebrated.




About the Role: In this full-time, long-term position, you will join an international team to support client projects through research, data analysis, and project coordination in handling impactful social data.




Responsibilities:

Independently design and execute analytical studies based on project research questions and available data.
Identify relevant data sources and collect data to support analysis.
Implement analytics pipelines using tools such as Python, Tableau, text analytics platforms, or statistical software.
Apply both quantitative and qualitative research methods to derive meaningful insights.
Coordinate with project teams to ensure timely delivery of analyses and client deliverables.




Qualifications:

Education: Bachelor's degree or higher in a field with a strong analytical focus, such as Mathematics, Physics, Statistics, Economics, or Engineering.
Experience: Minimum 2-3 years of professional experience in analytics, data research, or related fields.




Required Skills:

Technical Skills: Strong command of statistical methods and analytical tools.
Research: Experience with qualitative research methodologies. (MUST HAVE)
Problem Solving: Excellent analytical skills with the ability to organize and interpret complex datasets.
Soft Skills: Team spirit, reliability, and a high sense of responsibility.




Preferred Skills:

Programming skills in Python or R and experience with text analytics are considered a strong advantage.","['python', 'tableau']",2
